symbol,name,industry,supersector,sector,subsector,listing_date,issue_share,listed_value,market_cap
A32,32 Joint Stock Company,Consumer Goods,Personal & Household Goods,Personal Goods,Footwear,2018-10-23,6800000.0,6800000.0,204000000000.0
AAA,An Phat Bioplastics Joint Stock Company,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,2016-11-25,382274496.0,382274496.0,3593380262400.0
AAM,Mekong Fisheries Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Farming & Fishing,2009-09-24,12346411.0,12346411.0,122801388500.0
AAS,SmartInvest Securities Joint Stock Company,Financials,Financial Services,Financial Services,Investment Services,2020-07-23,80000000.0,80000000.0,862480000000.0
AAT,Tien Son Thanh Hoa Group Joint Stock Company,Consumer Goods,Personal & Household Goods,Personal Goods,Clothing & Accessories,2021-03-24,63801489.0,63801489.0,319007445000.0
AAV,AAV Group joint Stock Company,Financials,Real Estate,Real Estate Investment & Services,Real Estate Holding & Development,2018-06-25,68987661.0,68987661.0,296646942300.0
ABB,An Binh Commercial Joint Stock Bank,Banks,Banks,Banks,Banks,2020-12-28,940947082.0,940947082.0,7544513703476.0
ABC,VMG Media Joint Stock Company,Telecommunications,Telecommunications,Mobile Telecommunications,Mobile Telecommunications,2016-08-18,20393000.0,20393000.0,246706900000.0
ABI,Agriculture Bank Insurance Joint Stock Corporation (ABIC),Financials,Insurance,Nonlife Insurance,Property & Casualty Insurance,2009-07-16,51557417.0,51557417.0,1609196599593.0
ABR,Viet Brand Invest Joint Stock Company,Industrials,Industrial Goods & Services,Support Services,Business Support Services,2018-06-12,20000000.0,20000000.0,187600000000.0
ABS,BinhThuan Agriculture Services Joint Stock Company,Consumer Services,Retail,General Retailers,Specialty Retailers,2020-03-18,80000000.0,80000000.0,480000000000.0
ABT,Bentre Aquaproduct Import And Export Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Farming & Fishing,2006-12-25,14387207.0,14387207.0,388649481000.0
ACB,Asia Commercial Joint Stock Bank,Banks,Banks,Banks,Banks,2006-11-21,3377435094.0,3377435094.0,84942492614100.0
ACC,ACC Binh Duong Investment and Construction Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2011-06-30,104999993.0,104999993.0,1448999903400.0
ACE,An Giang Centrifugal Concrete Joint Stock Company,Industrials,Construction & Materials,Construction & Materials,Building Materials & Fixtures,2009-11-10,3050781.0,3050781.0,111200967450.0
ACG,An Cuong Wood - Working Joint Stock Company,Basic Materials,Basic Resources,Forestry & Paper,Forestry,2021-08-04,135846122.0,135846122.0,5542130097600.0
ACL,Cuu Long An Giang Fish Joint Stock Company,Consumer Goods,Food & Beverage,Food Producers,Farming & Fishing,2007-09-05,50159019.0,50159019.0,606924129900.0
ACM,A Cuong Mineral Group Joint Stock Company,Basic Materials,Basic Resources,Mining,General Mining,2015-07-23,51000000.0,51000000.0,25500000000.0
ACS,Architects & Construction Service Corporation,Industrials,Construction & Materials,Construction & Materials,Heavy Construction,2017-07-13,4000000.0,4000000.0,25200000000.0
