branch_no,branch,department_no,department,head,head_no,name,party,state,district,president,start_date,end_date,birth_country
1,legistrative,2,House of Representatives,Speaker,1.0,Frederick Muhlenberg,Federalist,Pennsylvania,at-large,,,,
1,legistrative,2,House of Representatives,Speaker,2.0,Jonathan Trumbull Jr.,Federalist,Connecticut,at-large,,,,
1,legistrative,2,House of Representatives,Speaker,3.0,Frederick Muhlenberg,Democratic-Republican,Pennsylvania,at-large,,,,
1,legistrative,2,House of Representatives,Speaker,4.0,Jonathan Dayton,Federalist,New Jersey,at-large,,,,
1,legistrative,2,House of Representatives,Speaker,5.0,Jonathan Dayton,Federalist,New Jersey,at-large,,,,
1,legistrative,2,House of Representatives,Speaker,6.0,Theodore Sedgwick,Federalist,Massachusetts,1,,,,
1,legistrative,2,House of Representatives,Speaker,7.0,Nathaniel Macon,Democratic-Republican,North Carolina,5,,,,
1,legistrative,2,House of Representatives,Speaker,8.0,Nathaniel Macon,Democratic-Republican,North Carolina,6,,,,
1,legistrative,2,House of Representatives,Speaker,9.0,Nathaniel Macon,Democratic-Republican,North Carolina,6,,,,
1,legistrative,2,House of Representatives,Speaker,10.0,Joseph Bradley Varnum,Democratic-Republican,Massachusetts,4,,,,
1,legistrative,2,House of Representatives,Speaker,11.0,Joseph Bradley Varnum,Democratic-Republican,Massachusetts,4,,,,
1,legistrative,2,House of Representatives,Speaker,12.0,Henry Clay,Democratic-Republican,Kentucky,5,,,,
1,legistrative,2,House of Representatives,Speaker,13.0,Henry Clay,Democratic-Republican,Kentucky,2,,,,
1,legistrative,2,House of Representatives,Speaker,13.1,Langdon Cheves,Democratic-Republican,South Carolina,1,,,,
1,legistrative,2,House of Representatives,Speaker,14.0,Henry Clay,Democratic-Republican,Kentucky,2,,,,
1,legistrative,2,House of Representatives,Speaker,15.0,Henry Clay,Democratic-Republican,Kentucky,2,,,,
1,legistrative,2,House of Representatives,Speaker,16.0,Henry Clay,Democratic-Republican,Kentucky,2,,,,
1,legistrative,2,House of Representatives,Speaker,16.1,John W. Taylor,Democratic-Republican,New York,11,,,,
1,legistrative,2,House of Representatives,Speaker,17.0,Philip P. Barbour,Democratic-Republican,Virginia,11,,,,
1,legistrative,2,House of Representatives,Speaker,18.0,Henry Clay,Democratic-Republican,Kentucky,3,,,,
1,legistrative,2,House of Representatives,Speaker,19.0,John W. Taylor,National Republican,New York,17,,,,
1,legistrative,2,House of Representatives,Speaker,20.0,Andrew Stevenson,Jacksonian,Virginia,9,,,,
1,legistrative,2,House of Representatives,Speaker,21.0,Andrew Stevenson,Jacksonian,Virginia,9,,,,
1,legistrative,2,House of Representatives,Speaker,22.0,Andrew Stevenson,Jacksonian,Virginia,9,,,,
1,legistrative,2,House of Representatives,Speaker,23.0,Andrew Stevenson,Jacksonian,Virginia,11,,,,
1,legistrative,2,House of Representatives,Speaker,23.1,John Bell,Jacksonian,Tennessee,7,,,,
1,legistrative,2,House of Representatives,Speaker,24.0,James K. Polk,Jacksonian,Tennessee,9,,,,
1,legistrative,2,House of Representatives,Speaker,25.0,James K. Polk,Democratic,Tennessee,9,,,,
1,legistrative,2,House of Representatives,Speaker,26.0,Robert M. T. Hunter,Whig,Virginia,9,,,,
1,legistrative,2,House of Representatives,Speaker,27.0,John White,Whig,Kentucky,9,,,,
1,legistrative,2,House of Representatives,Speaker,28.0,John Winston Jones,Democratic,Virginia,6,,,,
1,legistrative,2,House of Representatives,Speaker,29.0,John Wesley Davis,Democratic,Indiana,6,,,,
1,legistrative,2,House of Representatives,Speaker,30.0,Robert Charles Winthrop,Whig,Massachusetts,1,,,,
1,legistrative,2,House of Representatives,Speaker,31.0,Howell Cobb,Democratic,Georgia,6,,,,
1,legistrative,2,House of Representatives,Speaker,32.0,Linn Boyd,Democratic,Kentucky,1,,,,
