"system_id","link","main_link"
"debc9f5d-590c-5657-9757-3095fd2fb003","https://www.facebook.com/groups/648403405997660/posts/1612078909630100/",""
"fc0ad211-e813-57e7-8278-229b84dae2ed","https://www.facebook.com/groups/gschool.edu.vn/posts/1850894332028460/",""
"83c31986-0766-52b8-b59f-0a547e706185","https://www.facebook.com/groups/276921707183417/posts/926860415522873/",""
"073192a5-8b41-5163-8130-b2bf62cc310c","https://www.facebook.com/groups/chosgonline/posts/2481497118711263/",""
"9f8b3a9c-36aa-5fd8-b460-0a3ecfab97dd","https://www.facebook.com/groups/hotrocudankiemtien/posts/1516675478899645/",""
"b24f440a-c200-5386-8c84-537d673e6602","https://www.facebook.com/groups/169004813697681/posts/1502489053682577/",""
"1bdb652f-b6ee-57eb-98b2-a717099d8099","https://www.facebook.com/groups/450131075710604/posts/1493707448019623/",""
"1f5cd63a-e6a8-58e5-9c64-0e31e8635cdd","https://www.facebook.com/groups/115336888493817/posts/7807033925990703/",""
"dfb8077d-4e13-5df1-9531-0a6dfd0ad260","https://www.facebook.com/groups/chocondanang43/posts/3740597356214538/",""
"bf01ccbf-e1d1-58a8-982a-1564b2c4cb90","https://www.facebook.com/groups/807195037010320/posts/1019031842493304/",""
"e8356ff3-fa47-575f-9ac8-d2feaeab2865","https://www.facebook.com/groups/phongtronhontrachdongnai/posts/3732389273674044/?__cft__[0]=AZVI-ItEx3qUPjwajCLpXP3kFhdMwt0KgmBuaidu7on-lxRr-JWCO-s4S_vgNASGhBu11WmeTBzwqtkva_Vf4q5DWIavqqrVSveMrJ2M1pd58RK2uKVIXXs-WttRUKFqv8kwlnLM_RzGTV_MNW0NnElg&__tn__=%2CO%2CP-R",""
"ecc09f26-663b-5898-9ccc-3bfe0e836a84","https://www.facebook.com/groups/2820373558268396/posts/3226671154305299/?__cft__[0]=AZWV9MEX0l-nBr0JlhCCbgxhICILmbYyZbYkN7dBGqd_LL7YidTwAEEqus6eFB6vd6wZyPp08tRtYu1odbJRR3WcZ5Eha4esj34mDTybzxaR034R7A5EjT52YO3Zhqyb_SuMvffq4nCSOl7LEt58Av8y&__tn__=%2CO%2CP-R",""
"f4e8498f-4bfc-5cae-97f5-792217496e5c","https://www.facebook.com/groups/2812307585581669/posts/3356358507843238/?__cft__[0]=AZWTlJZaMQ7B0dn5yy6vJbx3UvIMNmYt4dg9WDIvc3PzXnEuItwRjh-bfecShc3F1YF_98a3gnfTWWncYCYbnlvAM1O6L_T-tkRLF_XmW7UE7MogPEy0BeY1kgUoKrx-VeOF4ahqnIf8ssyZKCXwYWgN&__tn__=%2CO%2CP-R",""
"0b3929a8-198d-5f39-86b2-180a7017d58e","https://www.facebook.com/groups/2954151358167223/posts/3565135543735465/?__cft__[0]=AZWJSQ-JiR7OFXp6ALRtGfCKi_CH-_6b9s9N1TWOlO2qlTjN13Bn6MWkEL-zfGsVR8-UvqoqgJsms5NcbepW11OZhvZ10KXIijp0HVdxdFCCXaNeGMS2k0wyKSWAgzeYbhHw4BLPJHbxtXmiCEKyYqLo&__tn__=%2CO%2CP-R",""
"c603d0ae-1c53-5b55-a42f-117d939cf9f0","https://www.facebook.com/groups/3293422600986100/posts/3610078722653818/?__cft__[0]=AZWB5HQ9Y_tR5m7Ol9_s-yfU-pS9Tc5qFT0r4zoQdK0LYMTNNdZOerlgswzWB5aE_pp3sR_sMGSCT9bIdffgTkgVHCJdjrubDfumwqN-3SQCWk_BA3XuHQeVKql_iHh_-9-hqC7WJXPYp6zvk8Gz45Wz&__tn__=%2CO%2CP-R",""
"a3d43fdf-fd18-5d3b-bf79-663e85d2f330","https://www.facebook.com/groups/chomuabandogialai/posts/3695598027342399/?__cft__[0]=AZUT3Ivn6mJrQEwk6jOt7Lh8KRdrtEz_Z2ZlZe0R80vds1LitEW4MticWdgiVyOzVwkA82gmcv1OOX3yEZisIW9ZA9HCYXHUPIODjM2F3F7LS9OerJJQFn3vW5RbjU2BOYrjW1KTIh2eFl9-G8tgl54Y&__tn__=%2CO%2CP-R",""
"272dd66f-4ce1-5b86-8182-61b8ad887661","https://www.facebook.com/groups/4046883775419661/posts/7125571554217519/?__cft__[0]=AZWJ8cfaZML0deeYNkJIk5TzVm_G3NCbzxbg76N5tsagIucjMwW1m7oECKco0VHv3jPaWmVamFP6XHtnCg01A6zX_FtfLvhYOCaiCqf3T6M1kNF9Rmz-Hi7P9in4XsEiHSKAls2wOU8QBblcIg_pnvG43TI64C22u3uL31_2yfvs8g&__tn__=%2CO%2CP-R",""
"70e7ca07-62a8-5443-bcde-837c185c4c12","https://www.facebook.com/groups/180965230650219/posts/735797901833613/?__cft__[0]=AZVS_Ska6-hHUHoDG35OvpTu4jpeRbSk6RGq9Jj8x2Bi-i6wsTY-8XmR3FW0fKcRjsN0ow5XlN-zxuNgRL0nyPqLaq15wR4y9zpYKT_Rsp7w5jE-0x4CToSfKTRUlUho_2TPfgns3MFtb5VhoYiSzs67&__tn__=%2CO%2CP-R",""
