id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,ideal_point,seniority,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,senate_class,state_rank,lis_id
A000062,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/A000062.,George,David,Aiken,,1892-08-20,M,R,,,,,400722,,,52,,,,,,,False,,,,16,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:vt,,,,VT,3,,
A000161,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/A000161.,Gordon,Llewellyn,Allott,,1907-01-02,,R,,,,,400816,,,142,,,,,,,False,,,,3,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:co,,,,CO,2,,
A000186,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/A000186.,Clinton,Presba,Anderson,,1895-10-23,,D,,,,,400841,,,165,,,,,,,False,,,,9,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:nm,,,,NM,2,,
B000176,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B000176.,Frank,Aloysius,Barrett,,1892-11-10,M,R,,,,,401177,,,464,,,,,,,False,,,,5,,,,2013-04-12 20:11:36 -0400,ocd-division/country:us/state:wy,,,,WY,1,,
B000271,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B000271.,James,Glenn,Beall,,1894-06-05,M,R,,,,,401265,,,546,,,,,,,False,,,,5,,,,2013-04-12 20:11:39 -0400,ocd-division/country:us/state:md,,,,MD,1,,
B000384,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B000384.,Wallace,Foster,Bennett,,1898-11-13,,R,,,,,401375,,,645,,,,,,,False,,,,7,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:ut,,,,UT,3,,
B000436,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B000436.,Alan,Harvey,Bible,,1909-11-20,,D,,,,,401422,,,688,,,,,,,False,,,,3,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:nv,,,,NV,3,,
B000536,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B000536.,William,Arvis,Blakley,,1898-11-17,M,D,,,,,401511,,,777,,,,,,,False,,,,1,,,,2013-04-12 20:11:40 -0400,ocd-division/country:us/state:tx,,,,TX,1,,
B000820,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B000820.,John,William,Bricker,,,M,R,,,,,401777,,,1024,,,,,,,False,,,,11,,,,2013-04-12 20:11:36 -0400,ocd-division/country:us/state:oh,,,,OH,1,,
B000823,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/B000823.,Henry,Styles,Bridges,,1898-09-09,M,R,,,,,401780,,,1027,,,,,,,False,,,,21,,,,2013-04-12 20:11:37 -0400,ocd-division/country:us/state:nh,,,,NH,2,,
B001167,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B001167.,Prescott,Sheldon,Bush,,1895-05-15,,R,,,,,402109,,,1329,,,,,,,False,,,,5,,,,2013-04-12 20:11:38 -0400,ocd-division/country:us/state:ct,,,,CT,3,,
