id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,ideal_point,seniority,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,senate_class,state_rank,lis_id
A000010,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/A000010.,Hazel,Hempel,Abel,,1888-07-10,F,R,,,,,400673,,,9,,,,,,,False,,,,1,,,,2013-04-12 20:11:37 -0400,ocd-division/country:us/state:ne,,,,NE,2,,
A000062,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/A000062.,George,David,Aiken,,1892-08-20,M,R,,,,,400722,,,52,,,,,,,False,,,,13,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:vt,,,,VT,3,,
A000186,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/A000186.,Clinton,Presba,Anderson,,1895-10-23,,D,,,,,400841,,,165,,,,,,,False,,,,5,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:nm,,,,NM,2,,
B000176,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B000176.,Frank,Aloysius,Barrett,,1892-11-10,M,R,,,,,401177,,,464,,,,,,,False,,,,1,,,,2013-04-12 20:11:36 -0400,ocd-division/country:us/state:wy,,,,WY,1,,
B000271,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B000271.,James,Glenn,Beall,,1894-06-05,M,R,,,,,401265,,,546,,,,,,,False,,,,1,,,,2013-04-12 20:11:39 -0400,ocd-division/country:us/state:md,,,,MD,1,,
B000356,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B000356.,George,Harrison,Bender,,1896-09-29,M,R,,,,,401348,,,621,,,,,,,False,,,,1,,,,2013-04-12 20:11:37 -0400,ocd-division/country:us/state:oh,,,,OH,3,,
B000384,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B000384.,Wallace,Foster,Bennett,,1898-11-13,,R,,,,,401375,,,645,,,,,,,False,,,,3,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:ut,,,,UT,3,,
B000436,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B000436.,Alan,Harvey,Bible,,1909-11-20,,D,,,,,401422,,,688,,,,,,,False,,,,1,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:nv,,,,NV,3,,
B000709,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/B000709.,Eva,Kelly,Bowring,,1892-01-09,F,R,,,,,401671,,,923,,,,,,,False,,,,1,,,,2013-04-12 20:11:37 -0400,ocd-division/country:us/state:ne,,,,NE,2,,
B000820,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B000820.,John,William,Bricker,,,M,R,,,,,401777,,,1024,,,,,,,False,,,,7,,,,2013-04-12 20:11:36 -0400,ocd-division/country:us/state:oh,,,,OH,1,,
