id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,ideal_point,seniority,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,senate_class,state_rank,lis_id
A000062,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/A000062.,George,David,Aiken,,1892-08-20,M,R,,,,,400722,,,52,,,,,,,False,,,,9,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:vt,,,,VT,3,,
A000186,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/A000186.,Clinton,Presba,Anderson,,1895-10-23,,D,,,,,400841,,,165,,,,,,,False,,,,1,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:nm,,,,NM,2,,
B000095,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B000095.,Raymond,Earl,Baldwin,,1893-08-31,M,R,,,,,401097,,,390,,,,,,,False,,,,3,,,,2013-04-12 20:11:32 -0400,ocd-division/country:us/state:ct,,,,CT,1,,
B000145,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B000145.,Alben,William,Barkley,,1877-11-24,,D,,,,,401146,,,437,,,,,,,False,,,,22,,,,2013-04-12 20:11:37 -0400,ocd-division/country:us/state:ky,,,,KY,3,,
B000399,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B000399.,William,,Benton,,1900-04-01,M,D,,,,,401390,,,659,,,,,,,False,,,,1,,,,2013-04-12 20:11:33 -0400,ocd-division/country:us/state:ct,,,,CT,1,,
B000816,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B000816.,Ralph,Owen,Brewster,,1888-02-22,M,R,,,,,401773,,,1021,,,,,,,False,,,,9,,,,2013-04-12 20:11:32 -0400,ocd-division/country:us/state:me,,,,ME,1,,
B000820,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B000820.,John,William,Bricker,,,M,R,,,,,401777,,,1024,,,,,,,False,,,,3,,,,2013-04-12 20:11:36 -0400,ocd-division/country:us/state:oh,,,,OH,1,,
B000823,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/B000823.,Henry,Styles,Bridges,,1898-09-09,M,R,,,,,401780,,,1027,,,,,,,False,,,,13,,,,2013-04-12 20:11:37 -0400,ocd-division/country:us/state:nh,,,,NH,2,,
B000894,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/B000894.,Joseph,Melville,Broughton,,1888-11-17,M,D,,,,,401851,,,1090,,,,,,,False,,,,1,,,,2013-04-12 20:11:33 -0400,ocd-division/country:us/state:nc,,,,NC,2,,
B001177,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B001177.,Hugh,Alfred,Butler,,,M,R,,,,,402119,,,1338,,,,,,,False,,,,9,,,,2013-04-12 20:11:36 -0400,ocd-division/country:us/state:ne,,,,NE,1,,
B001208,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B001208.,Harry,Flood,Byrd,,1887-06-10,M,D,,,,,402148,,,1365,,,,,,,False,,,,16,,,,2013-04-12 20:11:39 -0400,ocd-division/country:us/state:va,,,,VA,1,,
C000021,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/C000021.,Harry,Pulliam,Cain,,1906-01-10,M,R,,,,,402182,,,1395,,,,,,,False,,,,3,,,,2013-04-12 20:11:32 -0400,ocd-division/country:us/state:wa,,,,WA,1,,
C000128,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/C000128.,Homer,Earl,Capehart,,1897-06-06,M,R,,,,,402278,,,1489,,,,,,,False,,,,5,,,,2013-04-12 20:11:38 -0400,ocd-division/country:us/state:in,,,,IN,3,,
C000154,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/C000154.,Frank,,Carlson,,1893-01-23,M,R,,,,,402303,,,1510,,,,,,,False,,,,1,,,,2013-04-12 20:11:41 -0400,ocd-division/country:us/state:ks,,,,KS,3,,
C000317,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/C000317.,Virgil,Munday,Chapman,,1895-03-15,,D,,,,,402459,,,1659,,,,,,,False,,,,1,,,,2013-04-12 20:11:34 -0400,ocd-division/country:us/state:ky,,,,KY,2,,
C000338,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/C000338.,Dennis,,Chavez,,1888-04-08,,D,,,,,402478,,,1678,,,,,,,False,,,,14,,,,2013-04-12 20:11:39 -0400,ocd-division/country:us/state:nm,,,,NM,1,,
