competition,competition_level,competition_country,competition_surface,year,month,champion,champion_country
Rio Open,ATP 500,Brazil,surface,2014,0,Rafael Nadal,Spain
Rio Open,ATP 500,Brazil,surface,2015,0,David Ferrer,Spain
Rio Open,ATP 500,Brazil,surface,2016,0,Pablo Cuevas,Uruguay
Rio Open,ATP 500,Brazil,surface,2017,0,Dominic Thiem,Austria
Rio Open,ATP 500,Brazil,surface,2018,0,Diego Schwartzman,Argentina
Rio Open,ATP 500,Brazil,surface,2019,0,Laslo Đere,Serbia
Rio Open,ATP 500,Brazil,surface,2020,0,Cristian Garín,Chile
Rio Open,ATP 500,Brazil,surface,2022,0,Carlos Alcaraz,Spain
Rio Open,ATP 500,Brazil,surface,2023,0,Cameron Norrie,United Kingdom
Shanghai Masters,ATP Tour Masters 1000,China,hard,2009,0,Nikolay Davydenko,Russia
Shanghai Masters,ATP Tour Masters 1000,China,hard,2010,0,Andy Murray,United Kingdom
Shanghai Masters,ATP Tour Masters 1000,China,hard,2011,0,Andy Murray,United Kingdom
Shanghai Masters,ATP Tour Masters 1000,China,hard,2012,0,Novak Djokovic,Serbia
Shanghai Masters,ATP Tour Masters 1000,China,hard,2013,0,Novak Djokovic,Serbia
Shanghai Masters,ATP Tour Masters 1000,China,hard,2014,0,Roger Federer,Switzerland
Shanghai Masters,ATP Tour Masters 1000,China,hard,2015,0,Novak Djokovic,Serbia
Shanghai Masters,ATP Tour Masters 1000,China,hard,2016,0,Andy Murray,United Kingdom
Shanghai Masters,ATP Tour Masters 1000,China,hard,2017,0,Roger Federer,Switzerland
Shanghai Masters,ATP Tour Masters 1000,China,hard,2018,0,Novak Djokovic,Serbia
Shanghai Masters,ATP Tour Masters 1000,China,hard,2019,0,Daniil Medvedev,Russia
Madrid Open,ATP Tour Masters 1000,Spain,clay,2002,0,Andre Agassi,United States
Madrid Open,ATP Tour Masters 1000,Spain,clay,2003,0,Juan Carlos Ferrero,Spain
Madrid Open,ATP Tour Masters 1000,Spain,clay,2004,0,Marat Safin,Russia
Madrid Open,ATP Tour Masters 1000,Spain,clay,2005,0,Rafael Nadal,Spain
Madrid Open,ATP Tour Masters 1000,Spain,clay,2006,0,Roger Federer,Switzerland
Madrid Open,ATP Tour Masters 1000,Spain,clay,2007,0,David Nalbandian,Argentina
Madrid Open,ATP Tour Masters 1000,Spain,clay,2008,0,Andy Murray,United Kingdom
Madrid Open,ATP Tour Masters 1000,Spain,clay,2009,0,Roger Federer,Switzerland
Madrid Open,ATP Tour Masters 1000,Spain,clay,2010,0,Rafael Nadal,Spain
Madrid Open,ATP Tour Masters 1000,Spain,clay,2011,0,Novak Djokovic,Serbia
Madrid Open,ATP Tour Masters 1000,Spain,clay,2012,0,Roger Federer,Switzerland
Madrid Open,ATP Tour Masters 1000,Spain,clay,2013,0,Rafael Nadal,Spain
Madrid Open,ATP Tour Masters 1000,Spain,clay,2014,0,Rafael Nadal,Spain
Madrid Open,ATP Tour Masters 1000,Spain,clay,2015,0,Andy Murray,United Kingdom
Madrid Open,ATP Tour Masters 1000,Spain,clay,2016,0,Novak Djokovic,Serbia
Madrid Open,ATP Tour Masters 1000,Spain,clay,2017,0,Rafael Nadal,Spain
Madrid Open,ATP Tour Masters 1000,Spain,clay,2018,0,Alexander Zverev,Germany
Madrid Open,ATP Tour Masters 1000,Spain,clay,2019,0,Novak Djokovic,Serbia
Madrid Open,ATP Tour Masters 1000,Spain,clay,2021,0,Alexander Zverev,Germany
Madrid Open,ATP Tour Masters 1000,Spain,clay,2022,0,Carlos Alcaraz,Spain
Madrid Open,ATP Tour Masters 1000,Spain,clay,2023,0,Carlos Alcaraz,Spain
atf-final,,,,1970,0,Stan Smith,United States
atf-final,,,,1971,0,Ilie Năstase,Romania
atf-final,,,,1972,0,Ilie Năstase,Romania
atf-final,,,,1973,0,Ilie Năstase,Romania
atf-final,,,,1974,0,Guillermo Vilas,Argentina
atf-final,,,,1975,0,Ilie Năstase,Romania
atf-final,,,,1976,0,Manuel Orantes,Spain
atf-final,,,,1977,0,Jimmy Connors,United States
atf-final,,,,1978,0,John McEnroe,United States
atf-final,,,,1979,0,Björn Borg,Sweden
atf-final,,,,1980,0,Björn Borg,Sweden
atf-final,,,,1981,0,"Ivan Lendl ",Czechoslovakia
atf-final,,,,1982,0,"Ivan Lendl ",Czechoslovakia
atf-final,,,,1983,0,John McEnroe,United States
atf-final,,,,1984,0,John McEnroe,United States
atf-final,,,,1985,0,Ivan Lendl,Czechoslovakia
atf-final,,,,1986,0,Ivan Lendl,Czechoslovakia
atf-final,,,,1987,0,Ivan Lendl,Czechoslovakia
atf-final,,,,1988,0,Boris Becker,Germany
atf-final,,,,1989,0,Stefan Edberg,Sweden
atf-final,,,,1990,0,Andre Agassi,United States
