id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,ideal_point,seniority,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,district,at_large,geoid,missed_votes_pct,votes_with_party_pct,votes_against_party_pct
A000014,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000014.,Neil,,Abercrombie,,1938-06-26,M,D,,neilabercrombie,,hawaiirep1,400001,,,15244,,/m/0255rj,,,,,False,,,,8,1340,45,2,2019-10-08 03:06:16 -0400,ocd-division/country:us/state:hi/cd:1,,,,HI,1,False,1501,3.36,87.4,13.9
A000022,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000022.,Gary,L.,Ackerman,,1942-11-19,M,D,,repgaryackerman,,RepAckerman,400003,1002061,,15080,,/m/03rhdq,,,,,False,,,,14,1340,99,0,2019-10-08 03:06:16 -0400,ocd-division/country:us/state:ny/cd:5,,,,NY,5,False,3605,7.39,95.42,5.86
A000109,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000109.,Wayne,A.,Allard,,1943-12-02,M,R,,,,,300003,,,15801,,,,,,,False,,,,6,1340,34,0,2019-10-08 03:06:16 -0400,ocd-division/country:us/state:co/cd:4,,,,CO,4,False,0804,2.54,93.58,7.69
A000210,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000210.,Robert,E.,Andrews,,1957-08-04,M,D,,RepAndrews,,,400008,19670,,29132,,,,http://andrews.house.gov/,,,False,,,,8,1340,90,0,2019-10-08 03:06:16 -0400,ocd-division/country:us/state:nj/cd:1,,,,NJ,1,False,3401,6.72,79.12,22.14
A000215,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000215.,Bill,,Archer,,1928-03-22,M,R,,,,,400567,,,13002,,,,,,,False,,,,26,1340,35,0,2019-10-08 03:06:16 -0400,ocd-division/country:us/state:tx/cd:7,,,,TX,7,False,4807,2.61,95.91,4.96
A000217,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000217.,Richard,K.,Armey,,1940-07-07,M,R,,,,,400551,,,15200,,,,,,,False,,,,12,1340,27,0,2019-10-08 03:06:16 -0400,ocd-division/country:us/state:tx/cd:26,,,,TX,26,False,4826,2.01,96.53,4.73
B000013,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000013.,Spencer,,Bachus,,1947-12-28,M,R,,BachusAL06,SpencerBachus,congressmanbachus,400010,26397,,29301,,/m/024p0v,,http://bachus.house.gov,,,False,,,,4,1340,26,1,2019-10-08 03:06:16 -0400,ocd-division/country:us/state:al/cd:6,,,,AL,6,False,0106,1.94,96.06,5.2
B000028,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000028.,Scotty,,Baesler,,1941-07-09,M,D,,,,,401033,,,29353,,,,,,,False,,,,4,1340,26,0,2019-10-08 03:06:16 -0400,ocd-division/country:us/state:ky/cd:6,,,,KY,6,False,2106,1.94,74.04,27.24
B000078,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000078.,Bill,,Baker,,1940-06-14,M,R,,,,,401081,,,29310,,,,,,,False,,,,4,1340,18,0,2019-10-08 03:06:16 -0400,ocd-division/country:us/state:ca/cd:10,,,,CA,10,False,0610,1.34,95.77,5.48
B000072,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000072.,Richard,Hugh,Baker,,1948-05-22,M,R,,,,,400012,,,15400,,,,,,,False,,,,10,1340,83,0,2019-10-08 03:06:16 -0400,ocd-division/country:us/state:la/cd:6,,,,LA,6,False,2206,6.19,96.54,4.77
B000081,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000081.,John,,Baldacci,,1955-01-30,M,D,,,,,400525,,,29528,,,,,,,False,,,,2,1340,19,0,2019-10-08 03:06:16 -0400,ocd-division/country:us/state:me/cd:2,,,,ME,2,False,2302,1.42,90.5,10.77
B000104,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000104.,Cass,,Ballenger,,1926-12-06,M,R,,,,,400015,,,15401,,,,,,,False,,,,12,1340,18,0,2019-10-08 03:06:16 -0400,ocd-division/country:us/state:nc/cd:10,,,,NC,10,False,3710,1.34,96.56,4.69
B000134,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000134.,James,A.,Barcia,,1952-02-25,M,D,,,,,400526,,,29363,,,,,,,False,,,,4,1340,19,0,2019-10-08 03:06:16 -0400,ocd-division/country:us/state:mi/cd:5,,,,MI,5,False,2605,1.42,78.55,22.73
B000169,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000169.,Bob,,Barr,,1948-11-05,M,R,,,,,400514,,,29511,,,,,,,False,,,,2,1340,22,2,2019-10-08 03:06:16 -0400,ocd-division/country:us/state:ga/cd:7,,,,GA,7,False,1307,1.64,96.23,5.03
B000177,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000177.,Thomas,M.,Barrett,,1953-12-08,M,D,,,,,400553,,,39315,,,,,,,False,,,,4,1340,10,1,2019-10-08 03:06:16 -0400,ocd-division/country:us/state:wi/cd:5,,,,WI,5,False,5505,0.75,87.73,13.54
B000179,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000179.,Bill,,Barrett,,1929-02-09,M,R,,,,,400568,,,15805,,,,,,,False,,,,6,1340,8,0,2019-10-08 03:06:16 -0400,ocd-division/country:us/state:ne/cd:3,,,,NE,3,False,3103,0.6,96.04,5.21
B000208,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000208.,Roscoe,G.,Bartlett,,1926-06-03,M,R,,,,RepRoscoeBartlett,400017,27026,,29356,,/m/025k82,,,,,False,,,,4,1340,14,1,2019-10-08 03:06:16 -0400,ocd-division/country:us/state:md/cd:6,,,,MD,6,False,2406,1.04,96.88,4.37
B000213,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000213.,Joe,L.,Barton,,1949-09-15,M,R,,RepJoeBarton,RepJoeBarton,repjoebarton,400018,5248,27082,15085,N00005656,/m/03rspq,,https://joebarton.house.gov,,,False,,,,12,1340,54,0,2019-10-08 03:06:16 -0400,ocd-division/country:us/state:tx/cd:6,,,,TX,6,False,4806,4.03,93.25,7.96
