name,accession
Belgium,Founder
France,Founder
Germany,Founder
Italy,Founder
Luxembourg,Founder
Netherlands,Founder
Denmark,1973-01-01
Ireland,1973-01-01
Greece,1981-01-01
Portugal,1986-01-01
Spain,1986-01-01
Austria,1995-01-01
Finland,1995-01-01
Sweden,1995-01-01
Cyprus,2004-05-01
Czech Republic,2004-05-01
Estonia,2004-05-01
Hungary,2004-05-01
Latvia,2004-05-01
Lithuania,2004-05-01
Malta,2004-05-01
Poland,2004-05-01
Slovakia,2004-05-01
Slovenia,2004-05-01
Bulgaria,2007-01-01
Romania,2007-01-01
Croatia,2013-07-01
