county,region
Berkshire,South East
Buckinghamshire,South East
East Sussex,South East
Hampshire,South East
Isle of Wight,South East
Kent,South East
Oxfordshire,South East
Surrey,South East
West Sussex,South East
City of London,London
Greater London,London
Cheshire,North West
Cumbria,North West
Greater Manchester,North West
Lancashire,North West
Merseyside,North West
Bedfordshire,East of England
Cambridgeshire,East of England
Essex,East of England
Hertfordshire,East of England
Norfolk,East of England
Suffolk,East of England
Herefordshire,West Midlands
Shropshire,West Midlands
Staffordshire,West Midlands
Warwickshire,West Midlands
West Midlands,West Midlands
Worcestershire,West Midlands
Bristol,South West
Cornwall,South West
Devon,South West
Dorset,South West
Gloucestershire,South West
Somerset,South West
Wiltshire,South West
East Riding of Yorkshire,"Yorkshire and the Humber "
North Yorkshire,"Yorkshire and the Humber "
South Yorkshire,"Yorkshire and the Humber "
West Yorkshire,"Yorkshire and the Humber "
Lincolnshire,"Yorkshire and the Humber "
Derbyshire,East Midlands
Leicestershire,East Midlands
Lincolnshire,East Midlands
Northamptonshire,East Midlands
Nottinghamshire,East Midlands
Rutland,East Midlands
County Durham,North East
Northumberland,North East
Tyne and Wear,North East
North Yorkshire,North East
