competition,year,host,champion,champion_former,champion_score,runner_up,runner_up_former,runner_up_score,third_place,third_place_former,fourth_place,fourth_place_former
AFC Asian Cup,1968,Iran,Iran,,,Burma,,,Israel,,Taiwan,Republic of China
AFC Asian Cup,1972,Thailand,Iran,,,South Korea,,,Thailand,,Cambodia,Khmer Republic
AFC Asian Cup,1976,Iran,Iran,,,Kuwait,,,China,,Iraq,
AFC Asian Cup,1980,Kuwait,Kuwait,,,South Korea,,,Iran,,North Korea,
AFC Asian Cup,1984,Singapore,Saudi Arabia,,,China,,,Kuwait,,Iran,
AFC Asian Cup,1988,Qatar,Saudi Arabia,,,South Korea,,,Iran,,China,
AFC Asian Cup,1992,Japan,Japan,,,Saudi Arabia,,,China,,United Arab Emirates,
AFC Asian Cup,1996,UAE,Saudi Arabia,,,United Arab Emirates,,,Iran,,Kuwait,
AFC Asian Cup,2000,Lebanon,Japan,,,Saudi Arabia,,,South Korea,,China,
AFC Asian Cup,2004,China,Japan,,,China,,,Iran,,Bahrain,
AFC Asian Cup,2007,Indonesia;Malaysia;Thailand;Vietnam,Iraq,,,Saudi Arabia,,,South Korea,,Japan,
AFC Asian Cup,2011,Qatar,Japan,,,Australia,,,South Korea,,Uzbekistan,
AFC Asian Cup,2015,Australia,Australia,,,South Korea,,,United Arab Emirates,,Iraq,
AFC Asian Cup,2019,UAE,Qatar,,,Japan,,,,,,
AFF Cup,1996,Singapore,Thailand,,1,Malaysia,,0,,,,
AFF Cup,1998,Vietnam,Singapore,,1,Vietnam,,0,,,,
AFF Cup,2000,Thailand,Thailand,,4,Indonesia,,1,,,,
AFF Cup,2002,Indonesia,Thailand,,2,Indonesia,,2,,,,
AFF Cup,,Singapore,,,,,,,,,,
AFF Cup,2004,Malaysia,Singapore,,3,Indonesia,,1,,,,
AFF Cup,,Vietnam,,,2,,,1,,,,
AFF Cup,2007,Singapore,Singapore,,2,Thailand,,1,,,,
AFF Cup,,Thailand,,,1,,,1,,,,
AFF Cup,2008,Indonesia,Vietnam,,2,Thailand,,1,,,,
AFF Cup,,Thailand,,,1,,,1,,,,
AFF Cup,2010,Indonesia,Malaysia,,3,Indonesia,,0,,,,
AFF Cup,,Vietnam,,,1,,,2,,,,
AFF Cup,2012,Malaysia,Singapore,,3,Thailand,,1,,,,
AFF Cup,,Thailand,,,0,,,1,,,,
AFF Cup,2014,Singapore,Thailand,,2,Malaysia,,0,,,,
AFF Cup,,Vietnam,,,2,,,3,,,,
AFF Cup,2016,Myanmar,Thailand,,1,Indonesia,,2,,,,
AFF Cup,,Philippines,,,2,,,0,,,,
AFF Cup,2018,,Vietnam,,2,Malaysia,,2,,,,
AFF Cup,,,,,1,,,0,,,,
AFF Cup,2020,Singapore,Thailand,,4,Indonesia,,0,,,,
AFF Cup,,,,,2,,,2,,,,
AFF Cup,2022,,Thailand,,2,Vietnam,,2,,,,
AFF Cup,,,,,1,,,0,,,,
Copa América,1919,,Brazil,,1,Uruguay,,0,,,,
Copa América,1922,,Brazil,,3,Paraguay,,0,,,,
Copa América,1937,,Argentina,,2,Brazil,,0,,,,
Copa América,1949,,Brazil,,7,Paraguay,,0,,,,
Copa América,1953,,Paraguay,,3,Brazil,,2,,,,
Copa América,1975,,Peru,,,Colombia,,,,,,
Copa América,"1979 ",,Paraguay,,,Chile,,,,,,
Copa América,1983,,Uruguay,,,Brazil,,,,,,
Copa América,1987,,Uruguay,,1,"Chile ",,0,,,,
Copa América,1993,,Argentina,,2,Mexico,,1,,,,
Copa América,1995,,Uruguay,,1,Brazil,,1,,,,
Copa América,1997,,Brazil,,3,Bolivia,,1,,,,
Copa América,1999,,Brazil,,3,Uruguay,,0,,,,
Copa América,2001,,Colombia,,1,Mexico,,0,,,,
Copa América,2004,,Brazil,,2,Argentina,,2,,,,
Copa América,2007,,Brazil,,3,Argentina,,0,,,,
Copa América,2011,,Uruguay,,3,Paraguay,,0,,,,
Copa América,2015,,Chile,,0,Argentina,,0,,,,
Copa América,2016,,Chile,,0,Argentina,,0,,,,
Copa América,"2019 ",,Brazil,,3,Peru,,1,,,,
Copa América,"2021 ",,Argentina,,1,Brazil,,0,,,,
