symbol,first,last,change,change_percentage
HDM,1.82,2.96,0.63,63
QHD,1.59,2.4,0.51,51
LM7,3.67,5.27,0.44,44
LCS,7.01,9.92,0.42,42
SHS,0.94,1.33,0.41,41
PRC,2.28,3.22,0.41,41
KSB,3.46,4.77,0.38,38
CII,7.58,10.49,0.38,38
VND,1.22,1.66,0.36,36
TBX,10.69,14.51,0.36,36
LGC,6.2,8.39,0.35,35
SVN,14.1,18.7,0.33,33
SMB,3.3,4.4,0.33,33
HCM,2.2,2.93,0.33,33
PVI,6.92,9.11,0.32,32
PDC,4.1,5.4,0.32,32
NTL,7.49,9.87,0.32,32
LHG,7.23,9.53,0.32,32
DBM,6.83,9.0,0.32,32
BSC,4.02,5.28,0.31,31
STL,10.3,13.4,0.3,30
PIV,4.33,5.61,0.3,30
PCG,3.17,4.13,0.3,30
ICG,5.63,7.33,0.3,30
VCF,38.06,48.93,0.29,29
SHN,8.71,11.25,0.29,29
SAP,5.51,7.13,0.29,29
KDC,7.67,9.89,0.29,29
HJS,1.86,2.4,0.29,29
VCT,6.1,7.8,0.28,28
CJC,6.11,7.8,0.28,28
SDD,4.8,6.1,0.27,27
PAC,6.3,7.96,0.26,26
POT,4.12,5.16,0.25,25
HUT,4.36,5.46,0.25,25
HDO,8.0,10.0,0.25,25
API,1.79,2.23,0.25,25
TIG,1.99,2.47,0.24,24
SSI,4.43,5.51,0.24,24
PGS,5.64,6.98,0.24,24
BVS,10.76,13.34,0.24,24
ARM,3.42,4.25,0.24,24
UDJ,2.08,2.55,0.23,23
STP,3.81,4.69,0.23,23
LCG,5.63,6.94,0.23,23
BST,1.89,2.32,0.23,23
SD9,4.22,5.16,0.22,22
PGT,4.6,5.6,0.22,22
NOS,2.7,3.3,0.22,22
NNC,2.59,3.16,0.22,22
HTI,1.63,1.99,0.22,22
FMC,1.7,2.07,0.22,22
VCG,7.48,9.04,0.21,21
TNA,1.94,2.34,0.21,21
SDP,4.48,5.41,0.21,21
HMH,2.28,2.75,0.21,21
APS,3.54,4.28,0.21,21
VRC,6.59,7.88,0.2,20
VC1,4.37,5.25,0.2,20
TNG,1.28,1.53,0.2,20
NTB,7.0,8.4,0.2,20
MAC,1.87,2.24,0.2,20
HHC,6.36,7.61,0.2,20
DAE,2.13,2.55,0.2,20
VIX,0.83,0.99,0.19,19
SCO,7.4,8.8,0.19,19
IDJ,1.75,2.08,0.19,19
DBC,2.1,2.49,0.19,19
VGS,2.78,3.27,0.18,18
TCT,5.61,6.61,0.18,18
SCL,4.48,5.27,0.18,18
PVX,10.7,12.6,0.18,18
KBC,8.78,10.39,0.18,18
HDC,3.17,3.73,0.18,18
ADC,0.94,1.11,0.18,18
VNA,7.1,8.3,0.17,17
VIG,3.6,4.2,0.17,17
VE9,3.32,3.88,0.17,17
V11,3.5,4.1,0.17,17
SRB,4.2,4.9,0.17,17
SCR,4.06,4.77,0.17,17
PSC,3.49,4.07,0.17,17
DTA,4.86,5.71,0.17,17
DIG,3.67,4.3,0.17,17
COM,13.99,16.36,0.17,17
AAA,2.89,3.37,0.17,17
YBC,19.9,23.0,0.16,16
VLA,1.53,1.77,0.16,16
TDC,1.94,2.25,0.16,16
TC6,1.98,2.29,0.16,16
SD6,4.07,4.71,0.16,16
SAV,4.83,5.59,0.16,16
REE,4.81,5.58,0.16,16
PV2,5.1,5.9,0.16,16
PHH,5.79,6.7,0.16,16
OCH,9.37,10.89,0.16,16
KKC,3.97,4.59,0.16,16
HSG,1.07,1.24,0.16,16
DQC,5.18,6.02,0.16,16
DMC,7.06,8.22,0.16,16
DHT,3.06,3.54,0.16,16
DCS,6.8,7.9,0.16,16
CTA,4.67,5.43,0.16,16
CCM,6.87,7.97,0.16,16
BMC,6.92,8.04,0.16,16
BKC,9.7,11.3,0.16,16
WSS,4.1,4.7,0.15,15
VNC,4.78,5.51,0.15,15
TMS,5.26,6.05,0.15,15
SDC,5.36,6.14,0.15,15
SAM,2.52,2.89,0.15,15
S96,9.3,10.7,0.15,15
PVL,4.8,5.5,0.15,15
PVE,6.2,7.16,0.15,15
L43,6.93,7.97,0.15,15
IJC,2.73,3.15,0.15,15
GLT,2.91,3.34,0.15,15
CTS,2.58,2.96,0.15,15
BVG,4.0,4.6,0.15,15
B82,5.13,5.9,0.15,15
APP,5.11,5.9,0.15,15
VCM,2.27,2.58,0.14,14
SDA,5.01,5.72,0.14,14
SD2,3.89,4.42,0.14,14
MSN,48.38,55.08,0.14,14
ITC,7.24,8.24,0.14,14
BBC,8.47,9.65,0.14,14
ABT,12.06,13.78,0.14,14
TJC,2.24,2.54,0.13,13
TDN,1.92,2.16,0.13,13
TDH,5.54,6.27,0.13,13
SGC,7.82,8.82,0.13,13
SBT,4.7,5.3,0.13,13
S55,3.48,3.92,0.13,13
PVG,7.78,8.77,0.13,13
ONE,1.68,1.9,0.13,13
OGC,11.13,12.56,0.13,13
LUT,9.3,10.5,0.13,13
DC2,4.2,4.76,0.13,13
CTI,8.51,9.6,0.13,13
