id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,ideal_point,seniority,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,district,at_large,geoid,missed_votes_pct,votes_with_party_pct,votes_against_party_pct
A000014,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000014.,Neil,,Abercrombie,,1938-06-26,M,D,,neilabercrombie,,hawaiirep1,400001,,,15244,,/m/0255rj,,,,,False,,,,10,1187,15,3,2019-10-08 02:28:37 -0400,ocd-division/country:us/state:hi/cd:1,,,,HI,1,False,1501,1.26,88.67,11.86
A000022,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000022.,Gary,L.,Ackerman,,1942-11-19,M,D,,repgaryackerman,,RepAckerman,400003,1002061,,15080,,/m/03rhdq,,,,,False,,,,16,1187,105,0,2019-10-08 02:28:37 -0400,ocd-division/country:us/state:ny/cd:5,,,,NY,5,False,3605,8.85,95.38,5.1
A000055,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000055.,Robert,B.,Aderholt,,1965-07-22,M,R,,Robert_Aderholt,RobertAderholt,RobertAderholt,400004,45516,441,29701,N00003028,/m/024p03,,https://aderholt.house.gov,https://aderholt.house.gov/rss.xml,,False,,,,2,1187,4,0,2021-03-02 02:35:23 -0500,ocd-division/country:us/state:al/cd:4,,,,AL,4,False,0104,0.34,93.9,6.62
A000357,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000357.,Thomas,H.,Allen,,1945-04-16,M,D,,,,,400007,,,29728,,,,,,,False,,,,2,1187,17,0,2019-10-08 02:28:37 -0400,ocd-division/country:us/state:me/cd:1,,,,ME,1,False,2301,1.43,94.11,6.33
A000210,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000210.,Robert,E.,Andrews,,1957-08-04,M,D,,RepAndrews,,,400008,19670,,29132,,,,http://andrews.house.gov/,,,False,,,,10,1187,95,1,2019-10-08 02:28:37 -0400,ocd-division/country:us/state:nj/cd:1,,,,NJ,1,False,3401,8.0,88.4,12.18
A000215,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000215.,Bill,,Archer,,1928-03-22,M,R,,,,,400567,,,13002,,,,,,,False,,,,28,1187,54,0,2019-10-08 02:28:37 -0400,ocd-division/country:us/state:tx/cd:7,,,,TX,7,False,4807,4.55,95.07,5.11
A000217,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000217.,Richard,K.,Armey,,1940-07-07,M,R,,,,,400551,,,15200,,,,,,,False,,,,14,1187,35,0,2019-10-08 02:28:37 -0400,ocd-division/country:us/state:tx/cd:26,,,,TX,26,False,4826,2.95,94.72,5.82
B000013,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000013.,Spencer,,Bachus,,1947-12-28,M,R,,BachusAL06,SpencerBachus,congressmanbachus,400010,26397,,29301,,/m/024p0v,,http://bachus.house.gov,,,False,,,,6,1187,11,0,2019-10-08 02:28:37 -0400,ocd-division/country:us/state:al/cd:6,,,,AL,6,False,0106,0.93,92.99,7.54
B000028,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000028.,Scotty,,Baesler,,1941-07-09,M,D,,,,,401033,,,29353,,,,,,,False,,,,6,1187,38,0,2019-10-08 02:28:37 -0400,ocd-division/country:us/state:ky/cd:6,,,,KY,6,False,2106,3.2,80.51,20.04
B000072,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000072.,Richard,Hugh,Baker,,1948-05-22,M,R,,,,,400012,,,15400,,,,,,,False,,,,12,1187,65,0,2019-10-08 02:28:37 -0400,ocd-division/country:us/state:la/cd:6,,,,LA,6,False,2206,5.48,96.79,3.76
B000081,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000081.,John,,Baldacci,,1955-01-30,M,D,,,,,400525,,,29528,,,,,,,False,,,,4,1187,9,1,2019-10-08 02:28:37 -0400,ocd-division/country:us/state:me/cd:2,,,,ME,2,False,2302,0.76,93.27,7.17
B000104,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000104.,Cass,,Ballenger,,1926-12-06,M,R,,,,,400015,,,15401,,,,,,,False,,,,14,1187,52,0,2019-10-08 02:28:37 -0400,ocd-division/country:us/state:nc/cd:10,,,,NC,10,False,3710,4.38,94.75,5.79
B000134,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000134.,James,A.,Barcia,,1952-02-25,M,D,,,,,400526,,,29363,,,,,,,False,,,,6,1187,27,3,2019-10-08 02:28:37 -0400,ocd-division/country:us/state:mi/cd:5,,,,MI,5,False,2605,2.27,78.42,22.12
B000169,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000169.,Bob,,Barr,,1948-11-05,M,R,,,,,400514,,,29511,,,,,,,False,,,,4,1187,37,5,2019-10-08 02:28:37 -0400,ocd-division/country:us/state:ga/cd:7,,,,GA,7,False,1307,3.12,90.49,10.04
B000177,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000177.,Thomas,M.,Barrett,,1953-12-08,M,D,,,,,400553,,,39315,,,,,,,False,,,,6,1187,9,1,2019-10-08 02:28:37 -0400,ocd-division/country:us/state:wi/cd:5,,,,WI,5,False,5505,0.76,88.82,11.71
