code,shortCode,name,family,branch
ace,,Acehnese,,
ada,,Adangme,,
afr,af,Afrikaans,Indo-European,
aka,,Akan,,
amh,,Amharic,,
ara,ar,Arabic,,
ayr,,Aymara,,
aze,az,Azerbaijani,Turkic,
bam,,Bambara,,
ban,,Balinese,,
bci,,Baoulé,,
bcl,,Central Bikol,,
bel,be,Belarusian,Indo-European,Slavic
bem,,Bemba,,
ben,bn,Bengali,Indo-European,Indo-Iranian
bho,,Bhojpuri,,
bin,,Bini,,
bos,bs,Bosnian,Indo-European,Slavic
bug,,Buginese,,
bul,bg,Bulgarian,Indo-European,Slavic
cat,ca,Catalan,Indo-European,Italic
ceb,,Cebuano,,
ces,cs,Czech,Indo-European,Slavic
cjk,,Chokwe,,
ckb,,Kurdish,Indo-European,Indo-Iranian
cym,cy,Welsh,Indo-European,Celtic
dan,da,Danish,Indo-European,Germanic
deu,de,German,Indo-European,Germanic
dip,,Dinka,,
ell,el,Greek,Indo-European,Hellenic
emk,,Maninka,,
eng,en,English,Indo-European,Germanic
epo,eo,Esperanto,,
est,et,Estonian,Uralic,
eus,eu,Basque,,
ewe,,Ewe,,
fas,fa,Persian,Indo-European,
fil,,Fillipino,,
fin,fi,Finnish,Uralic,
fon,,Fon,,
fra,fr,French,Indo-European,
fuc,,Pulaar,,
gaa,,Ga,,
gax,,Oromo,,
gla,ga,Irish,,
glg,gl,Galician,,
guj,gu,Gujarati,,
hat,ht,Haitian Creole,,
hau,ha,Hausa,,
heb,he,Hebrew,,
hil,,Hiligaynon,,
hin,hi,Hindi,,
hmn,,Hmong,,
hms,,Qiandong Miao,,
hrv,hr,Croatian,Indo-European,Slavic
hun,hu,Hungarian,,
hye,hy,Armenian,Indo-European,
ibb,,Ibibio,,
ibo,ig,Igbo,,
ilo,,Iloko,,
ind,id,Indonesian,,
isl,is,Icelandic,Indo-European,
ita,it,Italian,Indo-European,
jav,jv,Javanese,,
jpn,ja,Japanese,,
kan,kn,Kannada,,
kat,ka,Georgian,,
kaz,kk,Kazakh,Turkic,
kbp,,Kabiyè,,
kde,,Makonde,,
khm,km,Khmer,,
kin,,Kinyarwanda,,
kir,,Kirghiz,,
kmb,,Kimbundu,,
knc,,Kanuri,,
kng,,Kongo,,
kor,ko,Korean,,
lao,lo,Laotian,,
lat,la,Latin,,
lav,lv,Latvian,Indo-European,Baltic
lin,,Lingala,,
lit,lt,Lithuanian,Indo-European,Baltic
lua,,Luba-Kasai,,
lug,,Luganda,,
lun,,Lunda,,
mad,,Madurese,,
mag,,Magahi,,
mai,,Maithili,,
mal,ml,Malayalam,,
mar,mr,Marathi,,
men,,Mende,,
min,,Minangkabau,,
mkd,mk,Macedonian,Indo-European,Slavic
mlg,mg,Malagasy,,
mlt,mt,Maltese,,
mon,mn,Mongolian,,
mos,,Mossi,,
mri,mi,Maori,,
msa,ms,Malay,,
ndo,,Ndonga,,
nds,,Low German,,
nep,ne,Nepali,,
nhn,,Central Nahuatl,,
nld,nl,Dutch,Indo-European,
nno,,Nynorsk,,
nor,no,Norwegian,Indo-European,
nso,,Northern Sotho,,
nya,ny,Chichewa,,
nyn,,Nyankole,,
pam,,Pampanga,,
pan,pa,Punjabi,,
pol,pl,Polish,Indo-European,Slavic
por,pt,Portuguese,Indo-European,
qug,,Quichua,,
quy,,Ayacucho Quechua,,
quz,,Cusco Quechua,,
rmn,,Balkan Romani,,
rmy,,Vlax Romani,,
rom,ro,Romanian,Indo-European,
run,,Rundi,,
rus,ru,Russian,Indo-European,Slavic
sag,,Sango,,
sco,,Scots,,
sin,si,Sinhala,,
slk,sk,Slovak,Indo-European,Slavic
slv,sl,Slovenian,Indo-European,Slavic
sna,,Shona,,
snk,,Soninke,,
snn,,Siona,,
sot,,Sotho,,
spa,es,Spanish,Indo-European,
sqi,sq,Albanian,Indo-European,
src,,Logudorese Sardinian,,
srp,sr,Serbian,Indo-European,Slavic
ssw,,Swati,,
suk,,Sukuma,,
sun,su,Sundanese,,
swa,sw,Swahili,,
swe,sv,Swedish,Indo-European,
tam,ta,Tamil,,
tat,,Tatar,Turkic,
tel,te,Telugu,,
tem,,Timne,,
tgk,tg,Tajik,,
tgl,,Tagalog,,
tha,th,Thai,,
tir,,Tigrinya,,
tiv,,Tiv,,
toi,,Tonga,,
tpi,,Tok Pisin,,
tsn,,Tswana,,
tso,,Tsonga,,
tuk,,Turkmen,Turkic,
tur,tr,Turkish,Turkic,
tzm,,Tamazight,,
uig,,Uighur,,
ukr,uk,Ukrainian,Indo-European,Slavic
umb,,Umbundu,,
urb,ur,Urdu,Indo-European,Indo-Iranian
uzb,uz,Uzbek,Turkic,
vie,vi,Vietnamese,Austroasiatic,
vmw,,Makhuwa,,
war,,Waray,,
wol,,Wolof,,
xho,,Xhosa,,
yao,,Yao,,
yid,yi,Yiddish,Indo-European,Germanic
yor,yo,Yoruba,,
zhh,,Chinese Traditional,Sino-Tibetan,
zho,zh,Chinese Simplified,Sino-Tibetan,
zul,zu,Zulu,,
