id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,ideal_point,seniority,next_election,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,senate_class,state_rank,lis_id,missed_votes_pct,votes_with_party_pct,votes_against_party_pct
A000355,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/A000355.,Spencer,,Abraham,,1952-06-12,M,R,,,,,400555,,,49500,,,,,,,False,,,,1,2000,916,0,0,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:mi,,,,MI,1,,S238,0.0,93.08,6.92
A000069,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/A000069.,Daniel,K.,Akaka,,1924-09-11,M,D,,SenatorAkaka,,senatorakaka,300001,8704,,14400,,/m/01rbrq,,,,,False,,,,5,2000,916,12,0,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:hi,,,,HI,1,,S213,1.31,94.24,5.76
A000356,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/A000356.,John,,Ashcroft,,1942-05-09,M,R,,,,,400556,,,49501,,,,,,,False,,,,1,2000,916,14,0,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:mo,,,,MO,1,,S239,1.53,93.31,6.69
B000243,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/B000243.,Max,,Baucus,,1941-12-11,M,D,,,,SenatorBaucus,300005,1727,,14203,,/m/01rcm2,,http://www.baucus.senate.gov,,,False,,,,17,1996,916,7,0,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:mt,,,,MT,2,,S127,0.76,76.52,23.48
B000382,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B000382.,Robert,F.,Bennett,,1933-09-18,M,R,,,,SenatorBennett,300007,25708,,49307,,/m/01xtg9,,,,,False,,,,3,1998,916,29,0,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:ut,,,,UT,3,,S231,3.17,94.33,5.67
B000444,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/B000444.,Joseph,R.,Biden,Jr.,1942-11-20,M,D,,,,,300008,34,,14101,,,,,,,False,,,,23,1996,916,25,0,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:de,,,,DE,2,,S010,2.73,85.31,14.69
B000468,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B000468.,Jeff,,Bingaman,,1943-10-03,M,D,,jeffbingaman,,SenJeffBingaman,300009,590,,15101,,/m/01xck2,,,,,False,,,,13,2000,916,8,0,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:nm,,,,NM,1,,S167,0.87,85.97,14.03
B000611,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B000611.,Christopher,S.,Bond,,1939-03-06,M,R,,,,CSBondMO,300010,2360,,15500,,/m/01_6h2,,,,,False,,,,9,1998,916,24,17,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:mo,,,,MO,3,,S200,2.62,91.89,8.11
B000711,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B000711.,Barbara,,Boxer,,1940-11-11,F,D,,SenatorBoxer,senatorboxer,SenatorBoxer,300011,2470,,15011,,/m/01c1n5,,https://www.boxer.senate.gov,https://www.boxer.senate.gov/rss/?p=release,,False,,,,3,1998,916,16,2,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:ca,,,,CA,3,,S223,1.75,91.27,8.73
B001225,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/B001225.,William,Warren,Bradley,,1943-07-28,M,D,,,,,401709,,,14702,,,,,,,False,,,,17,1996,916,80,1,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:nj,,,,NJ,2,,S132,8.73,87.78,12.22
B000780,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B000780.,John,B.,Breaux,,1944-03-01,M,D,,,,,300012,,,13056,,,,,,,False,,,,9,1998,916,8,0,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:la,,,,LA,3,,S179,0.87,79.64,20.36
B000919,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/B000919.,Hank,,Brown,,1940-02-12,M,R,,,,,401874,,,14803,,,,,,,False,,,,5,1996,916,0,0,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:co,,,,CO,2,,S214,0.0,86.5,13.5
B000953,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B000953.,Sam,,Brownback,,1956-09-12,M,R,,SenSamBrownback,,SenatorSamBrownback,300013,,,29523,,/m/0202ny,,,,,False,,,,1,1998,0,0,0,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:ks,,,,KS,3,,S249,0.0,0.0,0.0
B000993,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B000993.,Richard,H.,Bryan,,1937-07-16,M,D,,,,,400557,,,15701,,,,,,,False,,,,7,2000,916,2,0,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:nv,,,,NV,1,,S206,0.22,83.8,16.2
B001057,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B001057.,Dale,,Bumpers,,1925-08-12,M,D,,,,,402004,,,14300,,,,,,,False,,,,21,1998,916,39,0,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:ar,,,,AR,3,,S014,4.26,91.42,8.58
B001126,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B001126.,Conrad,,Burns,,1935-01-25,M,R,,,,,300015,,,15702,,,,,,,False,,,,7,2000,916,2,0,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:mt,,,,MT,1,,S211,0.22,94.72,5.28
B001210,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B001210.,Robert,C.,Byrd,,1917-11-20,M,D,,,,,300016,,,1366,,/m/06bss,,,,,False,,,,37,2000,916,0,0,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:wv,,,,WV,1,,S017,0.0,83.05,16.95
C000077,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/C000077.,Ben,Nighthorse,Campbell,,1933-04-13,M,R,,,,,300017,,,15406,,,,,,,False,,,,3,1998,819,34,0,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:co,,,,CO,3,,S225,4.15,84.64,15.36
C000077,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/C000077.,Ben,Nighthorse,Campbell,,1933-04-13,M,D,,,,,300017,,,15406,,,,,,,False,,,,3,1998,97,2,0,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:co,,,,CO,3,,S225,2.06,59.57,40.43
C000269,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/C000269.,John,H.,Chafee,,1922-10-22,M,R,,,,,402412,,,14500,,,,,,,False,,,,19,2000,916,6,0,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:ri,,,,RI,1,,S116,0.66,77.9,22.1
C000542,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/C000542.,Daniel,,Coats,,1943-05-16,M,R,,SenDanCoats,180671148633644,SenatorCoats,402675,6080,,14806,,/m/0jl26,,http://www.coats.senate.gov,,,False,,,,7,1998,916,14,0,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:in,,,,IN,3,,S212,1.53,94.2,5.8
C000567,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/C000567.,Thad,,Cochran,,1937-12-07,M,R,,SenThadCochran,,sencochran,300023,1200,53312,14009,N00003328,/m/01fmcd,,https://www.cochran.senate.gov,,,False,,,,17,1996,916,22,0,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:ms,,,,MS,2,,S136,2.4,92.7,7.3
C000598,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/C000598.,William,Sebastian,Cohen,,1940-08-28,M,R,,,,,402727,,,14010,,,,,,,False,,,,17,1996,916,20,0,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:me,,,,ME,2,,S137,2.18,74.3,25.7
C000705,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/C000705.,Kent,,Conrad,,1948-03-12,M,D,,,,SenatorConrad,300026,2517,,15501,,/m/021fx2,,,,,False,,,,9,2000,916,15,0,2019-10-07 09:24:22 -0400,ocd-division/country:us/state:nd,,,,ND,1,,S201,1.64,88.55,11.45
