id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,ideal_point,seniority,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,district,at_large,geoid,senate_class,state_rank,lis_id
A000022,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000022.,Gary,L.,Ackerman,,1942-11-19,M,D,,repgaryackerman,,RepAckerman,400003,1002061,,15080,,/m/03rhdq,,,,,False,,,,6,,,,2016-06-14 16:25:53 -0400,ocd-division/country:us/state:ny/cd:7,,,,NY,7,False,3607,,,
A000069,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000069.,Daniel,K.,Akaka,,1924-09-11,M,D,,SenatorAkaka,,senatorakaka,300001,8704,,14400,,/m/01rbrq,,,,,False,,,,12,,,,2016-06-14 16:25:53 -0400,ocd-division/country:us/state:hi/cd:2,,,,HI,2,False,1502,,,
A000103,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000103.,William,Vollie,Alexander,,1934-01-16,M,D,,,,,400761,,,12000,,,,,,,False,,,,20,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:ar/cd:1,,,,AR,1,False,0501,,,
A000189,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000189.,Glenn,Malcolm,Anderson,,1913-02-21,,D,,,,,400844,,,12001,,,,,,,False,,,,20,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:ca/cd:32,,,,CA,32,False,0632,,,
A000209,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000209.,Michael,,Andrews,,1944-02-07,M,D,,,,,400882,,,15000,,,,,,,False,,,,6,,,,2013-04-12 20:11:57 -0400,ocd-division/country:us/state:tx/cd:25,,,,TX,25,False,4825,,,
A000212,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000212.,Frank,,Annunzio,,1915-01-12,M,D,,,,,400895,,,10703,,,,,,,False,,,,24,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:il/cd:11,,,,IL,11,False,1711,,,
A000213,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000213.,Beryl,Franklin,Anthony,,1938-02-21,,D,,,,,400898,,,14601,,,,,,,False,,,,10,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:ar/cd:4,,,,AR,4,False,0504,,,
A000214,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000214.,Douglas,,Applegate,,1928-03-27,M,D,,,,,400906,,,14402,,,,,,,False,,,,12,,,,2013-04-12 20:11:57 -0400,ocd-division/country:us/state:oh/cd:18,,,,OH,18,False,3918,,,
A000215,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000215.,Bill,,Archer,,1928-03-22,M,R,,,,,400567,,,13002,,,,,,,False,,,,18,,,,2013-04-12 20:11:59 -0400,ocd-division/country:us/state:tx/cd:7,,,,TX,7,False,4807,,,
A000217,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000217.,Richard,K.,Armey,,1940-07-07,M,R,,,,,400551,,,15200,,,,,,,False,,,,4,,,,2013-04-12 20:12:00 -0400,ocd-division/country:us/state:tx/cd:26,,,,TX,26,False,4826,,,
A000224,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000224.,Leslie,,Aspin,,1938-07-21,M,D,,,,,400967,,,13003,,,,,,,False,,,,18,,,,2013-04-12 20:11:57 -0400,ocd-division/country:us/state:wi/cd:1,,,,WI,1,False,5501,,,
A000226,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000226.,Chester,Greenough,Atkins,,1948-04-14,M,D,,,,,400975,,,15201,,,,,,,False,,,,4,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:ma/cd:5,,,,MA,5,False,2505,,,
A000337,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000337.,Les,,AuCoin,,1942-10-21,,D,,,,,400987,,,14201,,,,,,,False,,,,14,,,,2013-04-12 20:11:55 -0400,ocd-division/country:us/state:or/cd:1,,,,OR,1,False,4101,,,
B000024,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000024.,Robert,Edward,Badham,,1929-06-09,M,R,,,,,401029,,,14403,,,,,,,False,,,,12,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:ca/cd:40,,,,CA,40,False,0640,,,
B000072,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000072.,Richard,Hugh,Baker,,1948-05-22,M,R,,,,,400012,,,15400,,,,,,,False,,,,2,,,,2013-04-12 20:12:02 -0400,ocd-division/country:us/state:la/cd:6,,,,LA,6,False,2206,,,
B000104,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000104.,Cass,,Ballenger,,1926-12-06,M,R,,,,,400015,,,15401,,,,,,,False,,,,2,,,,2013-04-12 20:12:01 -0400,ocd-division/country:us/state:nc/cd:10,,,,NC,10,False,3710,,,
