university,country,rank_qs
Massachusetts Institute of Technology,United States,1.0
University of Cambridge,United Kingdom,2.0
University of Oxford,United Kingdom,3.0
Harvard University,United States,4.0
Stanford University,United States,5.0
Imperial College London,United Kingdom,6.0
ETH Zurich,Switzerland,7.0
National University of Singapore,Singapore,8.0
University College London,United Kingdom,9.0
"University of California, Berkeley",United States,10.0
University of Chicago,United States,11.0
University of Pennsylvania,United States,12.0
Cornell University,United States,13.0
University of Melbourne,Australia,14.0
California Institute of Technology,United States,15.0
Yale University,United States,16.0
Peking University,China,17.0
Princeton University,United States,18.0
University of New South Wales,Australia,19.0
University of Sydney,Australia,20.0
University of Toronto,Canada,21.0
University of Edinburgh,United Kingdom,22.0
Columbia University,United States,23.0
Paris Sciences et Lettres – PSL Research University Paris,France,24.0
Tsinghua University,China,25.0
Nanyang Technological University,Singapore,26.0
University of Hong Kong,Hong Kong,27.0
Johns Hopkins University,United States,28.0
University of Tokyo,Japan,29.0
"University of California, Los Angeles",United States,30.0
McGill University,Canada,31.0
University of Manchester,United Kingdom,32.0
University of Michigan-Ann Arbor,United States,33.0
Australian National University,Australia,34.0
University of British Columbia,Canada,35.0
École Polytechnique Fédérale de Lausanne,Switzerland,36.0
Technical University of Munich,Germany,37.0
Institut Polytechnique de Paris,France,38.0
New York University,United States,39.0
King's College London,United Kingdom,40.0
Seoul National University,South Korea,41.0
Monash University,Australia,42.0
University of Queensland,Australia,43.0
Zhejiang University,China,44.0
London School of Economics and Political Science,United Kingdom,45.0
Kyoto University,Japan,46.0
Delft University of Technology,Netherlands,47.0
Northwestern University,United States,48.0
Chinese University of Hong Kong,Hong Kong,49.0
Fudan University,China,50.0
Shanghai Jiao Tong University,China,51.0
Carnegie Mellon University,United States,52.0
University of Amsterdam,Netherlands,53.0
University of Munich,Germany,54.0
University of Bristol,United Kingdom,55.0
Korea Advanced Institute of Science and Technology,South Korea,56.0
Duke University,United States,57.0
University of Texas at Austin,United States,58.0
Sorbonne University,France,59.0
Hong Kong University of Science and Technology,Hong Kong,60.0
KU Leuven,Belgium,61.0
"University of California, San Diego",United States,62.0
University of Washington,United States,63.0
University of Illinois at Urbana-Champaign,United States,64.0
Hong Kong Polytechnic University,Hong Kong,65.0
Universiti Malaya,Malaysia,66.0
University of Warwick,United Kingdom,67.0
University of Auckland,New Zealand,68.0
National Taiwan University,Taiwan,69.0
City University of Hong Kong,Hong Kong,70.0
Université Paris-Saclay,France,71.0
University of Western Australia,Australia,72.0
Brown University,United States,73.0
KTH Royal Institute of Technology,Sweden,74.0
University of Leeds,United Kingdom,75.0
University of Glasgow,United Kingdom,76.0
Yonsei University,South Korea,77.0
Durham University,United Kingdom,78.0
Korea University,South Korea,79.0
Osaka University,Japan,80.0
Trinity College Dublin,Ireland,81.0
University of Southampton,United Kingdom,82.0
Pennsylvania State University,United States,83.0
University of Birmingham,United Kingdom,84.0
Lund University,Sweden,85.0
Universidade de São Paulo,Brazil,86.0
Lomonosov Moscow State University,Russia,87.0
Universität Heidelberg,Germany,88.0
University of Adelaide,Australia,89.0
University of Technology Sydney,Australia,90.0
Tokyo Institute of Technology,Japan,91.0
University of Zurich,Switzerland,92.0
Boston University,United States,93.0
Universidad Nacional Autónoma de México,Mexico,94.0
Universidad de Buenos Aires,Argentina,95.0
University of St Andrews,United Kingdom,96.0
Georgia Institute of Technology,United States,97.0
Freie Universitaet Berlin,Germany,98.0
Purdue University - West Lafayette,United States,99.0
Pohang University of Science and Technology,South Korea,100.0
