university,country,rank_qs
Hong Kong Polytechnic University,Hong Kong,65.0
Universiti Malaya,Malaysia,66.0
University of Warwick,United Kingdom,67.0
University of Auckland,New Zealand,68.0
National Taiwan University,Taiwan,69.0
City University of Hong Kong,Hong Kong,70.0
Université Paris-Saclay,France,71.0
University of Western Australia,Australia,72.0
Brown University,United States,73.0
KTH Royal Institute of Technology,Sweden,74.0
University of Leeds,United Kingdom,75.0
University of Glasgow,United Kingdom,76.0
Yonsei University,South Korea,77.0
Durham University,United Kingdom,78.0
Korea University,South Korea,79.0
Osaka University,Japan,80.0
Trinity College Dublin,Ireland,81.0
University of Southampton,United Kingdom,82.0
Pennsylvania State University,United States,83.0
University of Birmingham,United Kingdom,84.0
Lund University,Sweden,85.0
Universidade de São Paulo,Brazil,86.0
Lomonosov Moscow State University,Russia,87.0
Universität Heidelberg,Germany,88.0
University of Adelaide,Australia,89.0
University of Technology Sydney,Australia,90.0
Tokyo Institute of Technology,Japan,91.0
University of Zurich,Switzerland,92.0
Boston University,United States,93.0
Universidad Nacional Autónoma de México,Mexico,94.0
Universidad de Buenos Aires,Argentina,95.0
University of St Andrews,United Kingdom,96.0
Georgia Institute of Technology,United States,97.0
Freie Universitaet Berlin,Germany,98.0
Purdue University - West Lafayette,United States,99.0
Pohang University of Science and Technology,South Korea,100.0
University of Nottingham,United Kingdom,101.0
University of Wisconsin-Madison,United States,102.0
Pontificia Universidad Católica de Chile,Chile,103.0
University of Sheffield,United Kingdom,104.0
Uppsala University,Sweden,105.0
RWTH Aachen University,Germany,106.0
University of Copenhagen,Denmark,107.0
Utrecht University,Netherlands,108.0
Aalto University,Finland,109.0
Newcastle University,United Kingdom,110.0
University of Alberta,Canada,111.0
University of Waterloo,Canada,112.0
Tohoku University,Japan,113.0
Western University,Canada,114.0
University of Helsinki,Finland,115.0
University of Southern California,United States,116.0
University of Oslo,Norway,117.0
Stockholm University,Sweden,118.0
"University of California, Davis",United States,119.0
"KIT, Karlsruhe Institute of Technology",Germany,120.0
Humboldt-Universität zu Berlin,Germany,121.0
Technical University of Denmark,Denmark,122.0
Lancaster University,United Kingdom,123.0
Politecnico di Milano,Italy,124.0
Eindhoven University of Technology,Netherlands,125.0
University of Basel,Switzerland,126.0
Leiden University,Netherlands,127.0
University of Bern,Switzerland,128.0
University of Geneva,Switzerland,129.0
Chalmers University of Technology,Sweden,130.0
Macquarie University,Australia,131.0
University of Vienna,Austria,132.0
University of North Carolina at Chapel Hill,United States,133.0
Sapienza University of Rome,Italy,134.0
Texas A&M University,United States,135.0
Michigan State University,United States,136.0
Universiti Sains Malaysia,Malaysia,137.0
University of Science and Technology of China,China,138.0
University of Groningen,Netherlands,139.0
RMIT University,Australia,140.0
Nanjing University,China,141.0
Université de Montréal,Canada,142.0
Aarhus University,Denmark,143.0
King Abdulaziz University,Saudi Arabia,144.0
Queen Mary University of London,United Kingdom,145.0
Rice University,United States,146.0
Sungkyunkwan University,South Korea,147.0
University of Bath,United Kingdom,148.0
Indian Institute of Technology Bombay,India,149.0
Universitat Autònoma de Barcelona,Spain,150.0
Ohio State University,United States,151.0
Wageningen University & Research,Netherlands,152.0
University of Exeter,United Kingdom,153.0
Alma Mater Studiorum - University of Bologna,Italy,154.0
Cardiff University,United Kingdom,155.0
Technische Universität Berlin,Germany,156.0
Washington University in St. Louis,United States,157.0
Universiti Putra Malaysia,Malaysia,158.0
Ghent University,Belgium,159.0
Universidad de Chile,Chile,160.0
Universiti Kebangsaan Malaysia,Malaysia,161.0
University of Wollongong,Australia,162.0
"University of California, Santa Barbara",United States,163.0
Hanyang University,South Korea,164.0
Kyushu University,Japan,165.0
Universitat de Barcelona,Spain,166.0
Emory University,United States,167.0
University of York,United Kingdom,168.0
University of Florida,United States,169.0
"University of Maryland, College Park",United States,170.0
University of Reading,United Kingdom,171.0
Complutense University of Madrid,Spain,172.0
University College Dublin,Ireland,173.0
Qatar University,Qatar,174.0
"University of Newcastle, Australia",Australia,175.0
University of Cape Town,South Africa,176.0
Erasmus University Rotterdam,Netherlands,177.0
Nagoya University,Japan,178.0
University of Liverpool,United Kingdom,179.0
Arizona State University,United States,180.0
King Fahd University of Petroleum & Minerals,Saudi Arabia,181.0
Université catholique de Louvain,Belgium,182.0
University of Calgary,Canada,183.0
Curtin University,Australia,184.0
Technische Universität Wien,Austria,185.0
Tecnológico de Monterrey,Mexico,186.0
École Normale Supérieure de Lyon,France,187.0
University of Gothenburg,Sweden,188.0
Universiti Teknologi Malaysia,Malaysia,189.0
McMaster University,Canada,190.0
Queensland University of Technology,Australia,191.0
Universite libre de Bruxelles,Belgium,192.0
Albert-Ludwigs-Universitaet Freiburg,Germany,193.0
Ecole des Ponts ParisTech,France,194.0
Wuhan University,China,195.0
"University of Minnesota, Twin Cities",United States,196.0
Hokkaido University,Japan,197.0
Indian Institute of Technology Delhi,India,198.0
Universidad de los Andes,Colombia,199.0
Universidad Autónoma de Madrid,Spain,200.0
