university,country,rank_shanghai
Harvard University,United States,1.0
Stanford University,United States,2.0
Massachusetts Institute of Technology,United States,3.0
University of Cambridge,United Kingdom,4.0
"University of California, Berkeley",United States,5.0
Princeton University,United States,6.0
University of Oxford,United Kingdom,7.0
Columbia University,United States,8.0
California Institute of Technology,United States,9.0
University of Chicago,United States,10.0
Yale University,United States,11.0
Cornell University,United States,12.0
"University of California, Los Angeles",United States,13.0
Johns Hopkins University,United States,14.0
University of Pennsylvania,United States,15.0
Université Paris-Saclay,France,16.0
University of Washington,United States,17.0
University College London,United Kingdom,18.0
"University of California, San Francisco",United States,19.0
ETH Zurich,Switzerland,20.0
"University of California, San Diego",United States,21.0
University of Toronto,Canada,22.0
Imperial College London,United Kingdom,23.0
University of Tokyo,Japan,24.0
New York University,United States,25.0
Tsinghua University,China,26.0
Washington University in St. Louis,United States,27.0
University of Michigan-Ann Arbor,United States,28.0
University of North Carolina at Chapel Hill,United States,29.0
Northwestern University,United States,30.0
Duke University,United States,31.0
University of Melbourne,Australia,32.0
University of Wisconsin-Madison,United States,33.0
Peking University,China,34.0
University of Edinburgh,United Kingdom,35.0
Zhejiang University,China,36.0
University of Texas at Austin,United States,37.0
University of Manchester,United Kingdom,38.0
University of Copenhagen,Denmark,39.0
Paris Sciences et Lettres – PSL Research University Paris,France,40.0
Karolinska Institute,Sweden,41.0
Kyoto University,Japan,42.0
Sorbonne University,France,43.0
Rockefeller University,United States,44.0
University of British Columbia,Canada,45.0
"University of Minnesota, Twin Cities",United States,46.0
University of Queensland,Australia,47.0
King's College London,United Kingdom,48.0
University of Illinois at Urbana-Champaign,United States,49.0
"University of Maryland, College Park",United States,50.0
University of Colorado at Boulder,United States,51.0
University of Texas Southwestern Medical Center at Dallas,United States,52.0
University of Southern California,United States,53.0
Shanghai Jiao Tong University,China,54.0
Utrecht University,Netherlands,55.0
Technical University of Munich,Germany,56.0
"University of California, Santa Barbara",United States,57.0
University of Munich,Germany,58.0
University of Zurich,Switzerland,59.0
University of Sydney,Australia,60.0
"University of California, Irvine",United States,61.0
University of Geneva,Switzerland,62.0
University of Science and Technology of China,China,63.0
University of New South Wales,Australia,64.0
Vanderbilt University,United States,65.0
University of Groningen,Netherlands,66.0
Fudan University,China,67.0
University of Oslo,Norway,68.0
Aarhus University,Denmark,69.0
Universität Heidelberg,Germany,70.0
National University of Singapore,Singapore,71.0
University of Texas M. D. Anderson Cancer Center,United States,72.0
McGill University,Canada,73.0
Ghent University,Belgium,74.0
Monash University,Australia,75.0
University of Bonn,Germany,76.0
Hebrew University of Jerusalem,Israel,77.0
Université Paris Cité,France,78.0
Sun Yat-sen University,China,79.0
Australian National University,Australia,80.0
University of Bristol,United Kingdom,81.0
University of Pittsburgh,United States,82.0
Purdue University - West Lafayette,United States,83.0
Technion-Israel Institute of Technology,Israel,84.0
University of Basel,Switzerland,85.0
Weizmann Institute of Science,Israel,86.0
Erasmus University Rotterdam,Netherlands,87.0
Nanyang Technological University,Singapore,88.0
Uppsala University,Sweden,89.0
McMaster University,Canada,90.0
Stockholm University,Sweden,91.0
University of Alberta,Canada,92.0
University of Helsinki,Finland,93.0
University of Florida,United States,94.0
KU Leuven,Belgium,95.0
Huazhong University of Science and Technology,China,96.0
University of Hong Kong,Hong Kong,97.0
Seoul National University,South Korea,98.0
Brown University,United States,99.0
University of Western Australia,Australia,100.0
