code,name
ALB,Albania
AND,Andorra
ARM,Armenia
AUT,Austria
AZE,Azerbaijan
BEL,Belgium
BIH,Bosnia and Herzegovina
BGR,Bulgaria
HRV,Croatia
CYP,Cyprus
CZE,Czech Republic
DNK,Denmark
EST,Estonia
FIN,Finland
FRA,France
GEO,Georgia
DEU,Germany
GRC,Greece
HUN,Hungary
ISL,Iceland
IRL,Ireland
ITA,Italy
LVA,Latvia
LIE,Liechtenstein
LTU,Lithuania
LUX,Luxembourg
MLT,Malta
MCO,Monaco
MNE,Montenegro
NLD,Netherlands
MKD,North Macedonia
NOR,Norway
POL,Poland
PRT,Portugal
MDA,Moldova
ROU,Romania
SMR,San Marino
SRB,Serbia
SVK,Slovakia
SVN,Slovenia
ESP,Spain
SWE,Sweden
CHE,Switzerland
TUR,Turkey
UKR,Ukraine
GBR,United Kingdom
