country,region,subregion,population
Eritrea,Africa,Eastern Africa,5352000
Kenya,Africa,Eastern Africa,53771300
Malawi,Africa,Eastern Africa,19129955
Mauritius,Africa,Eastern Africa,1265740
Rwanda,Africa,Eastern Africa,12952209
Seychelles,Africa,Eastern Africa,98462
Tanzania,Africa,Eastern Africa,59734213
Uganda,Africa,Eastern Africa,45741000
Zambia,Africa,Eastern Africa,18383956
Cameroon,Africa,Middle Africa,26545864
South Sudan,Africa,Middle Africa,11193729
Sudan,Africa,Northern Africa,43849269
Botswana,Africa,Southern Africa,2351625
Eswatini,Africa,Southern Africa,1160164
Lesotho,Africa,Southern Africa,2142252
Namibia,Africa,Southern Africa,2540916
South Africa,Africa,Southern Africa,59308690
Zimbabwe,Africa,Southern Africa,14862927
Gambia,Africa,Western Africa,2416664
Ghana,Africa,Western Africa,31072945
Liberia,Africa,Western Africa,5057677
Nigeria,Africa,Western Africa,206139587
Sierra Leone,Africa,Western Africa,7976985
Antigua and Barbuda,Americas,Caribbean,97928
Bahamas,Americas,Caribbean,393248
Barbados,Americas,Caribbean,287371
Dominica,Americas,Caribbean,71991
Grenada,Americas,Caribbean,112519
Jamaica,Americas,Caribbean,2961161
Saint Kitts and Nevis,Americas,Caribbean,53192
Saint Lucia,Americas,Caribbean,183629
Saint Vincent and the Grenadines,Americas,Caribbean,110947
Trinidad and Tobago,Americas,Caribbean,1399491
Belize,Americas,Central America,397621
Canada,Americas,North America,38005238
United States,Americas,North America,329484123
Guyana,Americas,South America,786559
Malaysia,Asia,South-Eastern Asia,32365998
Philippines,Asia,South-Eastern Asia,109581085
Singapore,Asia,South-Eastern Asia,5685807
India,Asia,Southern Asia,1380004385
Pakistan,Asia,Southern Asia,220892331
Ireland,Europe,Northern Europe,4994724
United Kingdom,Europe,Northern Europe,67215293
Malta,Europe,Southern Europe,525285
Australia,Oceania,Australia and New Zealand,25687041
New Zealand,Oceania,Australia and New Zealand,5084300
Fiji,Oceania,Melanesia,896444
Papua New Guinea,Oceania,Melanesia,8947027
Solomon Islands,Oceania,Melanesia,686878
Vanuatu,Oceania,Melanesia,307150
Kiribati,Oceania,Micronesia,119446
Marshall Islands,Oceania,Micronesia,59194
Micronesia,Oceania,Micronesia,115021
Nauru,Oceania,Micronesia,10834
Palau,Oceania,Micronesia,18092
Samoa,Oceania,Polynesia,198410
Tonga,Oceania,Polynesia,105697
Tuvalu,Oceania,Polynesia,11792
