country,region,subregion,population
Burundi,Africa,Eastern Africa,11890781
Comoros,Africa,Eastern Africa,869595
Djibouti,Africa,Eastern Africa,988002
Madagascar,Africa,Eastern Africa,27691019
Mauritius,Africa,Eastern Africa,1265740
Rwanda,Africa,Eastern Africa,12952209
Seychelles,Africa,Eastern Africa,98462
Cameroon,Africa,Middle Africa,26545864
Central African Republic,Africa,Middle Africa,4829764
Chad,Africa,Middle Africa,16425859
DR Congo,Africa,Middle Africa,89561404
Equatorial Guinea,Africa,Middle Africa,1402985
Gabon,Africa,Middle Africa,2225728
Republic of the Congo,Africa,Middle Africa,89561404
Benin,Africa,Western Africa,12123198
Burkina Faso,Africa,Western Africa,20903278
Guinea,Africa,Western Africa,13132792
Ivory Coast,Africa,Western Africa,26378275
Mali,Africa,Western Africa,20250834
Niger,Africa,Western Africa,24206636
Senegal,Africa,Western Africa,16743930
Togo,Africa,Western Africa,8278737
Haiti,Americas,Caribbean,11402533
Canada,Americas,North America,38005238
Lebanon,Asia,Western Asia,6825442
Belgium,Europe,Western Europe,11555997
France,Europe,Western Europe,67391582
Luxembourg,Europe,Western Europe,632275
Monaco,Europe,Western Europe,39244
Switzerland,Europe,Western Europe,8654622
Vanuatu,Oceania,Melanesia,307150
