country,region,subregion,population
Equatorial Guinea,Africa,Middle Africa,1402985
Cuba,Americas,Caribbean,11326616
Dominican Republic,Americas,Caribbean,10847904
Belize,Americas,Central America,397621
Costa Rica,Americas,Central America,5094114
El Salvador,Americas,Central America,6486201
Guatemala,Americas,Central America,16858333
Honduras,Americas,Central America,9904608
Nicaragua,Americas,Central America,6624554
Panama,Americas,Central America,4314768
Mexico,Americas,North America,128932753
Argentina,Americas,South America,45376763
Bolivia,Americas,South America,11673029
Chile,Americas,South America,19116209
Colombia,Americas,South America,50882884
Ecuador,Americas,South America,17643060
Paraguay,Americas,South America,7132530
Peru,Americas,South America,32971846
Uruguay,Americas,South America,3473727
Venezuela,Americas,South America,28435943
Spain,Europe,Southern Europe,47351567
