id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,ideal_point,seniority,next_election,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,senate_class,state_rank,lis_id,missed_votes_pct,votes_with_party_pct,votes_against_party_pct
B001230,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B001230.,Tammy,,Baldwin,,1962-02-11,F,D,Senate Democratic Caucus Secretary,SenatorBaldwin,senatortammybaldwin,witammybaldwin,400013,57884,3470,29940,N00004367,/m/024v02,H8WI00018,https://www.baldwin.senate.gov,,https://www.baldwin.senate.gov/feedback,True,,,,11,2024,212,0,0,2023-07-29 05:38:18 -0400,ocd-division/country:us/state:wi,709 Hart Senate Office Building,202-224-5653,,WI,1,junior,S354,0.0,98.1,1.9
B001261,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B001261.,John,,Barrasso,,1952-07-21,M,R,Senate Republican Conference Chair,SenJohnBarrasso,johnbarrasso,barrassowyo,412251,1024777,52662,40707,N00006236,/m/02rsm32,S6WY00068,https://www.barrasso.senate.gov,https://www.barrasso.senate.gov/public/?a=rss.feed,https://www.barrasso.senate.gov/public/index.cfm/contact-form,True,,,,17,2024,212,48,0,2023-07-29 05:38:20 -0400,ocd-division/country:us/state:wy,307 Dirksen Senate Office Building,202-224-6441,,WY,1,senior,S317,22.64,99.39,0.61
B001267,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B001267.,Michael,,Bennet,,1964-11-28,M,D,,SenBennetCo,senbennetco,SenatorBennet,412330,1031622,110942,40910,N00030608,/m/05b60qf,S0CO00211,https://www.bennet.senate.gov/public,,,True,,,,15,2028,212,4,0,2023-07-29 05:38:19 -0400,ocd-division/country:us/state:co,,,,CO,3,senior,S330,1.89,99.03,0.97
B001243,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B001243.,Marsha,,Blackburn,,1952-06-06,F,R,,MarshaBlackburn,marshablackburn,RepMarshaBlackburn,400032,31226,25186,20351,N00003105,/m/01fnkt,H2TN06030,https://www.blackburn.senate.gov,,https://www.blackburn.senate.gov/email-me,True,,,,5,2024,212,9,0,2023-07-29 05:38:17 -0400,ocd-division/country:us/state:tn,357 Dirksen Senate Office Building,202-224-3344,,TN,1,senior,S396,4.25,95.54,4.46
B001277,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B001277.,Richard,,Blumenthal,,1946-02-13,M,D,,SenBlumenthal,SenBlumenthal,SenatorBlumenthal,412490,21799,1568,41101,N00031685,/m/03tg8m,S0CT00177,https://www.blumenthal.senate.gov,https://www.blumenthal.senate.gov/rss/feeds/?type=press,,True,,,,13,2028,212,0,0,2023-07-29 05:38:21 -0400,ocd-division/country:us/state:ct,,,,CT,3,senior,S341,0.0,99.53,0.47
B001288,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/B001288.,Cory,,Booker,,1969-04-27,M,D,,SenBooker,,SenCoryBooker,412598,84679,76151,41308,N00035267,/m/06p430,S4NJ00185,https://www.booker.senate.gov,,https://www.booker.senate.gov/?p=contact,True,,,,11,2026,212,10,0,2023-07-29 05:38:18 -0400,ocd-division/country:us/state:nj,717 Hart Senate Office Building,202-224-3224,,NJ,2,junior,S370,4.72,98.01,1.99
B001236,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B001236.,John,,Boozman,,1950-12-10,M,R,,JohnBoozman,JohnBoozman,BoozmanPressOffice,400040,92069,27958,20101,N00013873,/m/024s3v,H2AR03176,https://www.boozman.senate.gov/public,https://www.boozman.senate.gov/public/?a=RSS.Feed,,True,,,,13,2028,212,0,0,2023-07-29 05:38:16 -0400,ocd-division/country:us/state:ar,,,,AR,3,senior,S343,0.0,94.29,5.71
B001310,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B001310.,Mike,,Braun,,1954-03-24,M,R,,SenatorBraun,,,412839,,148564,,N00041731,/g/11f2ckdwty,S8IN00171,https://www.braun.senate.gov,,https://www.braun.senate.gov/contact-mike,True,,,,1,2024,212,3,0,2023-07-29 05:38:15 -0400,ocd-division/country:us/state:in,404 Russell Senate Office Building,202-224-4814,,IN,1,junior,S397,1.42,90.82,9.18
B001319,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B001319.,Katie,,Britt,,1982-02-02,F,R,,,,,456874,,,,,,S2AL00145,https://www.britt.senate.gov/,,,True,,,,1,2028,212,1,0,2023-07-29 05:38:18 -0400,ocd-division/country:us/state:al,,,,AL,3,junior,S416,0.47,98.09,1.91
B000944,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B000944.,Sherrod,,Brown,,1952-11-09,M,D,,SenSherrodBrown,SenatorSherrodBrown,SherrodBrownOhio,400050,5051,27018,29389,N00003535,/m/034s80,H2OH13033,https://www.brown.senate.gov,,https://www.brown.senate.gov/contact/,True,,,,17,2024,212,4,0,2023-07-29 05:38:18 -0400,ocd-division/country:us/state:oh,503 Hart Senate Office Building,202-224-2315,,OH,1,senior,S307,1.89,97.58,2.42
B001305,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B001305.,Ted,,Budd,,1971-10-21,M,R,,RepTedBudd,RepTedBudd,,412712,103513,171489,21708,N00039551,/g/11c2nmnsj0,H6NC13129,,,,True,,,,1,2028,212,7,0,2023-07-29 05:38:16 -0400,ocd-division/country:us/state:nc,,,,NC,3,junior,S417,3.3,94.09,5.91
C000127,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/C000127.,Maria,,Cantwell,,1958-10-13,F,D,,SenatorCantwell,senatorcantwell,SenatorCantwell,300018,26137,27122,39310,N00007836,/m/01x68t,S8WA00194,https://www.cantwell.senate.gov,,https://www.cantwell.senate.gov/public/index.cfm/email-maria,True,,,,23,2024,212,0,0,2023-07-29 05:38:21 -0400,ocd-division/country:us/state:wa,511 Hart Senate Office Building,202-224-3441,,WA,1,junior,S275,0.0,100.0,0.0
C001047,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/C001047.,Shelley,Moore,Capito,,1953-11-26,F,R,,SenCapito,senshelley,,400061,83737,11701,20146,N00009771,/m/024pwq,H0WV02138,https://www.capito.senate.gov,,https://www.capito.senate.gov/contact/contact-shelley,True,,,,9,2026,212,1,0,2023-07-29 05:38:14 -0400,ocd-division/country:us/state:wv,172 Russell Senate Office Building,202-224-6472,,WV,2,junior,S372,0.47,84.69,15.31
C000141,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/C000141.,Benjamin,L.,Cardin,,1943-10-05,M,D,,SenatorCardin,senatorbencardin,senatorcardin,400064,4004,26888,15408,N00001955,/m/025k3k,H6MD03177,https://www.cardin.senate.gov,,https://www.cardin.senate.gov/contact/,True,,,,17,2024,212,5,0,2023-07-29 05:38:18 -0400,ocd-division/country:us/state:md,509 Hart Senate Office Building,202-224-4524,,MD,1,senior,S308,2.36,97.57,2.43
C000174,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/C000174.,Thomas,R.,Carper,,1947-01-23,M,D,,SenatorCarper,tomcarper,senatorcarper,300019,663,22421,15015,N00012508,/m/01xw7t,S8DE00079,https://www.carper.senate.gov,https://www.carper.senate.gov/public/?a=RSS.Feed,https://www.carper.senate.gov/contact/,True,,,,23,2024,212,3,0,2023-07-29 05:38:20 -0400,ocd-division/country:us/state:de,513 Hart Senate Office Building,202-224-2441,,DE,1,senior,S277,1.42,99.52,0.48
C001070,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/C001070.,Bob,,Casey,,1960-04-13,M,D,,SenBobCasey,SenatorBobCasey,SenatorBobCasey,412246,47036,2541,40703,N00027503,/m/047ymw,S6PA00217,https://www.casey.senate.gov,,https://www.casey.senate.gov/contact,True,,,,17,2024,212,18,0,2023-07-29 05:38:19 -0400,ocd-division/country:us/state:pa,393 Russell Senate Office Building,202-224-6324,,PA,1,senior,S309,8.49,98.96,1.04
C001075,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/C001075.,Bill,,Cassidy,,1957-09-28,M,R,,,,SenatorBillCassidy,412269,1030546,69494,20919,N00030245,/m/0286t7r,H8LA00017,https://www.cassidy.senate.gov,,https://www.cassidy.senate.gov/contact,True,,,,9,2026,212,2,0,2023-07-29 05:38:14 -0400,ocd-division/country:us/state:la,520 Hart Senate Office Building,202-224-5824,,LA,2,senior,S373,0.94,87.5,12.5
C001035,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/C001035.,Susan,,Collins,,1952-12-07,F,R,,SenatorCollins,susancollins,SenatorSusanCollins,300025,45738,379,49703,N00000491,/m/020y8m,S6ME00159,https://www.collins.senate.gov,https://www.collins.senate.gov/?q=rss.xml,https://www.collins.senate.gov/contact,True,,,,27,2026,212,0,0,2023-07-29 05:38:13 -0400,ocd-division/country:us/state:me,413 Dirksen Senate Office Building,202-224-2523,,ME,2,senior,S252,0.0,39.52,60.48
C001088,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/C001088.,Christopher,A.,Coons,,1963-09-09,M,D,,ChrisCoons,senatorchriscoons,senatorchriscoons,412390,9269028,122834,40916,N00031820,/m/082d3d,S0DE00092,https://www.coons.senate.gov,,https://www.coons.senate.gov/contact,True,,,,15,2026,212,20,0,2023-07-29 05:38:21 -0400,ocd-division/country:us/state:de,218 Russell Senate Office Building,202-224-5042,,DE,2,junior,S337,9.43,99.48,0.52
C001056,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/C001056.,John,,Cornyn,,1952-02-02,M,R,Senate Majority Whip,JohnCornyn,sen.johncornyn,senjohncornyn,300027,93131,15375,40305,N00024852,/m/01xcqs,S2TX00106,https://www.cornyn.senate.gov,,https://www.cornyn.senate.gov/contact,True,,,,21,2026,212,1,0,2023-07-29 05:38:15 -0400,ocd-division/country:us/state:tx,517 Hart Senate Office Building,202-224-2934,,TX,2,senior,S287,0.47,89.0,11.0
C001113,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/C001113.,Catherine,,Cortez Masto,,1964-03-29,F,D,,sencortezmasto,SenatorCortezMasto,,412681,105698,69579,41700,N00037161,/m/02rtp9t,S6NV00200,https://www.cortezmasto.senate.gov,,,True,,,,3,2028,212,1,0,2023-07-29 05:38:20 -0400,ocd-division/country:us/state:nv,,,,NV,3,senior,S385,0.47,99.05,0.95
C001095,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/C001095.,Tom,,Cotton,,1977-05-13,M,R,,SenTomCotton,SenatorTomCotton,RepTomCotton,412508,63928,135651,21301,N00033363,/m/02g3ds,H2AR04083,https://www.cotton.senate.gov,,https://www.cotton.senate.gov/contact/contact-tom,True,,,,9,2026,212,8,0,2023-07-29 05:38:18 -0400,ocd-division/country:us/state:ar,326 Russell Senate Office Building,202-224-2353,,AR,2,junior,S374,3.77,97.52,2.48
C001096,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/C001096.,Kevin,,Cramer,,1961-01-21,M,R,,SenKevinCramer,CongressmanKevinCramer,kevincramer,412555,7600,444,21350,N00004614,/m/02rhrnw,H0ND01026,https://www.cramer.senate.gov,,https://www.cramer.senate.gov/contact/contact-kevin,True,,,,5,2024,212,12,0,2023-07-29 05:38:15 -0400,ocd-division/country:us/state:nd,330 Hart Senate Office Building,202-224-2043,,ND,1,junior,S398,5.66,92.42,7.58
C000880,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/C000880.,Michael,D.,Crapo,,1951-05-20,M,R,,MikeCrapo,mikecrapo,senatorcrapo,300030,26440,26830,29345,N00006267,/m/021pgp,S8ID00027,https://www.crapo.senate.gov,,,True,,,,25,2028,212,16,0,2023-07-29 05:38:17 -0400,ocd-division/country:us/state:id,,,,ID,3,senior,S266,7.55,94.85,5.15
C001098,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/C001098.,Ted,,Cruz,,1970-12-22,M,R,,SenTedCruz,SenatorTedCruz,sentedcruz,412573,1019953,135705,41304,N00033085,/m/07j6ty,S2TX00312,https://www.cruz.senate.gov,,https://www.cruz.senate.gov/?p=form&id=16,True,,,,11,2024,212,17,0,2023-07-29 05:38:17 -0400,ocd-division/country:us/state:tx,127a Russell Senate Office Building,202-224-5922,,TX,1,junior,S355,8.02,96.37,3.63
D000618,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/D000618.,Steve,,Daines,,1962-08-20,M,R,,SteveDaines,SteveDainesMT,SteveDainesMT,412549,1034037,135720,21338,N00033054,/m/03qlc5t,H2MT01060,https://www.daines.senate.gov,,https://www.daines.senate.gov/connect/email-steve,True,,,,9,2026,212,0,0,2023-07-29 05:38:15 -0400,ocd-division/country:us/state:mt,320 Hart Senate Office Building,202-224-2651,,MT,2,junior,S375,0.0,91.43,8.57
D000622,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/D000622.,Tammy,,Duckworth,,1968-03-12,F,D,,SenDuckworth,SenDuckworth,repduckworth,412533,94484,57442,21325,N00027860,/m/09vqjr,H6IL06141,https://www.duckworth.senate.gov,,,True,,,,7,2028,212,1,0,2023-07-29 05:38:21 -0400,ocd-division/country:us/state:il,,,,IL,3,junior,S386,0.47,99.52,0.48
D000563,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/D000563.,Richard,J.,Durbin,,1944-11-21,M,D,Senate Majority Whip,SenatorDurbin,SenatorDurbin,SenatorDurbin,300038,6741,26847,15021,N00004981,/m/01xcd1,S6IL00151,https://www.durbin.senate.gov,,https://www.durbin.senate.gov/contact/,True,,,,27,2026,212,37,0,2023-07-29 05:38:19 -0400,ocd-division/country:us/state:il,711 Hart Senate Office Building,202-224-2152,,IL,2,senior,S253,17.45,98.28,1.72
E000295,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/E000295.,Joni,,Ernst,,1970-07-01,F,R,Senate Republican Conference Vice Chair,SenJoniErnst,senjoniernst,,412667,75342,128583,41502,N00035483,/m/0gg4wkg,S4IA00129,https://www.ernst.senate.gov,https://www.ernst.senate.gov/public/?a=rss.feed,https://www.ernst.senate.gov/public/index.cfm/contact,True,,,,9,2026,212,1,0,2023-07-29 05:38:16 -0400,ocd-division/country:us/state:ia,730 Hart Senate Office Building,202-224-3254,,IA,2,junior,S376,0.47,94.74,5.26
F000062,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/F000062.,Dianne,,Feinstein,,1933-06-22,F,D,,SenFeinstein,senatorfeinstein,SenatorFeinstein,300043,13061,53273,49300,N00007364,/m/01gqws,S0CA00199,https://www.feinstein.senate.gov,https://www.feinstein.senate.gov/public/?a=rss.feed,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,True,,,,31,2024,212,106,0,2023-07-29 05:38:19 -0400,ocd-division/country:us/state:ca,331 Hart Senate Office Building,202-224-3841,,CA,1,senior,S221,50.0,98.11,1.89
F000479,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/F000479.,John,,Fetterman,,1969-08-15,M,D,,,,,456877,,166286,,,,S6PA00274,https://www.fetterman.senate.gov/,,,True,,,,1,2028,212,77,0,2023-07-29 05:38:19 -0400,ocd-division/country:us/state:pa,,,,PA,3,junior,S418,36.32,97.78,2.22
F000463,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/F000463.,Deb,,Fischer,,1951-03-01,F,R,,SenatorFischer,senatordebfischer,senatordebfischer,412556,1034067,41963,41302,N00033443,/m/0c4cp0,S2NE00094,https://www.fischer.senate.gov,,https://www.fischer.senate.gov/public/index.cfm/contact,True,,,,11,2024,212,0,0,2023-07-29 05:38:18 -0400,ocd-division/country:us/state:ne,454 Russell Senate Office Building,202-224-6551,,NE,1,senior,S357,0.0,97.14,2.86
G000555,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/G000555.,Kirsten,E.,Gillibrand,,1966-12-09,F,D,,GillibrandNY,SenKirstenGillibrand,KirstenEGillibrand,412223,1022862,65147,20735,N00027658,/m/0gnfc4,H6NY20167,https://www.gillibrand.senate.gov,,https://www.gillibrand.senate.gov/contact/email-me,True,,,,15,2024,212,7,0,2023-07-29 05:38:20 -0400,ocd-division/country:us/state:ny,478 Russell Senate Office Building,202-224-4451,,NY,1,junior,S331,3.3,99.51,0.49
