id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,ideal_point,seniority,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,senate_class,state_rank,lis_id
A000062,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/A000062.,George,David,Aiken,,1892-08-20,M,R,,,,,400722,,,52,,,,,,,False,,,,6,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:vt,,,,VT,3,,
B000095,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B000095.,Raymond,Earl,Baldwin,,1893-08-31,M,R,,,,,401097,,,390,,,,,,,False,,,,1,,,,2013-04-12 20:11:32 -0400,ocd-division/country:us/state:ct,,,,CT,1,,
B000099,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/B000099.,Joseph,Hurst,Ball,,1905-11-03,M,R,,,,,401101,,,394,,,,,,,False,,,,7,,,,2013-04-12 20:11:29 -0400,ocd-division/country:us/state:mn,,,,MN,2,,
B000145,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B000145.,Alben,William,Barkley,,1877-11-24,,D,,,,,401146,,,437,,,,,,,False,,,,20,,,,2013-04-12 20:11:37 -0400,ocd-division/country:us/state:ky,,,,KY,3,,
B000460,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B000460.,Theodore,Gilmore,Bilbo,,,M,D,,,,,401445,,,710,,,,,,,False,,,,13,,,,2013-04-12 20:11:27 -0400,ocd-division/country:us/state:ms,,,,MS,1,,
B000816,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B000816.,Ralph,Owen,Brewster,,1888-02-22,M,R,,,,,401773,,,1021,,,,,,,False,,,,7,,,,2013-04-12 20:11:32 -0400,ocd-division/country:us/state:me,,,,ME,1,,
B000820,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B000820.,John,William,Bricker,,,M,R,,,,,401777,,,1024,,,,,,,False,,,,1,,,,2013-04-12 20:11:36 -0400,ocd-division/country:us/state:oh,,,,OH,1,,
B000823,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/B000823.,Henry,Styles,Bridges,,1898-09-09,M,R,,,,,401780,,,1027,,,,,,,False,,,,11,,,,2013-04-12 20:11:37 -0400,ocd-division/country:us/state:nh,,,,NH,2,,
B000874,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/B000874.,Charles,Wayland,Brooks,,1897-03-08,M,R,,,,,401831,,,1071,,,,,,,False,,,,7,,,,2013-04-12 20:11:29 -0400,ocd-division/country:us/state:il,,,,IL,2,,
B000894,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/B000894.,Joseph,Melville,Broughton,,1888-11-17,M,D,,,,,401851,,,1090,,,,,,,False,,,,1,,,,2013-04-12 20:11:33 -0400,ocd-division/country:us/state:nc,,,,NC,2,,
