id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,ideal_point,seniority,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,senate_class,state_rank,lis_id
A000062,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/A000062.,George,David,Aiken,,1892-08-20,M,R,,,,,400722,,,52,,,,,,,False,,,,21,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:vt,,,,VT,3,,
A000161,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/A000161.,Gordon,Llewellyn,Allott,,1907-01-02,,R,,,,,400816,,,142,,,,,,,False,,,,7,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:co,,,,CO,2,,
A000186,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/A000186.,Clinton,Presba,Anderson,,1895-10-23,,D,,,,,400841,,,165,,,,,,,False,,,,13,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:nm,,,,NM,2,,
B000201,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/B000201.,Edward,Lewis,Bartlett,,1904-04-20,M,D,,,,,401200,,,486,,,,,,,False,,,,3,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:ak,,,,AK,2,,
B000271,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B000271.,James,Glenn,Beall,,1894-06-05,M,R,,,,,401265,,,546,,,,,,,False,,,,9,,,,2013-04-12 20:11:39 -0400,ocd-division/country:us/state:md,,,,MD,1,,
B000384,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B000384.,Wallace,Foster,Bennett,,1898-11-13,,R,,,,,401375,,,645,,,,,,,False,,,,11,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:ut,,,,UT,3,,
B000436,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B000436.,Alan,Harvey,Bible,,1909-11-20,,D,,,,,401422,,,688,,,,,,,False,,,,7,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:nv,,,,NV,3,,
B000536,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/B000536.,William,Arvis,Blakley,,1898-11-17,M,D,,,,,401511,,,777,,,,,,,False,,,,1,,,,2013-04-12 20:11:40 -0400,ocd-division/country:us/state:tx,,,,TX,2,,
B000593,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/B000593.,James,Caleb,Boggs,,1909-05-15,M,R,,,,,401561,,,823,,,,,,,False,,,,1,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:de,,,,DE,2,,
B000656,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B000656.,Joseph,H.,Bottum,,1903-08-07,M,R,,,,,401619,,,10801,,,,,,,False,,,,1,,,,2013-04-12 20:11:41 -0400,ocd-division/country:us/state:sd,,,,SD,3,,
B000823,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/B000823.,Henry,Styles,Bridges,,1898-09-09,M,R,,,,,401780,,,1027,,,,,,,False,,,,25,,,,2013-04-12 20:11:37 -0400,ocd-division/country:us/state:nh,,,,NH,2,,
B001077,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B001077.,Quentin,Northrup,Burdick,,1908-06-19,,D,,,,,402023,,,1252,,,,,,,False,,,,1,,,,2013-04-12 20:11:54 -0400,ocd-division/country:us/state:nd,,,,ND,1,,S015
B001167,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B001167.,Prescott,Sheldon,Bush,,1895-05-15,,R,,,,,402109,,,1329,,,,,,,False,,,,9,,,,2013-04-12 20:11:38 -0400,ocd-division/country:us/state:ct,,,,CT,3,,
B001180,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B001180.,John,Marshall,Butler,,1897-07-21,M,R,,,,,402122,,,1341,,,,,,,False,,,,11,,,,2013-04-12 20:11:38 -0400,ocd-division/country:us/state:md,,,,MD,3,,
B001210,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B001210.,Robert,C.,Byrd,,1917-11-20,M,D,,,,,300016,,,1366,,/m/06bss,,,,,False,,,,3,,,,2016-06-14 16:26:04 -0400,ocd-division/country:us/state:wv,,,,WV,1,,S017
B001208,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B001208.,Harry,Flood,Byrd,,1887-06-10,M,D,,,,,402148,,,1365,,,,,,,False,,,,28,,,,2013-04-12 20:11:39 -0400,ocd-division/country:us/state:va,,,,VA,1,,
C000120,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/C000120.,Howard,Walter,Cannon,,1912-01-26,M,D,,,,,402271,,,1482,,,,,,,False,,,,3,,,,2013-04-12 20:11:49 -0400,ocd-division/country:us/state:nv,,,,NV,1,,
C000128,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/C000128.,Homer,Earl,Capehart,,1897-06-06,M,R,,,,,402278,,,1489,,,,,,,False,,,,17,,,,2013-04-12 20:11:38 -0400,ocd-division/country:us/state:in,,,,IN,3,,
C000154,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/C000154.,Frank,,Carlson,,1893-01-23,M,R,,,,,402303,,,1510,,,,,,,False,,,,11,,,,2013-04-12 20:11:41 -0400,ocd-division/country:us/state:ks,,,,KS,3,,
C000189,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/C000189.,John,Albert,Carroll,,1901-07-30,M,D,,,,,402336,,,1540,,,,,,,False,,,,5,,,,2013-04-12 20:11:38 -0400,ocd-division/country:us/state:co,,,,CO,3,,
C000221,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/C000221.,Francis,Higbee,Case,,1896-12-09,,R,,,,,402367,,,1570,,,,,,,False,,,,11,,,,2013-04-12 20:11:38 -0400,ocd-division/country:us/state:sd,,,,SD,3,,
C000220,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/C000220.,Clifford,Philip,Case,,1904-04-16,,R,,,,,402366,,,1569,,,,,,,False,,,,7,,,,2013-04-12 20:11:46 -0400,ocd-division/country:us/state:nj,,,,NJ,2,,
C000338,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/C000338.,Dennis,,Chavez,,1888-04-08,,D,,,,,402478,,,1678,,,,,,,False,,,,26,,,,2013-04-12 20:11:39 -0400,ocd-division/country:us/state:nm,,,,NM,1,,
C000388,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/C000388.,Frank,Forrester,Church,,1924-07-25,M,D,,,,,402527,,,1721,,,,,,,False,,,,5,,,,2013-04-12 20:11:48 -0400,ocd-division/country:us/state:id,,,,ID,3,,
C000444,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/C000444.,Joseph,Sill,Clark,,1901-10-21,M,D,,,,,402582,,,1776,,,,,,,False,,,,5,,,,2013-04-12 20:11:41 -0400,ocd-division/country:us/state:pa,,,,PA,3,,
C000758,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/C000758.,John,Sherman,Cooper,,1901-08-23,M,R,,,,,402878,,,2052,,,,,,,False,,,,9,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:ky,,,,KY,2,,
C000802,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/C000802.,Norris,H.,Cotton,,,,R,,,,,402921,,,2087,,,,,,,False,,,,7,,,,2013-04-12 20:11:48 -0400,ocd-division/country:us/state:nh,,,,NH,3,,
C001006,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/C001006.,Carl,Thomas,Curtis,,1905-03-15,M,R,,,,,403113,,,2267,,,,,,,False,,,,7,,,,2013-04-12 20:11:47 -0400,ocd-division/country:us/state:ne,,,,NE,2,,
D000360,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/D000360.,Everett,McKinley,Dirksen,,1896-01-04,,R,,,,,403477,,,2609,,,,,,,False,,,,11,,,,2013-04-12 20:11:41 -0400,ocd-division/country:us/state:il,,,,IL,3,,
D000390,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/D000390.,Thomas,Joseph,Dodd,,1907-05-15,M,D,,,,,403505,,,2636,,,,,,,False,,,,3,,,,2013-04-12 20:11:42 -0400,ocd-division/country:us/state:ct,,,,CT,1,,
D000456,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/D000456.,Paul,Howard,Douglas,,1892-03-26,M,D,,,,,403566,,,2691,,,,,,,False,,,,13,,,,2013-04-12 20:11:40 -0400,ocd-division/country:us/state:il,,,,IL,2,,
D000585,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/D000585.,Henry,Clarence,Dworshak,,1894-08-29,M,R,,,,,403688,,,2803,,,,,,,False,,,,14,,,,2013-04-12 20:11:40 -0400,ocd-division/country:us/state:id,,,,ID,2,,
E000018,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/E000018.,James,Oliver,Eastland,,1904-11-28,M,D,,,,,403714,,,2822,,,,,,,False,,,,19,,,,2013-04-12 20:11:47 -0400,ocd-division/country:us/state:ms,,,,MS,2,,
E000112,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/E000112.,Allen,Joseph,Ellender,,1890-09-24,,D,,,,,403803,,,2901,,,,,,,False,,,,25,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:la,,,,LA,2,,
E000181,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/E000181.,Clair,,Engle,,1911-09-21,,D,,,,,403870,,,2965,,,,,,,False,,,,3,,,,2013-04-12 20:11:39 -0400,ocd-division/country:us/state:ca,,,,CA,1,,
E000210,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/E000210.,Joseph,Wilson,Ervin,,1901-03-03,M,D,,,,,403897,,,2987,,,,,,,False,,,,7,,,,2013-04-12 20:11:31 -0400,ocd-division/country:us/state:nc,,,,NC,3,,
F000245,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/F000245.,Hiram,Leong,Fong,,1906-10-15,,R,,,,,404199,,,3255,,,,,,,False,,,,2,,,,2013-04-12 20:11:45 -0400,ocd-division/country:us/state:hi,,,,HI,1,,
F000401,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/F000401.,James,William,Fulbright,,1905-04-09,M,D,,,,,404343,,,3388,,,,,,,False,,,,17,,,,2013-04-12 20:11:44 -0400,ocd-division/country:us/state:ar,,,,AR,3,,
G000267,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/G000267.,Barry,Morris,Goldwater,,1909-01-01,M,R,,,,,404629,,,3658,,,,,,,False,,,,9,,,,2013-04-12 20:11:52 -0400,ocd-division/country:us/state:az,,,,AZ,1,,
G000320,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/G000320.,Albert,Arnold,Gore,,1907-12-26,M,D,,,,,404678,,,3704,,,,,,,False,,,,9,,,,2013-04-12 20:11:42 -0400,ocd-division/country:us/state:tn,,,,TN,1,,
G000508,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/G000508.,Ernest,,Gruening,,1887-02-06,M,D,,,,,404853,,,3864,,,,,,,False,,,,3,,,,2013-04-12 20:11:42 -0400,ocd-division/country:us/state:ak,,,,AK,3,,
