english,galician
a,unha
able,capaz
about,sobre
above,arriba
act,acto
add,engadir
afraid,medo
after,despois
again,novo
against,contra
age,idade
ago,atrás
agree,concordo
air,aire
all,todo
allow,permitir
also,tamén
always,sempre
am,son
among,entre
an,unha
and,e
anger,rabia
animal,animal
answer,resposta
any,calquera
appear,aparecer
apple,mazá
are,son
area,área
arm,brazo
arrange,organizar
arrive,chegar
art,arte
as,como
ask,preguntar
at,en
atom,átomo
baby,bebé
back,de volta
bad,malo
ball,bola
band,banda
bank,base
bar,bar
base,base
basic,básico
bat,bat
be,ser
bear,soportar
beat,vencer
beauty,beleza
bed,cama
been,foi
before,antes
began,comezou
begin,inicio
behind,atrás
believe,crer
bell,campá
best,mellor
better,mellor
between,entre
big,gran
bird,paxaro
bit,bit
black,negro
block,bloque
blood,sangue
blow,golpe
blue,azul
board,consello
boat,barco
body,corpo
bone,ósea
book,libro
born,nacido
both,tanto
bottom,bottom
bought,comprou
box,caixa
boy,neno
branch,sector
bread,pan
break,pausa
bright,brillante
bring,traer
broad,ampla
broke,rompe
brother,irmán
brought,trouxo
brown,marrón
build,construír
burn,queimar
busy,ocupado
but,pero
buy,mercar
by,por
call,chamada
came,veu
camp,campamento
can,pode
capital,capital
captain,capitán
car,coche
card,tarxeta
care,coidados
carry,cargar
case,caso
cat,gato
catch,captura
caught,capturados
cause,causa
cell,móbil
cent,cento
center,centro
century,século
certain,seguro
chair,materia
chance,oportunidade
change,cambio
character,carácter
charge,cobrar
chart,gráfico
check,comprobe
chick,pinto
chief,xefe
child,neno
children,nenos
choose,escoller
chord,acorde
circle,círculo
city,cidade
claim,reivindicación
class,clase
clean,limpo
clear,claro
climb,subida
clock,reloxo
close,preto
clothe,levar
cloud,nube
coast,costa
coat,abrigo
cold,frío
collect,recoller
colony,colonia
color,cor
column,columna
come,vir
common,común
company,empresa
compare,comparar
complete,completo
condition,condición
connect,conectar
consider,considerar
consonant,consoante
contain,conteñen
continent,continente
continue,seguir
control,control
cook,cociñeiro
cool,legal
copy,copia
corn,millo
corner,canto
correct,correcto
cost,custo
cotton,algodón
could,podería
count,contar
country,país
course,curso
cover,cuberta
cow,vaca
crease,vinci
create,crear
crop,colleita
cross,atravesar
crowd,multitude
cry,berro
current,actual
cut,corte
dad,pai
dance,danza
danger,perigo
dark,escuro
day,día
dead,morto
deal,negocio
dear,caro
death,morte
decide,decidir
decimal,decimal
deep,profunda
degree,grao
depend,dependen
describe,describir
desert,deserto
design,proxecto
determine,determinar
develop,desenvolver
dictionary,dicionario
did,fixo
die,morrer
differ,diferir
difficult,difícil
direct,directo
discuss,discutir
distant,distante
divide,división
division,división
do,facer
doctor,médico
does,fai
dog,can
dollar,dólar
done,done
don’t,non
door,porta
double,dobre
down,abaixo
draw,deseñar
dream,soñar
dress,vestido
drink,bebida
drive,unidade
drop,caer
dry,seca
duck,pato
during,durante
each,cada
ear,oído
early,cedo
earth,terra
ease,facilidade
east,leste
eat,comer
edge,borde
effect,efecto
egg,ovo
eight,oito
either,ou
electric,eléctrica
element,elemento
else,máis
end,fin
enemy,inimigo
energy,enerxía
engine,motor
enough,suficiente
enter,introducir
equal,igual
equate,equiparar
especially,especialmente
even,mesmo
evening,noite
event,evento
ever,sempre
every,cada
exact,exacta
example,exemplo
except,excepto
excite,excitar
exercise,exercicio
expect,esperar
experience,experiencia
experiment,experiencia
eye,ollo
face,cara
fact,feito
fair,feira
fall,caer
family,familia
famous,famoso
far,lonxe
farm,facenda
fast,rápido
fat,graxa
father,pai
favor,favorecer
fear,medo
feed,alimentación
feel,sentir
feet,pés
fell,caeu
felt,sentiu
few,poucos
field,campo
fig,figo
fight,loita
figure,figura
fill,cubrir
final,finais
find,atopar
fine,multa
finger,dedo
finish,acabado
fire,lume
first,primeiro
fish,peixe
fit,caber
five,cinco
flat,plana
floor,chan
flow,fluír
flower,flor
fly,voar
follow,siga
food,alimentos
foot,pé
for,para
force,forza
forest,bosque
form,forma
forward,para adiante
found,atopou
four,catro
fraction,fracción
free,libre
fresh,fresco
friend,amigo
from,desde
front,fronte
fruit,froitas
full,completo
fun,diversión
game,xogo
garden,xardín
gas,gas
gather,recoller
gave,deu
general,xeral
gentle,suave
get,obter
girl,nena
give,dar
glad,feliz
glass,vidro
go,ir
gold,ouro
gone,gone
good,bo
got,ten
govern,gobernar
grand,gran
grass,herba
gray,gris
great,gran
green,verde
grew,creceu
ground,solo
group,grupo
grow,crecer
guess,creo que
guide,orientar
gun,arma
had,tivo
hair,pelo
half,metade
hand,man
happen,pasar
happy,feliz
hard,difícil
has,ten
hat,sombreiro
have,ten
he,el
head,cabeza
hear,escoitar
heard,oído
heart,corazón
heat,calor
heavy,pesado
held,held
help,axuda
her,ela
here,aquí
high,alta
hill,hill
him,el
his,súa
history,historia
hit,bater
hold,soster
hole,burato
home,casa
hope,esperanza
horse,cabalo
hot,quente
hour,horas
house,casa
how,como
huge,enorme
human,humano
hundred,cen
hunt,caza
hurry,acelerar
i,i
ice,xeo
idea,idea
if,se
imagine,imaxinar
in,en
inch,polgada
include,incluír
indicate,indican
industry,industria
insect,insectos
instant,instantánea
instrument,instrumento
interest,interese
invent,inventar
iron,ferro
is,é
island,illa
it,el
job,traballo
join,xuntar-se
joy,alegría
jump,ir
just,só
keep,manter
kept,mantido
key,clave
kill,matar
kind,tipo
king,rei
knew,sabía
know,saber
lady,señora
lake,lago
land,terra
language,linguaxe
large,gran
last,última
late,tarde
laugh,risada
law,dereito
lay,lay
lead,conducir
learn,aprender
least,menos
leave,deixar
led,led
left,esquerda
leg,perna
length,lonxitude
less,menos
let,deixe
letter,carta
level,nivel
lie,mentira
life,vida
lift,ascensor
light,luz
like,como
line,liña
liquid,líquido
list,lista
listen,escoite
little,pouco
live,vivir
locate,atopar
log,rexistro
lone,solitario
long,longo
look,ollar
lost,perdido
lot,moi
loud,alto
love,amo
low,baixo
machine,máquina
made,feito
magnet,imán
main,principal
major,major
make,facer
man,home
many,moitos
map,mapa
mark,marca
market,mercado
mass,masa
master,mestre
match,xogo
material,material de
matter,asunto
may,pode
me,me
mean,significa
meant,significaba
measure,medir
meat,carne
meet,meet
melody,melodía
men,homes
metal,metálicos
method,método
middle,medio
might,pode
mile,milla
milk,leite
million,millóns
mind,mente
mine,mina
minute,minuto
miss,señorita
mix,mesturar
modern,moderno
molecule,molécula
moment,momento
money,diñeiro
month,mes
moon,lúa
more,máis
morning,mañá
most,máis
mother,nai
motion,movemento
mount,mount
mountain,montaña
mouth,boca
move,movemento
much,moi
multiply,multiplicar
music,música
must,debe
my,meu
name,nome
nation,nación
natural,naturais
nature,natureza
near,preto
necessary,necesario
neck,pescozo
need,ten
neighbor,veciño
never,nunca
new,novo
next,preto
night,noite
nine,nove
no,non
noise,ruído
noon,mediodía
nor,nin
north,norte
nose,nariz
note,nota
nothing,nada
notice,aviso
noun,substantivo
now,agora
number,número
numeral,numeral
object,obxecto
observe,observar
occur,ocorrer
ocean,océano
of,de
off,off
offer,oferta
office,oficina
often,miúdo
oh,oh
oil,aceite
old,vello
on,en
once,xa
one,un
only,só
open,aberto
operate,operar
opposite,contrario
or,ou
order,orde
organ,órgano
original,orixinais
other,outro
our,nosa
out,fóra
over,sobre
own,propio
oxygen,osíxeno
page,páxina
paint,pintar
pair,par
paper,papel
paragraph,parágrafo
parent,pai
part,parte
particular,especial
party,festa
pass,pasar
past,pasado
path,camiño
pattern,estándar
pay,pagar
people,persoas
perhaps,quizais
period,período
person,persoa
phrase,frase
pick,escoller
picture,imaxe
piece,peza
pitch,campo
place,lugar
plain,plain
plan,plan
plane,avión
planet,planeta
plant,planta
play,xogar
please,por favor
plural,plural
poem,poema
point,punto
poor,pobre
populate,cubrir
port,port
pose,representar
position,posición
possible,posible
post,pos
pound,libra
power,poder
practice,práctica
prepare,preparar
present,presente
press,prensa
pretty,pretty
print,impresión
probable,probable
problem,problema
process,proceso
produce,producir
product,produto
proper,axeitada
property,propiedade
protect,protexer
prove,probar
provide,proporcionar
pull,puxe
push,empuxe
put,poñer
quart,cuarto
question,pregunta
quick,rápida
quiet,calma
quite,moi
quotient,cociente
race,carreira
radio,radio
rail,ferroviaria
rain,choiva
raise,levantar
ran,correu
range,gama
rather,vez
reach,alcanzar
read,ler
ready,preparado
real,reais
reason,razón
receive,recibir
record,rexistro
red,vermello
region,rexión
remember,teña en conta que
repeat,repeat
reply,responder
represent,representar
require,requiren
rest,resto
result,resultado
rich,rico
ride,paseo
right,dereito
ring,anel
rise,subir
river,río
road,estrada
rock,rocha
roll,rolo
room,cuarto
root,raíz
rope,corda
rose,aumentou
round,rolda
row,liña
rub,fregar
rule,regra
run,run
safe,seguro
said,dixo
sail,vela
salt,sal
same,mesmo
sand,area
sat,sat
save,gardar
saw,serra
say,dicir
scale,escala
school,escola
science,ciencia
score,puntuación
sea,mar
search,busca
season,tempada
seat,asento
second,segunda
section,sección
see,vexa
seed,semente
seem,parecen
segment,segmento
select,seleccione
self,auto
sell,vender
send,enviar
sense,sentido
sent,enviado
sentence,sentenza
separate,separado
serve,servir
set,conxunto
settle,resolver
seven,sete
several,varios
shall,debe
shape,forma
share,share
sharp,sharp
she,ela
sheet,folla
shell,shell
shine,brillo
ship,barco
shoe,zapatos
shop,tenda
shore,costa
short,curta
should,debería
shoulder,ombreiro
shout,berro
show,amosar
side,banda
sight,vista
sign,sinal
silent,silenciosa
silver,prata
similar,semellante
simple,simple
since,desde
sing,cantar
single,único
sister,irmá
sit,sentir-se
six,seis
size,tamaño
skill,habilidade
skin,pel
sky,ceo
slave,escravo
sleep,soño
slip,deslizamento
slow,lento
small,pequeno
smell,cheiro
smile,sorriso
snow,neve
so,así
soft,suave
soil,solo
soldier,soldado
solution,solución
solve,resolver
some,algúns
son,fillo
song,canción
soon,pronto
sound,son
south,sur
space,espazo
speak,falar
special,especial
speech,discurso
speed,velocidade
spell,deletrear
spend,pasar
spoke,falou
spot,local
spread,propagación
spring,primavera
square,cadrado
stand,estar
star,estrela
start,inicio
state,estado
station,estación
stay,estar
stead,lugar
steam,vapor
steel,aceiro
step,paso
stick,vara
still,aínda
stone,pedra
stood,se
stop,pare
store,tenda
story,historia
straight,recta
strange,estraño
stream,córrego
street,rúa
stretch,stretch
string,cadea
strong,forte
student,estudante
study,estudo
subject,asunto
substance,substancia
subtract,restar
success,éxito
such,tales
sudden,súbita
suffix,sufixo
sugar,azucre
suggest,suxiren
suit,traxe
summer,verán
sun,sol
supply,subministración
support,apoio
sure,comprobe se
surface,superficie
surprise,sorpresa
swim,mergullo
syllable,sílaba
symbol,símbolo
system,sistema
table,mesa
tail,cola
take,tomar
talk,discusión
tall,de altura
teach,ensinar
team,equipo
teeth,dentes
tell,dicir
temperature,temperatura
ten,dez
term,prazo
test,proba
than,que
thank,grazas
that,que
the,o
their,súa
them,eles
then,logo
there,non
these,estes
they,eles
thick,groso
thin,fina
thing,cousa
think,creo que
third,terceiro
this,este
those,aqueles
though,aínda
thought,pensaba
thousand,mil
three,tres
through,mediante
throw,xogar
thus,así
tie,gravata
time,tempo
tiny,minúsculo
tire,pneumático
to,a
together,xuntos
told,dixo
tone,ton
too,tamén
took,tomou
tool,ferramenta
top,arriba
total,total de
touch,tocar
toward,dirección
town,cidade
track,mapa
trade,comercio
train,tren
travel,viaxes
tree,árbore
triangle,triángulo
trip,viaxe
trouble,problemas
truck,camión
true,verdade
try,tentar
tube,tubo
turn,"á súa vez,"
twenty,vinte
two,dous
type,tipo
under,baixo
unit,unidade
until,ata
up,up
us,nós
use,uso
usual,habitual
valley,vale
value,valor
vary,variar
verb,verbo
very,moi
view,vista
village,aldea
visit,visita
voice,voz
