english,turkish
a,bir
able,yetenekli
about,hakkında
above,yukarıdaki
act,hareket
add,ekleyin
afraid,korkuyor
after,sonra
again,tekrar
against,karşı
age,yaş
ago,önce
agree,katılıyorum
air,hava
all,tüm
allow,izin
also,ayrıca
always,her zaman
am,duyuyorum
among,arasında
an,bir
and,ve
anger,öfke
animal,hayvan
answer,cevap
any,herhangi bir
appear,görünür
apple,elma
are,vardır
area,alan
arm,kol
arrange,düzenlemek
arrive,varmak
art,sanat
as,olarak
ask,sormak
at,at
atom,atomudur
baby,bebek
back,geri
bad,kötü
ball,top
band,bant
bank,banka
bar,bar
base,baz
basic,temel
bat,yarasa
be,olmak
bear,ayı
beat,yendi
beauty,güzellik
bed,yatak
been,oldu
before,önce
began,başladı
begin,başla
behind,arkasında
believe,inanıyorum
bell,çan
best,en iyi
better,daha iyi
between,arasında
big,büyük
bird,kuş
bit,bit
black,siyah
block,bloğu
blood,kan
blow,darbe
blue,mavi
board,kurulu
boat,tekne
body,vücut
bone,kemik
book,kitap
born,doğmuş
both,her ikisi de
bottom,alt
bought,satın aldı
box,kutu
boy,çocuk
branch,şube
bread,ekmek
break,molası
bright,parlak
bring,getirmek
broad,geniş
broke,kırdı
brother,kardeş
brought,getirdi
brown,kahverengi
build,inşa etmek
burn,yanmak
busy,meşgul
but,ancak
buy,satın
by,tarafından
call,çağrı
came,geldi
camp,kamp
can,can
capital,sermaye
captain,kaptan
car,araba
card,kart
care,bakım
carry,taşımak
case,dava
cat,kedi
catch,catch
caught,yakalandı
cause,neden
cell,hücre
cent,yüzde
center,merkezi
century,yüzyıl
certain,belirli
chair,sandalye
chance,şans
change,değişim
character,karakter
charge,şarj
chart,grafiği
check,kontrol
chick,civciv
chief,baş
child,çocuk
children,çocuk
choose,seçim
chord,akor
circle,daire
city,şehir
claim,iddia
class,sınıf
clean,temiz
clear,açık
climb,tırmanış
clock,saat
close,yakın
clothe,giydirmek
cloud,bulut
coast,sahil
coat,ceket
cold,soğuk
collect,toplamak
colony,koloni
color,renk
column,sütun
come,gel
common,ortak
company,şirket
compare,karşılaştırma
complete,komple
condition,durumu
connect,bağlamak
consider,düşünmek
consonant,ünsüz
contain,içeren
continent,kıta
continue,devam etmek
control,kontrolü
cook,aşçı
cool,serin
copy,kopya
corn,mısır
corner,köşe
correct,doğru
cost,maliyet
cotton,pamuk
could,olabilir
count,saymak
country,ülke
course,ders
cover,kapak
cow,inek
crease,kırışık
create,oluşturmak
crop,kırpma
cross,çapraz
crowd,kalabalık
cry,ağlamak
current,akım
cut,kesim
dad,baba
dance,dans
danger,tehlike
dark,karanlık
day,gün
dead,ölü
deal,anlaşma
dear,sevgili
death,ölüm
