english,korean
a,이
able,수
about,에 대한
above,위
act,행위
add,추가
afraid,두려워
after,후
again,다시
against,에 대하여
age,연령
ago,전
agree,동의
air,공기
all,모든
allow,수
also,또한
always,항상
am,어디로
among,중
an,이
and,과
anger,분노
animal,동물
answer,답변
any,모든
appear,표시
apple,사과
are,아르
area,지역
arm,팔
arrange,준비
arrive,도착
art,예술
as,로
ask,문의
at,에
atom,원자
baby,아가
back,다시
bad,나쁜
ball,공
band,밴드
bank,은행
bar,바
base,기본
basic,기본
bat,박쥐
be,있다
bear,곰
beat,이길
beauty,아름다움
bed,침대
been,하고
before,이전
began,시작
begin,시작
behind,뒤에
believe,생각
bell,벨
best,가장
better,더
between,사이
big,큰
bird,조류
bit,비트
black,블랙
block,블록
blood,피
blow,타격
blue,푸른
board,판
boat,보트
body,몸
bone,골
book,책
born,태어난
both,모두
bottom,바닥
bought,구입
box,상자
boy,소년
branch,지점
bread,빵
break,단절
bright,밝은
bring,가져
broad,폭 넓은
broke,파산
brother,형제
brought,가져
brown,갈색
build,구축
burn,구울
busy,바쁜
but,하지만
buy,사기
by,에 의해
call,통화
came,온
camp,캠프
can,수
capital,자본
captain,주장
car,자동차
card,카드
care,주의
carry,수행
case,경우
cat,고양이
catch,캐치
caught,적발
cause,원인
cell,셀
cent,센트
center,센터
century,세기
certain,어떤
chair,의자
chance,기회
change,변경
character,문자
charge,충전
chart,차트
check,확인
chick,병아리
chief,장
child,아이
children,어린이
choose,선택
chord,코드
circle,원
city,도시
claim,제
class,클래스
clean,청소
clear,명확한
climb,등반
clock,시계
close,가까이
clothe,의복을 걸치다
cloud,구름
coast,해안
coat,코트
cold,감기
collect,수집
colony,식민지
color,색
column,열
come,올
common,공통의
company,회사
compare,비교
complete,완료
condition,조건
connect,연결
consider,고려
consonant,자음
contain,포함
continent,대륙
continue,계속
control,제어
cook,요리
cool,멋진
copy,복사
corn,옥수수
corner,코너
correct,정확한
cost,비용
cotton,면
could,수
count,계산
country,국가
course,물론
cover,덮개
cow,소
crease,주름
create,작성
crop,작물
cross,교차
crowd,군중
cry,울음 소리
current,현재
cut,컷
dad,아빠
dance,댄스
danger,위험
dark,어두운
day,일
dead,죽은
deal,거래
dear,친애
death,죽음
decide,결정
decimal,소수점
deep,깊은
degree,도
depend,따라
describe,설명
desert,사막
design,디자인
determine,결정
develop,개발
dictionary,사전
did,한
die,죽다
differ,차이
difficult,어려운
direct,직접
discuss,논의
distant,먼
divide,분할
division,부문
do,할
doctor,의사
does,하지
dog,개
dollar,달러
done,완료
don’t,하지
door,문
double,더블
down,아래로
draw,그리
dream,꿈
dress,드레스
drink,한잔
drive,드라이브
drop,드롭
dry,건조
duck,오리
during,중
each,각
ear,귀
early,초기
earth,지구
ease,완화
east,동쪽
eat,식사
edge,에지
effect,효과
egg,계란
eight,팔
either,중
electric,전기
element,요소
else,다른
end,끝
enemy,적
energy,에너지
engine,엔진
enough,충분히
enter,입력
equal,동일
equate,동일시
especially,특히
even,도
evening,저녁
event,이벤트
ever,지금까지
every,모든
exact,정확한
example,예
except,제외
excite,흥분
exercise,운동
expect,기대
experience,경험
experiment,실험
eye,눈
face,얼굴
fact,사실
fair,박람회
fall,가을
family,가족
famous,유명한
far,까지
farm,농장
fast,빠른
fat,지방
father,아버지
favor,호의
fear,무서움
feed,먹이
feel,느낌
feet,피트
fell,하락
felt,느낌
few,조금
field,필드
fig,그림
fight,싸움
figure,그림
fill,입력
final,최종
find,발견
fine,잘
finger,손가락
finish,끝
fire,화재
first,첫째
fish,물고기
fit,적합
five,오
flat,플랫
floor,바닥
flow,흐름
flower,꽃
fly,비행
follow,따라
food,음식
foot,발
for,에 대한
force,힘
forest,숲
form,양식
forward,앞으로
found,발견
four,네
fraction,분수
free,무료
fresh,신선한
friend,친구
from,부터
front,앞
fruit,과일
full,전체
fun,재미
game,게임
garden,정원
gas,가스
gather,수집
gave,준
general,일반
gentle,부드러운
get,도착
girl,소녀
give,제공
glad,다행
glass,유리
go,이동
gold,금
gone,사라
good,좋은
got,있어
govern,적용
grand,그랜드
grass,잔디
gray,회색
great,큰
green,녹색
grew,성장
ground,지상
group,그룹
grow,성장
guess,추측
guide,가이드
gun,총
had,했다
hair,머리
half,반
hand,손
happen,일
happy,행복
hard,단단한
has,이
hat,모자
have,이
he,그
head,머리
hear,듣다
heard,들어
heart,마음
heat,열
heavy,무거운
held,개최
help,도움
her,그녀의
here,여기
high,높은
hill,언덕
him,그
his,그의
history,역사
hit,히트
hold,개최
hole,구멍
home,홈
hope,기대
horse,말
hot,뜨거운
hour,시간
house,집
how,방법
huge,거대한
human,인간
hundred,백
hunt,사냥
hurry,서둘러
i,나는
ice,얼음
idea,아이디어
if,면
imagine,상상
in,에
inch,인치
include,포함
indicate,표시
industry,산업
insect,곤충
instant,인스턴트
instrument,악기
interest,관심
invent,발명하다
iron,철
is,이다
island,섬
it,그
job,작업
join,가입
joy,즐거움
jump,점프
just,단지
keep,유지
kept,유지
key,키
kill,죽
kind,종류
king,왕
knew,알고
know,알고
lady,아가씨
lake,호수
land,땅
language,언어
large,큰
last,마지막
late,후반
laugh,웃음
law,법
lay,누워
lead,지도
learn,학습
least,이상
leave,떠나
led,주도
left,왼쪽
leg,다리
length,길이
less,이하
let,하자
letter,편지
level,수준
lie,거짓말
life,생활
lift,리프트
light,빛
like,같은
line,온라인
liquid,액체
list,표
listen,청취
little,작은
live,살고있다
locate,위치
log,로그인
lone,고독한
long,긴
look,봐
lost,손실
lot,많은
loud,큰 소리로
love,사랑
low,낮은
machine,기계
made,만든
magnet,자석
main,주
major,주요
make,확인
man,사람
many,많은
map,지도
mark,마르크
market,시장
mass,질량
master,마스터
match,경기
material,재료
matter,문제
may,수도
me,나를
mean,의미
meant,의미
measure,측정
