english,arabic
a,و
able,قادرة
about,حول
above,فوق
act,فعل
add,إضافة
afraid,خائف
after,بعد
again,مرة أخرى
against,ضد
age,العمر
ago,منذ
agree,توافق
air,هواء
all,كل
allow,السماح
also,أيضا
always,دائما
am,صباحا
among,بين
an,و
and,و
anger,غضب
animal,الحيوان
answer,الجواب
any,أي
appear,تظهر
apple,تفاحة
are,هي
area,منطقة
arm,الذراع
arrange,رتب
arrive,وصول
art,فن
as,كما
ask,تطلب
at,في
atom,ذرة
baby,طفل
back,ظهر
bad,سيئة
ball,كرة
band,فرقة
bank,البنك
bar,شريط
base,قاعدة
basic,الأساسية
bat,خفاش
be,يكون
bear,تحمل
beat,فوز
beauty,الجمال
bed,قاع
been,كان
before,قبل
began,بدأ
begin,بدأ
behind,خلف
believe,اعتقد
bell,جرس
best,أفضل
better,أفضل
between,بين
big,كبير
bird,طائر
bit,لقمة
black,أسود
block,كتلة
blood,الدم
blow,ضربة
blue,الأزرق
board,مجلس الإدارة
boat,قارب
body,هيئة
bone,العظام
book,كتاب
born,الولادة
both,كلا
bottom,أسفل
bought,اشترى
box,صندوق
boy,صبي
branch,فرع
bread,الخبز
break,استراحة
bright,مشرق
bring,جلب
broad,واسع
broke,حطم
brother,شقيق
brought,جلبت
brown,أسمر
build,بناء
burn,حرق
busy,مشغول
but,لكن
buy,شراء
by,بواسطة
call,دعوة
came,جاء
camp,مخيم
can,علبة
capital,العاصمة
captain,نقيب
car,سيارة
card,بطاقة
care,الرعاية
carry,حمل
case,حالة
cat,القط
catch,مزلاج
caught,اشتعلت
cause,السبب
cell,خلية
cent,المائة
center,مركز
century,القرن
certain,معين
chair,كرسي
chance,فرصة
change,تغيير
character,حرف
charge,تهمة
chart,جدول
check,تحقق
chick,كتكوت
chief,رئيس
child,طفل
children,الأطفال
choose,اختيار
chord,وتر
circle,دائرة
city,المدينة
claim,مطالبة
class,الفئة
clean,نظيف
clear,واضح
climb,تسلق
clock,على مدار الساعة
close,قريب
clothe,كسا
cloud,سحابة
coast,الساحل
coat,معطف
cold,بارد
collect,جمع
colony,مستعمرة
color,لون
column,عمود
come,جاء
common,مشترك
company,شركة
compare,مقارنة
complete,كاملة
condition,حالة
connect,اتصال
consider,النظر
consonant,متوافق
contain,تحتوي على
continent,القارة
continue,تواصل
control,السيطرة
cook,طبخ
cool,بارد
copy,نسخة
corn,الذرة
corner,ركن
correct,صحيح
cost,التكلفة
cotton,قطن
could,يمكن
count,عد
country,بلد
course,بالطبع
cover,غطاء
cow,بقرة
crease,تجعد
create,خلق
crop,محصول
cross,عبور
crowd,الحشد
cry,صرخة
current,التيار
cut,قطع
dad,أب
dance,رقص
danger,خطر
dark,مظلم
day,يوم
dead,ميت
deal,صفقة
dear,عزيزتي
death,الموت
decide,تقرر
decimal,العشري
deep,عميق
degree,درجة
depend,تعتمد
describe,وصف
desert,صحراء
design,تصميم
determine,حدد
develop,تطوير
dictionary,قاموس
did,لم
die,مات
differ,اختلف
