english,punjabi
a,ਇੱਕ
able,ਯੋਗ
about,ਬਾਰੇ
above,ਉਪਰੋਕਤ
act,ਕੰਮ
add,ਸ਼ਾਮਿਲ
afraid,ਡਰ
after,ਦੇ ਬਾਅਦ
again,ਨੂੰ ਫਿਰ
against,ਦੇ ਖਿਲਾਫ
age,ਉਮਰ ਦੇ
ago,ਸਾਲ
agree,ਸਹਿਮਤ
air,ਹਵਾ
all,ਸਾਰੇ
allow,ਦੀ ਇਜਾਜ਼ਤ
also,ਇਹ ਵੀ
always,ਨੂੰ ਹਮੇਸ਼ਾ
am,am
among,ਆਪਸ ਵਿੱਚ
an,ਇੱਕ
and,ਹੈ ਅਤੇ
anger,ਗੁੱਸੇ ’
animal,ਜਾਨਵਰ
answer,ਇਸ ਦਾ ਜਵਾਬ
any,ਕੋਈ ਵੀ
appear,ਵਿਖਾਈ
apple,ਸੇਬ
are,ਹਨ
area,ਖੇਤਰ ਦੇ
arm,ਆਰਮ
arrange,ਦਾ ਪ੍ਰਬੰਧ
arrive,ਪਹੁੰਚਦੇ
art,ਕਲਾ
as,ਦੇ ਤੌਰ ਤੇ
ask,ਪੁੱਛੋ
at,’ਤੇ
atom,ਐਟਮ
baby,ਬੱਚੇ ਨੂੰ
back,ਵਾਪਸ
bad,ਬੁਰਾ
ball,ਬਾਲ
band,ਪਹਿਰੇਦਾਰ
bank,ਬਕ
bar,ਪੱਟੀ ਦੇ
base,ਅਧਾਰ
basic,ਬੁਨਿਆਦੀ
bat,ਬੱਲੇਬਾਜ਼ੀ
be,ਹੋ
bear,ਰੱਖਣਾ
beat,ਹਰਾਇਆ
beauty,ਸੁੰਦਰਤਾ
bed,ਮੰਜੇ
been,ਕੀਤਾ ਗਿਆ
before,ਅੱਗੇ
began,ਸ਼ੁਰੂ ਕੀਤਾ
begin,ਸ਼ੁਰੂ
behind,ਪਿੱਛੇ
believe,ਤੇ ਵਿਸ਼ਵਾਸ
bell,ਘੰਟੀ
best,ਵਧੀਆ
better,ਬਿਹਤਰ
between,ਦੇ ਵਿਚਕਾਰ
big,ਵੱਡੇ
bird,ਪੰਛੀ
bit,ਬਿੱਟ
black,ਕਾਲਾ
block,ਬਲਾਕ
blood,ਖੂਨ ਦੇ
blow,ਉੱਡਿਆ
blue,ਨੀਲਾ
board,ਬੋਰਡ
boat,ਕਿਸ਼ਤੀ
body,ਸਰੀਰ ਨੂੰ
bone,ਹੱਡੀ
book,ਦੀ ਕਿਤਾਬ
born,ਜਨਮ
both,ਦੋਨੋ
bottom,ਤਲ
bought,ਖਰੀਦੀ
box,ਬਾਕਸ ਨੂੰ
boy,ਉਹ ਮੁੰਡਾ
branch,ਸ਼ਾਖਾ
bread,ਰੋਟੀ ਦਾ
break,ਬ੍ਰੇਕ
bright,ਚਮਕਦਾਰ
bring,ਲਿਆਉਣ
broad,ਵਿਆਪਕ
broke,ਤੋੜ
brother,ਭਰਾ ਨੂੰ
brought,ਲੈ ਆਏ
brown,ਭੂਰਾ
build,ਨੂੰ ਬਣਾਉਣ
burn,ਨੂੰ ਸਾੜ
busy,ਵਿਅਸਤ
but,ਪਰ
buy,ਖਰੀਦਣ
by,ਕੇ
call,ਕਾਲ ਦਾ
came,ਆਇਆ ਸੀ
camp,ਡੇਰੇ
can,ਕਰ ਸਕਦੇ ਹੋ
capital,ਦੀ ਰਾਜਧਾਨੀ
captain,ਕਪਤਾਨ
car,ਕਾਰ ਨੂੰ
card,ਕਾਰਡ
care,ਦੀ ਦੇਖਭਾਲ
carry,ਲੈ
case,ਕੇਸ ਦੀ
cat,ਬਿੱਲੀ
catch,ਕੈਚ
caught,ਫੜਿਆ
cause,ਕਾਰਨ
cell,ਸੈੱਲ
cent,ਫੀਸਦੀ
center,ਕਦਰ
century,ਸਦੀ
certain,ਕੁਝ ਖਾਸ
chair,ਕੁਰਸੀ
chance,ਮੌਕਾ
change,ਤਬਦੀਲੀ
character,ਅੱਖਰ ਨੂੰ
charge,ਚਾਰਜ
chart,ਚਾਰਟ
check,ਚੈੱਕ ਕਰੋ
chick,ਮਟਰੀ
chief,ਦੇ ਮੁਖੀ
child,ਬੱਚੇ ਨੂੰ
children,ਬੱਚੇ
choose,ਦੀ ਚੋਣ
chord,ਕੋਰਿਜ਼
circle,ਚੱਕਰ
city,ਸ਼ਹਿਰ ਦੀ
claim,ਦਾਅਵਾ
class,ਕਲਾਸ ਦੇ
clean,ਨੂੰ ਸਾਫ਼
clear,ਆਸਮਾਨ ਸਾਫ
climb,ਚੜ੍ਹਨਾ
clock,ਘੜੀ ਦੀ
close,ਬੰਦ ਕਰੋ
clothe,ਸਜਾਵੇਗਾ
cloud,ਦੇ ਬੱਦਲ
coast,ਤਟ
coat,ਕੋਟ
cold,ਠੰਡੇ
collect,ਇਕੱਠਾ ਕਰਦੇ
colony,ਬਸਤੀ
color,ਰੰਗ ਹੈ
column,ਕਾਲਮ
come,ਆ
common,ਆਮ
company,ਕੰਪਨੀ ਨੇ
compare,ਦੀ ਤੁਲਨਾ ਕਰੋ
complete,ਮੁਕੰਮਲ ਹੋ
condition,ਹਾਲਤ
connect,ਨਾਲ ਜੁੜਨ
consider,ਤੇ ਵਿਚਾਰ
consonant,ਅੱਖਰ ਦੇ
contain,ਸ਼ਾਮਿਲ ਹਨ
continent,ਮਹਾਦੀਪ
continue,ਨੂੰ ਜਾਰੀ
control,ਦਾ ਕੰਟਰੋਲ
cook,ਕੁੱਕ
cool,ਠੰਡਾ
copy,ਕਾਪੀ
corn,ਮਕਈ
corner,ਕੋਨੇ
correct,ਨੂੰ ਸਹੀ
cost,ਲਾਗਤ
cotton,ਕਪਾਹ
could,ਹੋ ਸਕਦਾ ਸੀ
count,ਗਿਣੋ
country,ਦੇਸ਼ ’
course,ਦਾ ਕੋਰਸ
cover,ਦੇ ਕਵਰ
cow,ਗਊ
crease,ਕ੍ਰੀਜ਼
create,ਨੂੰ ਬਣਾਉਣ
crop,ਦੀ ਫਸਲ
cross,ਪਾਰ
crowd,ਭੀੜ
cry,ਪੁਕਾਰ
current,ਮੌਜੂਦਾ
cut,ਕੱਟ
dad,ਡੈਡੀ
dance,ਨਾਚ
danger,ਖ਼ਤਰਾ
dark,ਹਨੇਰੇ
day,ਦਿਨ ਦੇ
dead,ਮਰੇ
deal,ਸੌਦਾ
dear,ਪਿਆਰੇ
death,ਦੀ ਮੌਤ
decide,ਇਹ ਫੈਸਲਾ
decimal,ਦਸ਼ਮਲਵ
deep,ਡੂੰਘੇ
degree,ਦੀ ਡਿਗਰੀ
depend,ਨਿਰਭਰ
describe,ਦਾ ਵਰਣਨ
desert,ਮਾਰੂਥਲ
design,ਡਿਜ਼ਾਇਨ
determine,ਪਤਾ ਕਰਨ
develop,ਦਾ ਵਿਕਾਸ
dictionary,ਕੋਸ਼
did,ਨੇ ਕੀਤਾ
die,ਮਰ
differ,ਵੱਖਰੇ ਹਨ
difficult,ਮੁਸ਼ਕਲ ਹੈ
direct,ਸਿੱਧੀ
discuss,ਤੇ ਚਰਚਾ
distant,ਦੂਰ
divide,ਪਾੜਾ
division,ਵੰਡ
do,ਕਰਦੇ
doctor,ਡਾਕਟਰ ਨੂੰ
does,ਕਰਦਾ ਹੈ
dog,ਕੁੱਤੇ
dollar,ਡਾਲਰ ਦੇ
done,ਸਮਾਪਤ
don’t,ਨਾਂ ਕਰੋ
door,ਦਾ ਦਰਵਾਜ਼ਾ
double,ਡਬਲ
down,ਡਾਊਨ
draw,ਖਿੱਚਣ
dream,ਸੁਪਨੇ
dress,ਪਹਿਰਾਵਾ
drink,ਪੀਣ ਨੂੰ
drive,ਡਰਾਈਵ ਨੂੰ
drop,ਡ੍ਰੌਪ
dry,ਖੁਸ਼ਕ
duck,ਬਤਖ਼
during,ਦੇ ਦੌਰਾਨ
each,ਹਰ ਇੱਕ
ear,ਕੰਨ
early,ਦੇ ਸ਼ੁਰੂ
earth,ਧਰਤੀ ਨੂੰ
ease,ਸੌਖਾ
east,ਪੂਰਬ
eat,ਨੂੰ ਖਾਣ
edge,ਕਿਨਾਰੇ
effect,ਪ੍ਰਭਾਵ ਨੂੰ
egg,ਅੰਡੇ
eight,ਅੱਠ
either,ਕੋਈ
