english,somali
a,a
able,awood
about,ku saabsan
above,kor ku xusan
act,fal
add,ku dar
afraid,ka cabsi
after,ka dib
again,mar kale
against,ka hor
age,da
ago,ka hor
agree,heshiin
air,hawada
all,dhan
allow,u oggolaadaan
also,sidoo kale
always,had iyo jeer
am,ahay
among,ka mid ah
an,ah
and,iyo
anger,cadho
animal,xoolaha
answer,jawaabta
any,wax
appear,muuqdaan
apple,tufaax
are,waa
area,deegaanka
arm,gacanta
arrange,diyaarin
arrive,yimaadaan
art,farshaxan
as,sida
ask,weydii
at,at
atom,attam
baby,ilmaha
back,back
bad,xun
ball,kubada
band,urur
bank,bangi
bar,ood
base,saldhig
basic,aasaasiga ah
bat,fiidmeerta
be,noqon
bear,dhali
beat,garaacday
beauty,qurux
bed,sariirta
been,ahaa
before,ka hor inta
began,bilaabeen
begin,bilaabaan
behind,ka danbeeya
believe,aaminsanahay
bell,dawan
best,ugu fiican
better,fiican
between,ka dhexeeya
big,weyn
bird,shimbir
bit,qayb
black,madow
block,joojin
blood,dhiig
blow,dhabarjab
blue,buluug
board,guddiga
boat,doon
body,jirka
bone,lafta
book,buugga
born,dhashay
both,labada
bottom,ugu hooseysa
bought,iibsaday
box,sanduuq
boy,wiil
branch,laan
bread,kibis
break,fasax
bright,dhalaalaya
bring,keeno
broad,ballaaran oo
broke,jebisay
brother,walaalkiis
brought,keenay
brown,brown
build,dhiso
burn,gubi
busy,mashquul
but,laakiin
buy,iibsadaan
by,by
call,wac
came,yimid
camp,xerada
can,awood
capital,magaalada
captain,kabtanka
car,baabuur
card,kaarka
care,daryeelka
carry,qaado
case,case
cat,cat
catch,qabsado
caught,qabto
cause,sababta
cell,unug
cent,boqolkiiba
center,xarunta
century,qarnigii
certain,qaarkood
chair,kursi
chance,fursad
change,isbedelka
character,qof
charge,ka qaadaan
chart,shaxda
check,hubiso
chick,ubad
chief,taliyaha
child,ilmahaaga
children,carruurta
choose,dooran
chord,shaqoxannibista
circle,goobaabin
city,magaalada
claim,sheegashadaada
class,fasalka
clean,nadiif ah
clear,cad
climb,fuulid
clock,saacad
close,dhow
clothe,huwin
cloud,daruurta
coast,xeebaha
coat,jaakad
cold,qabow
collect,ururiyaan
colony,gumeysi
color,midabka
column,khaanadda
come,yimaado
common,caadi
company,shirkadda
compare,barbardhigi
complete,dhammaystiran
condition,xaalad
connect,xirmaan
consider,tixgelin
consonant,shibbane
contain,ka koobnaan
continent,qaaradda
continue,sii
control,control
cook,kariye
cool,qabow
copy,nuqul
corn,hadhuudhkii
corner,geeska
correct,sax
cost,qiimaha
cotton,suuf
could,kari
count,tirin
country,dalka
course,dabcan
cover,dabool
cow,lo’da
crease,hooshooda
create,abuuraan
crop,dalagyada
cross,gudbaan
crowd,dadkii badnaa
cry,qaylo
current,ee hadda
cut,jaris
dad,aabbe
dance,qoob ka ciyaarka
danger,khatar
dark,mugdiga
day,maalin
dead,dhintay
deal,heshiis
dear,gacaliye
death,dhimasho
decide,go’aan ka
decimal,jajab tobanle
deep,qoto dheer
degree,degree
depend,ku xiran tahay
describe,qeexaan
desert,lamadegaanka
design,naqshad
determine,loo go’aamiyo
develop,horumariyo
dictionary,qaamuuska
did,yeeleen
die,dhintaan
differ,kala duwan
difficult,adag
direct,si toos ah
discuss,kala hadli
distant,fog
divide,qaybi
division,kala qeybinta
do,samayn
doctor,dhakhtarka
does,ma
dog,eyga
dollar,doolar
done,samayn
don’t,sameeyaan ma
door,albaabka
double,double
down,hoos
draw,sawiraan
dream,riyoodaa
dress,dharka
drink,cabitaan
drive,gaari ku
drop,dhicid
dry,qallalan
duck,duck
during,inta lagu jiro
each,kasta
ear,dhegta
early,hore
earth,dhulka
ease,sahal
east,bari
eat,cunin
edge,qarkiisa
effect,dhaqan
egg,ukun
eight,sideed
either,ama
electric,korontada
element,element
else,kale
end,dhamaadka
enemy,cadowga
energy,tamar
engine,engine
enough,ku filan
enter,galaan
equal,siman
equate,dhiga
especially,gaar ahaan
even,xataa
evening,fiidka
event,dhacdo
ever,weligaa
every,kasta
exact,saxda ah
example,tusaale ahaan
except,marka laga reebo
excite,cajeb
exercise,jimicsiga
expect,filayaan
experience,waayo-aragnimo
experiment,tijaabadii
eye,indhaha
face,weji
fact,xaqiiqda
fair,cadaalad
fall,dhici
family,qoyska
famous,caanka ah
far,ilaa hadda
farm,beeraha
fast,dhakhso u
fat,baruurta
father,aabaha
favor,eexan
fear,cabsida
feed,cunto
feel,dareemaan
feet,feet
fell,dhaceen
felt,dareemay
few,yar
field,garoonka
fig,berdaha
fight,dagaal
figure,jaantuska
fill,buuxiyo
final,final
find,ka heli
fine,ganaax
finger,farta
finish,dhammayn
fire,dab
first,marka hore
fish,kalluunka
fit,ku haboon
five,shan
flat,guri
floor,dabaqa
flow,qulquli
flower,ubax
fly,duuli
follow,raacaan
food,cunto
foot,cagta
for,for
force,ciidanka
forest,kaynta
form,foomka
forward,weeraryahanka
found,helay
four,afar
fraction,jajab
free,lacag la’aan ah
fresh,cusub
friend,saaxiib
from,laga bilaabo
front,hore
fruit,midho
full,buuxa
fun,madadaalo
game,ciyaarta
garden,beer
gas,gaaska
gather,ururiyaan
gave,siiyeen
general,guud ahaan
gentle,tur
get,heli
girl,gabadh
give,siin
glad,faraxsanahay
glass,galaas
go,tagaan
gold,dahab
gone,jiheysteen
good,wanaag
got,helay
govern,xukumaan
grand,grand
grass,cawska
gray,cawl
great,weyn
green,cagaar ah
grew,koray
ground,dhulka
group,kooxda
grow,koraan
guess,malo
guide,hagaan
gun,qoriga
had,lahayd
hair,timaha
half,qeybtii
hand,gacanta
happen,dhici
happy,ku faraxsan
hard,adag
has,waxay leedahay
hat,hat
have,leeyihiin
he,uu
head,madaxa
hear,bay maqlaan
heard,maqlay
heart,wadnaha
heat,kulaylka
heavy,culus
held,ay caado
help,caawin
her,iyada
here,halkan
high,sare
hill,kur
him,isaga
his,uu
history,taariikhda
hit,dhuftey
hold,qaban
hole,god
home,guriga
hope,rajeyneynaa
horse,faras
hot,kulul
hour,saacad
house,guriga
how,sida
huge,weyn
human,aadanaha
hundred,boqol
hunt,ugaarsi
hurry,degdegay
i,ayaan
ice,baraf
idea,fikrad
if,haddii
imagine,qiyaasi
in,in
inch,inji ah
include,waxaa ka mid ah
indicate,waxay tilmaamayaan
industry,warshadaha
insect,cayayaanka
instant,dumaya
instrument,aalad
interest,danta
invent,soo jeedi
iron,birta
is,waa
island,jasiirada
it,waxa
job,shaqo
join,biiraan
joy,farxad
jump,boodaan
just,kaliya
keep,hayn
kept,hayn
key,muhiimka ah
kill,dilaan
kind,nooca
king,oo boqorkii
knew,ogaa
know,ogahay
lady,marwada
lake,harada
land,dhulka
language,luqadda
large,waaweyn
last,ee la soo dhaafay
late,dabayaaqadii
laugh,qosol
law,sharciga
lay,"jiifay,"
lead,keeni
learn,bartaan
least,ugu yaraan
leave,ka tago
led,keentay
left,ka tagay
leg,lugta
length,dherer
less,yar
let,ha
letter,warqad
level,heerka
lie,been ku
life,nolosha
lift,wiishka
light,nalka
like,sida
line,line
liquid,dareere
list,liiska
listen,dhegayso
little,yar
live,ku nooshahay
locate,hel
log,diiwaan
lone,keliya
long,dheer
look,fiiri
lost,badiyay
lot,badan
loud,weyn
love,jecel
low,hooseeyo
machine,mashiinka
made,sameeyey
magnet,soojiidashada
main,main
major,waaweyn ee
make,sameeyo
man,nin
many,badan
map,khariidad
mark,calaamadda
market,suuqa
mass,mass
master,sayidkiisii
match,ciyaar
material,wax
matter,arrinta
may,waxaa laga yaabaa
me,ii
mean,macnaheedu
meant,loogu tala galay
measure,loo qiyaaso
meat,hilibka
meet,kulmin
melody,luuq
men,ragga
metal,biraha
method,habka
middle,dhexe
might,itaal
mile,mile
milk,caanaha
million,milyan oo
mind,maskaxda
mine,anigaa iska leh
minute,daqiiqadii
miss,daahid
mix,qaso
modern,casri ah
molecule,molecule
moment,joogo
money,lacag
month,bil
moon,dayaxuna
more,dheeraad ah
morning,subax
most,ugu
mother,hooyo
motion,dhaqdhaqaaq
mount,buur
mountain,buur
mouth,afka
move,dhaqaaqo
much,badan
multiply,ku dhufo
music,music
must,waa in
my,aan
name,magaca
nation,qaranka
natural,dabiiciga ah
nature,dabiiciga ah
near,dhow
necessary,lagama maarmaan
neck,luqunta
need,u baahan
neighbor,deris
never,marnaba
new,cusub
next,soo socda
night,habeen
nine,sagaal
no,no
noise,buuq
noon,duhurkii
nor,mana
north,waqooyiga
nose,sanka
note,qorid
nothing,waxba
notice,ogaysiis
noun,magac
now,hadda
number,lambarka
numeral,tireedyada
object,shay
observe,u dhawrtaan
occur,dhacaan
ocean,badda
of,ah
off,fasax
offer,dalab
office,xafiiska
often,badanaa
oh,oh
oil,saliidda
old,jir
on,on
once,mar
one,mid ka mid
only,kaliya
open,furan
operate,shaqeeyaan
opposite,soo horjeeda
or,ama
order,si
organ,xubin
original,asalka
other,kale
our,our
out,out
over,ka badan
own,gaarka ah
oxygen,oksijiinka
page,bogga
paint,rinji
pair,labada ciyaaryahan
paper,warqad
paragraph,baaragaraafka
parent,waalidka
part,qayb ka mid
particular,gaar
party,xisbiga
pass,gudubto
past,ee la soo dhaafay
path,waddo
pattern,naqshad
pay,bixin
people,dadka
perhaps,laga yaabee
period,muddo
person,qof
phrase,odhaahda
pick,qaado
picture,sawir
piece,gabal
pitch,garoonka
place,meel
plain,bannaankii
plan,qorshaha
plane,diyaarad
planet,caalamka
plant,warshad
play,ciyaaro
please,fadlan
plural,jamac
poem,gabay
point,dhibcood
poor,saboolka ah
populate,dad
port,dekedda
pose,bandhig
position,booska
possible,suurto gal
post,post
pound,pound
power,awood
practice,practice
prepare,diyaariyaan
present,xaadirka ah
press,-saxaafadeed
pretty,quruxsan
print,daabacaad
probable,dhici kara
problem,dhibaatada
process,habka
produce,soo saaraan
product,wax soo saarka
proper,habboon
property,hantida
protect,ilaaliyaan
prove,cadayso
provide,siiyaan
pull,jiid
push,riix
put,dhigay
quart,rubuc
question,su’aasha
quick,degdeg ah
quiet,degan
quite,iska
quotient,qeybtu
race,jinsiyadda
radio,raadiyaha
rail,rail
rain,roob
raise,kor u
ran,orday
range,kala duwan
rather,halkii
reach,gaaraan
read,akhriyi
ready,diyaar
real,dhabta ah
reason,sababta
receive,heli
record,rikoor
red,cas
region,gobolka
remember,xusuusnow
repeat,celiyaan
reply,jawaabtid
represent,metelaan
require,waxay u baahan yihiin
rest,nasasho
result,natiijada
rich,qani
ride,fuulidda
right,xaq u
ring,giraanta
rise,kici
river,webi
road,wadada
rock,dhagax weyn
roll,roll
room,qolka
root,xididka
rope,xarig
rose,kacay
round,wareega
row,isku xigta
rub,salaax
rule,xeerka
run,orod
safe,ammaan ah
said,ayuu yiri
sail,shiraaq
salt,cusbo
same,isla
sand,ciid
sat,sabti
save,badbaadin
saw,miinshaar
say,dheh
scale,cabir
school,dugsiga
science,sayniska
score,score
sea,badda
search,raadinaya
season,xilli ciyaareedkan
seat,kursiga
second,labaad
section,qaybta
see,eeg
seed,abuur
seem,muuqdaan
segment,gabal
select,doorasho
self,self
sell,iibiyaan
send,soo diri
sense,dareenka
sent,u diray
sentence,xukunka
separate,gaar ah
serve,adeegaan
set,set
settle,dagaan
seven,toddobada
several,dhowr
shall,waa
shape,muuqaal
share,saamiga
sharp,fiiqan
she,iyada
sheet,xaashida
shell,gaboodka
shine,iftiimin
ship,markab
shoe,kabaha
shop,dukaan
shore,xeebta
short,gaaban
should,waa in
shoulder,garabka
shout,qaylo
show,show
side,kooxda
sight,hortiisa
sign,calaamad
silent,aamusan
silver,lacag
similar,la mid ah
simple,fudud
since,tan
sing,gabyi
single,hal
sister,walaashaa
sit,fadhiisan
six,lix
size,xajmiga
skill,xirfad
skin,maqaarka
sky,cirka
slave,addoon
sleep,hurdo
slip,taraarixid
slow,gaabis ah
small,yar
smell,urta
smile,dhoola
snow,baraf
so,si
soft,jilicsan
soil,ciid
soldier,askari
solution,xal
solve,xaliyaan
some,qaar ka mid ah
son,ina
song,hees
soon,ugu dhakhsaha badan
sound,dhawaaqu
south,koonfur
space,space
speak,hadlaan
special,gaarka ah
speech,hadalka
speed,xawaaraha
spell,muddo
spend,qaataan
spoke,hadlay
spot,kaalinta
spread,faafidda
spring,gu ’
square,laba jibbaaran
stand,taagan
star,xiddiga
start,bilowga
state,state
station,saldhiga
stay,joogo
stead,ka noqday
steam,uumi
steel,birta
step,tallaabada
stick,ul
still,weli
stone,dhagax
stood,istaagay
stop,joojin
store,dukaanka
story,sheeko
straight,si toos ah
strange,la yaab leh
stream,webigu
street,wadada
stretch,kalabixi
string,xarig
strong,xoog
student,ardaygu
study,daraasad
subject,maado
substance,mukhaadaraadka
subtract,jartaa
success,guul
such,noocaas ah
sudden,lama filaan ah
suffix,horgalka
sugar,sonkorta
suggest,soo jeedin
suit,suud
summer,xagaaga
sun,qorraxda
supply,siin
support,taageero
sure,hubi in
surface,dusha
surprise,layaab
swim,dabbaasha
syllable,xarfaha
symbol,astaanta
system,nidaamka
table,miiska
tail,dabadaba
take,qaadato
talk,wadahadal
tall,dheer
teach,bari
team,kooxda
teeth,ilkaha
tell,sheeg
temperature,heerkulka
ten,toban
term,dheer
test,baaritaanka
than,ka badan
thank,mahad
that,in
the,ka
their,ay
them,iyaga oo
then,markaas
there,waxaa
these,waxay
they,ay
thick,qaro weyn
thin,dhuuban
thing,wax
think,u malaynayso
third,saddexaad
this,this
those,kuwa
though,inkastoo
thought,fikirka
thousand,kun
three,saddex
through,iyada oo
throw,tuurin
thus,sidaas
tie,kulanka
time,waqtiga
tiny,yaryar
tire,taayir
to,si ay u
together,wada
told,sheegay
tone,midab
too,sidoo kale
took,qaaday
tool,aalad
top,sare ee
total,wadarta
touch,taabto
toward,xagga
town,magaalada
track,track
trade,ganacsiga
train,tareenka
travel,safarka
tree,geed
triangle,xagalka
trip,safarka
trouble,dhibaato
truck,gaari
true,run
try,isku day
tube,tuubada
turn,markooda
twenty,labaatan
two,laba
type,nooc
under,under
unit,unit
until,ilaa
up,ilaa
us,us
use,isticmaalka
usual,caadiga ah
valley,dooxada
value,qiimaha
vary,kala duwanaan
verb,falka
very,aad u
view,aragtida
village,tuulada
visit,booqasho
voice,codka
vowel,shaqal
wait,sugto
walk,socon
wall,derbiga
want,doonaysid in
war,dagaal
warm,diiran
was,ahaa
wash,dhaqmo
watch,daawado
water,biyaha
wave,ruxruxo
way,hab
we,waxaan
wear,xirtaan
weather,cimilo
week,toddobaadka
weight,miisaanka
well,sidoo
went,u galay
were,jiray
west,galbeed
what,waxa
wheel,wheel
when,marka
where,halkaas oo
whether,haddii
which,taas oo
while,halka
white,cad
who,kuwaas oo
whole,oo dhan
whose,kuwaas oo
why,sababta
wide,ballaaran
