english,corsican
a,un
able,in gradu
about,circa
above,sopratuttu
act,attu
add,aggiungere
afraid,a paura
after,dopu à
again,di novu
against,contru à
age,etati
ago,fa
agree,affattu
air,aria
all,tuttu
allow,auturizà
also,ancu
always,sempri
am,sugnu
among,à mezu à
an,un
and,e
anger,còllera
animal,animale
answer,risposta
any,qualunqui
appear,cumpariri
apple,mela
are,sò
area,spaziu
arm,bracciu
arrange,acconcianu
arrive,ghjunghja
art,arte
as,cum’è
ask,dumandà
at,à
atom,atomu
baby,zitellu
back,ritornu
bad,goffe
ball,palla
band,à ruban
bank,banque
bar,barra
base,suttastratu
basic,funnamintali
bat,bat
be,essa
bear,ceppu
beat,susanu
beauty,biddizzi
bed,etichettatura
been,statu
before,nanzu
began,accuminzau
begin,comincia
behind,daretu à
believe,cridite
bell,ghjuva
best,migliori
better,megghiu
between,trà
big,tette
bird,acellu
bit,pocu
black,neru
block,pacchettu
blood,u sangue
blow,pugnu
blue,turchinu
board,bordu
boat,in barca
body,corpu
bone,elle
book,librettu
born,natu
both,tremindù
bottom,fondu
bought,accattò
box,scatula
boy,carusu
branch,parus
bread,u pane
break,ruttura
bright,luminosu
bring,purtà
broad,fisico
broke,rumpiu
brother,fratellu
brought,purtaru
brown,marrone
build,custruisce
burn,brusgia
busy,occupato
but,ma
buy,accattari
by,par
call,d
came,ghjuntu
camp,truppa
can,pò
capital,capilocu
captain,cummandante
car,vittura
card,card
care,skin
carry,purtarla
case,casu
cat,gattu
catch,caccia
caught,fuòru pigghiàti
cause,a causa
cell,cellula
cent,centu
center,centre
century,seculu
certain,certu
chair,catedra
chance,casu
change,cambiamentu
character,parsunaghju
charge,in prigiò
chart,cuadru
check,cuntrolla
chick,pulcino
chief,u capu
child,zitellu
children,i zitelli
choose,sceglia
chord,bascule
circle,chjerchju
city,a cità
claim,sustennu
class,burghisìa
clean,lavagna
clear,chjaru
climb,foie gras
clock,roggiu
close,chiudi
clothe,clothe
cloud,nuvola
coast,aggrottu
coat,stemma
cold,imbernu
collect,vincite
colony,culonia
color,culore
column,coluna
come,ghjuntu
common,cumuni
company,cumpagnia
compare,parauni
complete,cumpleta
condition,cundizione
connect,cunnette
consider,cunziddirati
consonant,cunzunanti
contain,cuntena
continent,cuntinenti
continue,cuntinuvà
control,cuntrollu
cook,cuocu
cool,cool
copy,esemplariu
corn,di granu
corner,munnizza
correct,aggalabbata
cost,costu
cotton,cuttuni
could,puteva
count,contani
country,paese
course,corsu
cover,"cupertine, iamme"
cow,mucca
crease,dlani
create,criari
crop,culturi
cross,travancà
crowd,ghjente
cry,chianciti
current,tirritòriu
cut,verso
