english,pashto
a,یو
able,کولای
about,په اړه
above,پورته
act,عمل
add,اضافه
afraid,ډاريږي
after,وروسته
again,بيا
against,په وړاندې
age,عمر
ago,وړاندې
agree,موافقه
air,د هوا
all,ټول
allow,اجازه
also,هم
always,تل
am,يم
among,په منځ کې
an,یو
and,او
anger,قهر
animal,د څارويو
answer,ځواب
any,کوم
appear,ښکاري
apple,مڼه
are,دي
area,په سيمه کې
arm,مټ
arrange,انتظام
arrive,ته
art,هنر
as,په توګه
ask,پوښتنه
at,په
atomic,اټومي
baby,د ماشوم
back,بېرته
bad,بد
ball,توپ
band,باند
bank,د بانک
bargain,ارزانه بيه
base,اډه
basic,د اساسي
bat,پچه
be,وي
bear,ګواهي
beat,ته ماتې ورکړه
beauty,ښکلا
bed,بستره
been,شوي
before,مخکې له
began,پیل
begin,پيل كيدل؛ شروع كيدل: او چنېدل، راوتل
behind,تر شا
believe,باور
bell,زنګ
best,ښه
better,ښه
between,تر منځ د
big,لوی
bird,د مرغانو د
bit,څه
black,تور
block,د بنديز
blood,وينه
blow,ګوزار
blue,آبي
board,بورډ
boat,کښتۍ
body,د بدن
bone,د هډوکو
book,کتاب
born,لمريز کال
both,د دواړو
bottom,ښکته
bought,واخيست
box,د صندوق
boy,هلک
branch,څانګه
bread,ډوډۍ
break,وقفې
bright,روښانه
bring,راولي
broad,پراخ
broke,مات
brother,ورور
brought,راوړل
brown,نصواري
build,د جوړولو
burn,سوځوي
busy,بوخت
but,خو
buy,پېري
by,له خوا
call,غوښتنې
came,راغلل
camp,کمپ
can,کولای شي
capital,مرکز
captain,کپتان
car,موټر
card,کارت
care,د پاملرنې
carry,ترسره کړي
case,قضيه
cat,پيشو
catch,اخستونکي
caught,ګير
cause,لامل
cell,حجره
cent,په سلو کې
center,مرکز
century,پیړۍ
certain,د ځانګړو
chair,د کرسۍ
chance,چانس
change,بدلون
character,لوښه
charge,اخلي
chart,چارت
check,وګورئ
chick,لپه
chief,مشر
child,د ماشومانو د
children,ماشومان
choose,غوره
chord,اعصابو
circle,دایره
city,ښار
claim,ادعا
class,ټولګي
clean,پاک
clear,روښانه
climb,ریندي
clock,ساعت
close,نژدې
clothe,جامه
cloud,ورېځ
coast,ساحل
coat,پوښ
cold,سوړ
collect,راټول کړي
colony,مستعمره
color,رنګ
column,کالم
come,راځي
common,عام
company,شرکت
compare,په پرتله
complete,بشپړ
condition,حالت
connect,سره نښلوي
consider,په پام کې
contain,لري
content,محتوا
continent,وچه
continue,ته دوام ورکړي
control,د کنترول
cook,اشپز
cool,ارام
copy,کاپي
corn,دانه، غله، جوار
corner,کونج
correct,صحيح
cost,لګښت
cotton,د مالوچو
could,کولی
count,حساب
country,هیواد
course,کورس
cover,پوښ
cow,غوا
crease,د زاتوالي
create,جوړ کړي
crop,د نبات
cross,واوړي
crowd,ګڼه ګوڼه
cry,ژړا
current,اوسني
cut,پري
dad,داد
dance,نڅا
danger,د خطر
dark,تياره
day,ورځ
dead,وژل شوي
deal,تړون
dear,ګران
death,د مرګ
decide,پریکړه
decimal,لسيال
deep,ژور
degree,درجو
depend,پورې اړه لري
describe,تشریح
desert,دښته
design,ډيزاين
determine,معلومه کړي
develop,وده
dictionary,قاموس
did,وکړل
die,مري
differ,توپير لري
