english,danish
a,en
able,stand
about,om
above,ovenfor
act,handling
add,tilføje
afraid,bange
after,efter
again,igen
against,mod
age,alder
ago,siden
agree,enige
air,luft
all,alle
allow,tillade
also,også
always,altid
am,am
among,blandt
an,en
and,og
anger,vrede
animal,dyr
answer,svar
any,enhver
appear,synes
apple,æble
are,er
area,område
arm,armen
arrange,arrangere
arrive,ankommer
art,kunst
as,som
ask,spørge
at,på
atom,atomet
baby,barn
back,tilbage
bad,dårlig
ball,kugle
band,bånd
bank,bank
bar,bar
base,basen
basic,grundlæggende
bat,flagermus
be,være
bear,bære
beat,slå
beauty,skønhed
bed,seng
been,været
before,før
began,begyndte
begin,begynde
behind,bag
believe,tro
bell,klokke
best,bedst
better,bedre
between,mellem
big,stor
bird,fugl
bit,bit
black,sort
block,blok
blood,blod
blow,slag
blue,blå
board,bord
boat,båd
body,krop
bone,knogle
book,bog
born,født
both,både
bottom,bund
bought,købte
box,kasse
boy,dreng
branch,gren
bread,brød
break,pause
bright,lyse
bring,bringe
broad,bred
broke,brød
brother,bror
brought,bragt
brown,brun
build,bygge
burn,brænde
busy,travlt
but,men
buy,købe
by,ved
call,opkald
came,kom
camp,lejr
can,kan
capital,kapital
captain,kaptajn
car,bil
card,kort
care,pleje
carry,bære
case,tilfælde
cat,kat
catch,fangst
caught,fanget
cause,årsag
cell,celle
cent,procent
center,centrum
century,århundrede
certain,vis
chair,stol
chance,mulighed
change,ændring
character,karakter
charge,oplade
chart,diagram
check,tjek
chick,chick
chief,chef
child,barn
children,børn
choose,vælge
chord,akkord
circle,cirkel
city,by
claim,fordring
class,klasse
clean,ren
clear,klar
climb,klatre
clock,ur
close,tæt
clothe,iklæde
cloud,sky
coast,kyst
coat,frakke
cold,kold
collect,indsamle
colony,koloni
color,farve
column,kolonne
come,komme
common,fælles
company,selskab
compare,sammenligne
complete,komplet
condition,betingelse
connect,forbinde
consider,overveje
consonant,konsonant
contain,indeholder
continent,kontinent
continue,fortsætte
control,kontrol
cook,kok
cool,køligt
copy,kopi
corn,majs
corner,hjørne
correct,korrekt
cost,omkostninger
cotton,bomuld
could,kunne
count,tælle
country,land
course,kursus
cover,dæksel
cow,ko
crease,krølle
create,skabe
crop,afgrøde
cross,krydse
crowd,mængden
cry,råb
current,strøm
cut,cut
dad,far
dance,dans
danger,fare
dark,mørk
day,dag
dead,død
deal,aftale
dear,kære
death,død
decide,beslutte
decimal,decimal
deep,dyb
degree,grad
depend,afhænge
describe,beskrive
desert,ørken
design,konstruktion
determine,bestemme
develop,udvikle
dictionary,ordbog
did,gjorde
die,dø
differ,afvige
difficult,svært
direct,direkte
discuss,diskutere
distant,fjernt
divide,kløft
division,opdeling
do,gøre
doctor,læge
does,gør
dog,hund
dollar,dollaren
done,gjort
don’t,ikke
door,dør
double,dobbelt
down,ned
draw,tegne
dream,drømme
dress,kjole
drink,drikke
drive,køretur
drop,drop
dry,tør
duck,ænder
during,i løbet af
each,hver
ear,øre
early,tidligt
earth,jord
ease,lethed
east,øst
eat,spise
edge,kant
effect,effekt
egg,æg
eight,otte
either,enten
electric,elektrisk
element,elementet
else,andet
end,ende
enemy,fjende
energy,energi
engine,motor
enough,nok
enter,indtaste
equal,lige
equate,sidestille
especially,især
even,selv
evening,aften
event,begivenhed
ever,nogensinde
every,hver
exact,eksakt
example,eksempel
except,undtagen
excite,ophidse
exercise,motion
expect,forventer
experience,erfaring
experiment,eksperiment
eye,øje
face,ansigt
fact,kendsgerning
fair,retfærdig
fall,falde
family,familie
famous,berømt
far,langt
farm,gård
fast,hurtigt
fat,fedt
father,far
favor,begunstige
fear,frygt
feed,foder
feel,føler
feet,fødder
fell,faldt
felt,filt
few,få
field,felt
fig,figen
fight,kamp
figure,figur
fill,fylde
final,endelig
find,finde
fine,bøde
finger,finger
finish,slut
fire,brand
first,første
fish,fisk
fit,passe
five,fem
flat,flad
floor,gulv
flow,flow
flower,blomst
fly,flyve
follow,følg
food,mad
foot,fod
for,til
force,kraft
forest,skov
form,formular
forward,fremad
found,fundet
four,fire
fraction,fraktion
free,fri
fresh,frisk
friend,ven
from,fra
front,forside
fruit,frugt
full,fuld
fun,sjov
game,spil
garden,haven
gas,gas
gather,samle
gave,gav
general,generelt
gentle,blid
get,få
girl,pige
give,giver
glad,glad
glass,glas
go,gå
gold,guld
gone,væk
good,god
got,fik
govern,regere
grand,store
grass,græs
gray,grå
great,stor
green,grøn
grew,voksede
ground,jorden
group,gruppe
grow,vokse
guess,gætte
guide,guide
gun,pistol
had,havde
hair,hår
half,halvdelen
hand,hånd
happen,ske
happy,glad
hard,hårdt
has,har
hat,hat
have,har
he,han
head,hoved
hear,høre
heard,hørt
heart,hjerte
heat,varme
heavy,tung
held,held
help,hjælpe
her,hende
here,her
high,høj
hill,bakke
him,ham
his,hans
history,historie
hit,hit
hold,holde
hole,hul
home,hjem
hope,håber
horse,hest
hot,hot
hot,varmt
hour,time
house,hus
how,hvordan
huge,enorm
human,menneske
hundred,hundrede
hunt,jagt
hurry,skynde
i,jeg
ice,is
idea,idé
if,hvis
imagine,forestille
in,i
inch,tommer
include,omfatter
indicate,angive
industry,industri
insect,insekt
instant,øjeblikkelig
instrument,redskab
interest,interesse
invent,opfinde
iron,jern
is,er
island,ø
it,det
job,job
join,slutte
joy,glæde
jump,hoppe
just,bare
keep,holde
kept,holdt
key,nøgle
kill,dræbe
kind,slags
king,konge
knew,vidste
know,kende
lady,dame
lake,sø
land,jord
language,sprog
large,stor
last,sidste
late,sent
laugh,grine
law,lov
lay,lægge
lead,føre
learn,lære
least,mindst
leave,forlade
led,ledede
left,venstre
leg,ben
length,længde
less,mindre
let,lad
letter,brev
level,niveau
lie,løgn
life,liv
lift,elevator
light,lys
like,ligesom
line,linje
liquid,væske
list,liste
listen,lytte
little,lidt
live,leve
locate,lokalisere
log,log
lone,enlig
long,lang
look,se
lost,tabt
lot,parti
loud,højt
love,elsker
low,lav
machine,maskine
made,lavet
magnet,magneten
main,main
major,større
make,gøre
man,mand
many,mange
map,kort
mark,mark
market,marked
mass,masse
master,mester
match,kamp
material,materiale
matter,stof
may,kan
me,mig
mean,betyde
meant,betød
measure,måle
meat,kød
meet,mød
melody,melodi
men,mænd
metal,metal
method,metode
middle,midten
might,måske
mile,mile
milk,mælk
million,millioner
mind,sind
mine,minen
minute,minut
miss,miss
mix,mix
modern,moderne
molecule,molekyle
moment,øjeblik
money,penge
month,måned
moon,månen
more,mere
morning,formiddag
most,mest
mother,mor
motion,bevægelse
mount,monteringstid
mountain,bjerg
mouth,mund
move,træk
much,meget
multiply,formere
music,musik
must,skal
my,min
name,navn
nation,nation
natural,naturlig
nature,natur
near,nær
necessary,nødvendig
neck,hals
need,brug
neighbor,nabo
never,aldrig
new,ny
next,næste
night,nat
nine,ni
no,nej
noise,støj
noon,middag
nor,heller ikke
north,nord
nose,næse
note,notat
nothing,intet
notice,varsel
noun,navneord
now,nu
number,nummer
numeral,talord
object,objekt
observe,observere
occur,forekomme
ocean,havet
of,af
off,off
offer,tilbud
office,kontor
often,ofte
