english,malagasy
a,ny
able,afaka
about,ny
above,ambony
act,zavatra
add,ampio
afraid,raiki-tahotra
after,rehefa
again,indray
against,manohitra
age,taona
ago,lasa izay
agree,miombon-kevitra
air,rivotra
all,rehetra
allow,hamela
also,koa
always,foana
am,aho
among,eo
an,iray
and,ary
anger,fahatezerana
animal,biby
answer,valiny
any,rehetra
appear,hita
apple,paoma
are,dia
area,faritra
arm,sandry
arrange,handamina
arrive,tonga
art,zava-kanto
as,toy ny
ask,manontany
at,amin’ny
atom,tsivaky
baby,baby
back,indray
bad,ratsy
ball,baolina
band,tarika
bank,banky
bar,bar
base,fototra
basic,fototra
bat,ramanavy
be,ho
bear,mijoro ho
beat,nandresy
beauty,hatsaran-tarehy
bed,fandriana
been,efa
before,talohan’ny
began,nanomboka
begin,manomboka
behind,aoriana
believe,mino
bell,bell
best,tsara indrindra
better,tsara kokoa
between,eo
big,lehibe
bird,vorona
bit,kely
black,mainty
block,andian-tsoratra
blood,ra
blow,namely
blue,manga
board,birao
boat,sambokely
body,vatana
bone,taolana
book,boky
born,born
both,samy
bottom,ambany
bought,nividy
box,boaty
boy,zazalahy
branch,sampana
bread,mofo
break,fiatoana
bright,mamirapiratra
bring,mitondra
broad,malalaka
broke,namaky
brother,rahalahy
brought,nitondra
brown,brown
build,hanorina
burn,hodorana
busy,be asa
but,fa
buy,mividy
by,amin’ny
call,antso
came,tonga
camp,toby
can,afaka
capital,renivohitra
captain,komandin’ny
car,fiara
card,karatra
care,fikarakarana
carry,mitondra
case,tranga
cat,saka
catch,trondro
caught,tratra
cause,antony
cell,efitra
cent,-jato
center,afovoany
century,taonjato
certain,sasany
chair,seza
chance,kisendrasendra
change,fanovana
character,toetra
charge,mampianiana
chart,tabilao
check,hanamarina
chick,zana-borona
chief,lehiben’ny
child,ankizy
children,ankizy
choose,misafidy
chord,chord
circle,faribolana
city,tanàna
claim,fitarainana
class,am-pianarana
clean,madio
clear,mazava
climb,fihanihana
clock,famantaranandro
close,akaiky
clothe,mitafy
cloud,rahona
coast,fari-
coat,akanjo
cold,mangatsiaka
collect,hanangona
colony,zanatany
color,loko
column,tsanganana
come,ho avy
common,iombonana
company,orinasa
compare,ampitahao amin’ny
complete,tanteraka
condition,toe-
connect,mifandray
consider,diniho
consonant,consonant
contain,dia ahitana
continent,kaontinanta
continue,foana
control,fanaraha-maso
cook,cook
cool,milay
copy,dika mitovy
corn,katsaka
corner,zoro
correct,marina
cost,vidin’ny
cotton,landihazo
could,afaka
count,manisa
country,firenena
course,mazava ho azy fa
cover,fonony
cow,omby vavy
crease,crease
create,hamorona
crop,vokatra
cross,miampita
crowd,vahoaka
cry,fitarainany
current,amin’izao fotoana izao
cut,notapatapahina
dad,dada
dance,dihy
danger,loza
dark,maizina
day,andro
dead,maty
deal,fifanarahana
dear,malala
death,fahafatesana
decide,manapa-kevitra
decimal,decimal
deep,lalina
degree,diplaoma
depend,miankina
describe,mamaritra
desert,efitra
design,famolavolana
determine,mamaritra
develop,hampitombo
dictionary,rakibolana
did,nanao
die,faty
