english,croatian
a,kraj
able,u mogućnosti
about,oko
above,iznad
act,čin
add,dodajte
afraid,bojati
after,nakon
again,opet
against,protiv
age,starost
ago,prije
agree,slažete
air,zrak
all,svi
allow,dopustiti
also,također
always,uvijek
am,ja
among,među
an,pitaj
and,i
anger,ljutnja
animal,životinja
answer,odgovor
any,bilo koji
appear,pojaviti
apple,jabuka
are,su
area,područje
arm,ruka
arrange,urediti
arrive,stići
art,umjetnost
as,kao
ask,pitaj
at,na
atom,atom
baby,beba
back,natrag
bad,loše
ball,lopta
band,bend
bank,banka
bar,bar
base,baza
basic,osnovna
bat,šišmiš
be,biti
bear,snositi
beat,pobijediti
beauty,ljepota
bed,krevet
been,bio
before,prije
began,počelo
begin,početak
behind,iza
believe,vjerujem
bell,zvono
best,najbolje
better,bolje
between,između
big,veliki
bird,ptica
bit,malo
black,crn
block,blokirati
blood,krv
blow,udarac
blue,plava
board,peglanje
boat,brod
body,tijelo
bone,kosti
book,knjiga
born,born
both,oboje
bottom,dno
bought,kupio
box,kutija
boy,dječak
branch,grana
bread,kruh
break,pauza
bright,svijetle
bring,donijeti
broad,široka
broke,razbio
brother,brat
brought,donio
brown,smeđa
build,graditi
burn,spali
busy,zauzet
but,ali
buy,kupi
by,od strane
call,poziv
came,došao
camp,kamp
can,može
capital,kapitala
captain,kapetan
car,automobil
card,kartice
care,briga
carry,nose
case,slučaj
cat,mačka
catch,ulov
caught,uhvaćen
cause,uzrok
cell,stanica
cent,posto
center,centar
century,stoljeća
certain,siguran
chair,stolica
chance,šanse
change,promjena
character,karakter
charge,naplatiti
chart,grafikon
check,provjeriti
chick,pilić
chief,glavni
child,dijete
children,djeca
choose,odaberite
chord,akord
circle,krug
city,grad
claim,tvrdnja
class,klasa
clean,čist
clear,jasno
climb,uspon
clock,sat
close,u blizini
clothe,odijevate
cloud,oblak
coast,obala
coat,kaput
cold,hladnoće
collect,prikupiti
colony,kolonija
color,boja
column,stupac
come,dolaze
common,zajednički
company,tvrtka
compare,usporedbu
complete,potpun
condition,stanje
connect,povezivanje
consider,razmotriti
consonant,suglasnika
contain,sadrže
continent,kontinent
continue,nastaviti
control,kontrola
cook,kuharica
cool,svjež
copy,kopija
corn,kukuruz
corner,kutak
correct,točne
cost,trošak
cotton,pamuk
could,mogla
count,računati
country,zemlja
course,tečaj
cover,poklopac
cow,krava
crease,gužvanja
create,stvoriti
crop,usjev
cross,križ
crowd,gomila
cry,krik
current,tekući
cut,rez
dad,tata
dance,ples
danger,opasnost
dark,mrak
day,dan
dead,mrtvih
deal,dio
dear,draga
death,smrt
decide,odlučite
decimal,decimale
deep,duboko
degree,stepen
depend,ovise
describe,opisati
desert,pustinja
design,dizajn
determine,utvrdilo
develop,razviti
dictionary,rječnik
did,učinio
die,umrijeti
differ,razlikuju
difficult,teško
direct,neposredan
discuss,raspravljati
distant,daleka
divide,podijeli
division,podjela
do,raditi
doctor,liječnik
does,radi
dog,pas
dollar,dolar
done,učinjeno
don’t,nemoj
door,vrata
double,dvostruka
down,prema dolje
draw,crtanje
dream,sanjati
dress,haljina
drink,piće
drive,pogon
drop,ispustiti
dry,suhi
duck,patka
during,vrijeme
each,svaki
ear,uho
early,rano
earth,zemlja
ease,ublažavanje
east,istočno
eat,jesti
edge,rub
effect,posljedica
egg,jaje
eight,osam
either,ili
electric,električna
element,element
else,drugo
end,kraj
enemy,neprijatelj
energy,energije
engine,motor
enough,dovoljno
enter,ući
equal,jednaka
equate,izjednačiti
especially,pogotovo
even,još
evening,večer
event,događaj
ever,ikad
every,svaka
exact,točno
example,primjer
except,osim
excite,uzbuditi
exercise,vježba
expect,očekujemo
experience,iskustvo
experiment,eksperiment
eye,očiju
face,lice
fact,činjenica
fair,fer
fall,pasti
family,obitelj
famous,poznati
far,daleko
farm,farma
fast,brzo
fat,masti
father,otac
favor,naklonost
fear,strah
feed,hrane
feel,osjećati
feet,noge
fell,pao
felt,osjećao
