english,igbo
a,a
able,ike
about,banyere
above,n’elu
act,eme
add,tinye
afraid,egwu
after,mgbe
again,ọzọ
against,megide
age,afọ
ago,gara aga
agree,ekweta
air,ikuku
all,niile
allow,ekwe
also,na-
always,mgbe nile
am,m
among,n’etiti
an,ihe
and,na
anger,iwe
animal,anụmanụ
answer,azịza
any,ọ bụla
appear,iyi
apple,apụl
are,ma ọ bụrụ na
area,mpaghara
arm,ogwe aka
arrange,ndokwa
arrive,na-abata
art,nkà
as,dị ka
ask,ịjụ
at,na
atom,atọm
baby,nwa
back,azụ
bad,ọjọọ
ball,bọl
band,gbalaga
bank,akụ
bar,mmanya
base,isi
basic,isi
bat,ụsụ
be,ịbụ
bear,agba
beat,uda
beauty,ịma mma
bed,bed
been,kemgbe
before,n’ihu
began,malitere
begin,na-amalite
behind,n’azụ
believe,kwere
bell,mgbịrịgba
best,mma
better,mma
between,n’etiti
big,nnukwu
bird,nnụnụ
bit,bit
black,ojii
block,gbochie
blood,ọbara
blow,igbu
blue,acha anụnụ anụnụ
board,osisi
boat,ụgbọ mmiri
body,ozu
bone,ọkpụkpụ
book,akwụkwọ
born,keomumu
both,ma
bottom,ike
bought,zụta
box,igbe
boy,nwa
branch,alaka ụlọ ọrụ
bread,nri
break,nkwụsịtụ
bright,"enwu enwu,"
bring,eme
broad,sara mbara
broke,mebiri
brother,nwanne
brought,ada
brown,na agba aja aja
build,ewu
burn,ọkụ
busy,arụsi ọrụ ike
but,ma
buy,ịzụta
by,site
call,oku
came,wee
camp,mara ụlọikwuu
can,ike
capital,isi obodo
captain,onyeisi
car,ụgbọ ala
card,kaadị
care,nlekọta
carry,ebu
case,ikpe
cat,pusi
catch,gbutere
caught,jidere
cause,kpatara
cell,cell
cent,pasent
center,ebe
century,na narị afọ
certain,ụfọdụ
chair,oche
chance,ohere
change,mgbanwe
character,agwa
charge,ana
chart,chart
check,ịlele
chick,chick
chief,isi
child,nwa
children,ụmụ
choose,họrọ
chord,mmagba
circle,gburugburu
city,obodo
claim,mgbarakwa
class,otu
clean,dị ọcha
clear,doro anya
climb,ọrịrị
clock,elekere
close,nso
clothe,uwe
cloud,ígwé ojii
coast,n’ụsọ oké osimiri
coat,uwe
cold,oyi
collect,na-anakọta
colony,ógbè
color,agba
column,na kọlụm
come,bịa
common,ọsọ
company,ụlọ ọrụ
compare,tụnyere
complete,zuru oke
condition,ọnọdụ
connect,ijikọ
consider,tụlee
consonant,mgbochiume
contain,nwere
continent,kọntinent
continue,na-
control,akara
cook,isi nri
cool,jụụ
copy,akwụkwọ
corn,ọka
corner,n’akụkụ
correct,ziri ezi
cost,na-eri
cotton,na owu
could,ike
count,ịgụ
country,obodo
course,n’ezie
cover,mkpuchi
cow,ehi
crease,ahịrị
create,ike
crop,ọkụkụ
cross,ịgafe
crowd,ìgwè mmadụ
cry,mkpu
current,ugbu a
cut,ịkpụ
dad,papa
dance,agba egwú
danger,ihe egwu
dark,gbara ọchịchịrị
day,ụbọchị
dead,nwụrụ anwụ
deal,ihe
dear,ezigbo
death,ọnwụ
decide,ikpebi
decimal,ntụpọ
deep,miri
degree,n’ókè
depend,na-adabere
describe,kọwaa
desert,desert
design,imewe
determine,chọpụta
develop,imepe
dictionary,ọkọwa okwu
did,mere
die,anwụ
differ,iche
difficult,ike
direct,kpọmkwem
discuss,tụlee
distant,anya
divide,ike
division,nkewa
do,eme
doctor,dọkịta
does,ke
dog,nkịta
dollar,dollar
done,eme
don’t,emela
door,ụzọ
double,abụọ
down,ala
draw,ise
dream,nrọ
dress,uwe
drink,ọṅụṅụ
drive,mbanye
drop,dobe
dry,akọrọ
duck,ọbọgwụ
during,n’oge
each,ọ bụla
ear,ntị
early,n’isi
earth,ụwa
ease,mfe
east,n’ebe ọwụwa anyanwụ
eat,eri
edge,ihu
effect,mmetụta
egg,akwa
eight,asatọ
either,ma
electric,electric
element,mmewere
else,ọzọ
end,njedebe
enemy,onye iro
energy,ike
engine,engine
enough,ezuru
enter,banye
equal,hara
equate,equate
especially,karịsịa
even,ọbụna
evening,mgbede
event,ihe
ever,mgbe
every,ọ bụla
exact,kpọmkwem
example,atụ
except,ma e wezụga
excite,ejikere
exercise,mmega
expect,na-atụ anya
experience,ahụmahụ
experiment,nnwale
eye,anya
face,ihu
fact,n’eziokwu
fair,mma
fall,ada
family,ezinụlọ
famous,ama
far,anya
farm,ugbo
fast,ngwa-ngwa
fat,abụba
father,nna
favor,amara
fear,egwu
feed,ndepụta
feel,na-eche
feet,ụkwụ
fell,dara
felt,chere
few,ole na ole
field,ubi
fig,fig
fight,agha
figure,ọnụ ọgụgụ
fill,ju
final,ikpeazụ
find,ịchọta
fine,mma
finger,aka
finish,n’isi
fire,ọkụ
first,mbụ
fish,azụ
fit,kwekọrọ
five,ise
flat,larịị
floor,ebe
flow,asọpụta
flower,ifuru
fly,ofufe
follow,na-eso
food,nri
foot,ụkwụ
for,n’ihi na
force,ike
forest,ọhịa
form,ụdị
forward,anya
found,hụrụ
four,anọ
fraction,akụkụ
free,free
fresh,ọhụrụ
friend,enyi
from,si
front,n’ihu
fruit,mkpụrụ
full,zuru
fun,ọchị
game,egwuregwu
garden,ubi
gas,gas
gather,akpọkọta
gave,nyere
general,n’ozuzu
gentle,nwayọọ
get,nweta
girl,nwa agbọghọ
give,nye
glad,obi ụtọ na
glass,iko
go,aga
gold,ọlaedo
gone,gawara
good,mma
got,wee
govern,akara
grand,akwa
grass,ahịhịa
gray,isi awọ
great,akwa
green,akwụkwọ ndụ akwụkwọ ndụ
grew,na-eto
ground,n’ala
group,otu
grow,na-eto
guess,maa amụma
guide,na-eduzi
gun,égbè
had,nwere
hair,ntutu isi
half,ọkara
hand,aka
happen,eme
happy,obi ụtọ
hard,ike
has,nwere
hat,okpu
have,nwere
he,enye
head,isi
hear,hear
heard,nụrụ
heart,obi
heat,okpomọkụ
heavy,arọ
held,mkpọrọgwụ
help,aka
her,ya
here,ebe a
high,elu
hill,ugwu
him,ya
his,ya
history,akụkọ ihe mere eme
hit,kụrụ
hold,jide
hole,oghere
home,n’ụlọ
hope,nwere olileanya
horse,ịnyịnya
hot,na-ekpo ọkụ
hour,awa
house,ụlọ
how,otú
huge,nnukwu
human,mmadụ
hundred,narị
hunt,ichu nta
hurry,ọsọ ọsọ
i,m
ice,ice
idea,echiche
if,ma ọ bụrụ na
imagine,iche
in,na
inch,buru ibu dị sentimita
include,na-agụnye
indicate,egosi
industry,ụlọ ọrụ
insect,ahụhụ
instant,ozugbo
instrument,ngwá
interest,mmasị
invent,dịrị
iron,ígwè
is,bụ
island,agwaetiti
it,ya
job,ọrụ
join,sonyere
joy,ọṅụ
jump,na-awụlikwa elu
just,dị nnọọ
keep,na-
kept,na-
key,igodo
kill,igbu
kind,ụdị
king,eze
knew,maara
know,mara
lady,nwanyị
lake,ọdọ mmiri
land,ala
language,asụsụ
large,nnukwu
last,ikpeazụ
late,oge
laugh,ochi
law,iwu
lay,dina
lead,mbu
learn,ịmụta
least,"dịkarịa ala,"
leave,ahapụ
led,dugara
left,ekpe
leg,ụkwụ
length,ogologo
less,mpekarị
let,ka
letter,ozi
level,larịị
lie,ụgha
life,ndụ
lift,ebulinwu
light,ìhè
like,dị ka
line,akara
liquid,mmiri
list,ndepụta
listen,ntị
little,obere
live,ndụ
locate,chọta
log,banye
lone,nanị
long,ogologo
look,anya
lost,furu efu
lot,ọtụtụ
loud,oké
love,n’anya
low,ala
machine,igwe
made,mere
magnet,ndọta
main,isi
major,isi
make,eme ka
man,nwoke
many,ọtụtụ
map,map
mark,akara
market,ahịa
mass,uka
master,ukwu
match,egwuregwu
material,ihe
matter,okwu
may,ike
me,m
mean,pụtara
meant,pụtara
measure,ịlele
meat,anụ
meet,zukoro
melody,abụ olu ụtọ
men,ndị ikom
metal,ígwè
method,usoro
middle,n’etiti
might,ike
mile,mile
milk,mmiri ara
million,nde
mind,uche
mine,m
minute,nkeji
miss,igafe ihe
mix,mix
modern,n’oge a
molecule,molekul
moment,oge
money,ego
month,ọnwa
moon,ọnwa
more,ọzọ
morning,ụtụtụ
most,kacha
mother,nne
motion,ngagharị
mount,n’ugwu
mountain,ugwu
mouth,ọnụ
move,nkwaghari
much,ukwuu
multiply,mụbaa
music,music
must,ana
my,m
name,aha
nation,mba
natural,eke
nature,agwa
near,nso
necessary,dị mkpa
neck,olu
need,mkpa
neighbor,agbata obi
never,mgbe
new,ọhụrụ
next,ọzọ
night,abalị
nine,itoolu
no,mba
noise,mkpọtụ
noon,ehihie
nor,ma ọ bụ
north,ugwu
nose,imi
note,dee
nothing,ihe
notice,mara
noun,aha
now,ugbu a
number,ọnụ ọgụgụ
numeral,onuogugu
object,ihe
observe,na-edebe
occur,ime
ocean,oké osimiri
of,nke
off,anya
offer,enye
office,ọrụ
often,mgbe
oh,na na na oh
oil,mmanụ
old,ochie
on,ụfọdụ
once,ozugbo
one,otu
only,naanị
open,oghe
operate,ọrụ
opposite,abụghị
or,ma ọ bụ
order,iji
organ,ngwa
original,mbụ
other,ọzọ
our,anyị
out,si
over,n’elu
own,aka
oxygen,oxygen
page,peeji nke
paint,agba
pair,ụzọ
paper,akwụkwọ
paragraph,paragraf
parent,nne na nna
part,akụkụ
particular,karịsịa
party,otu
pass,gafere
past,n’oge gara aga
path,ụzọ
pattern,ụkpụrụ
pay,ịkwụ ụgwọ
people,ndị mmadụ
perhaps,ikekwe
period,oge
person,onye
phrase,okwu
pick,bulie
picture,foto
piece,ibe
pitch,pitch
place,ebe
plain,larịị
plan,atụmatụ
plane,ụgbọelu
planet,na mbara ala
plant,osisi
play,igwu egwu
please,biko
plural,otutu
poem,abụ
point,ebe
poor,ogbenye
populate,populate
port,ọdụ ụgbọ mmiri
pose,abụrụ
position,ọnọdụ
possible,kwere omume
post,post
pound,paụnd
power,ike
practice,omume
prepare,kwadebe
present,ugbu a
press,akuko
pretty,mara mma
print,ebipụta
probable,puru omume
problem,nsogbu
process,usoro
produce,mepụta
product,ngwaahịa
proper,kwesịrị ekwesị
property,onwunwe
protect,chebe
prove,gosi
provide,nye
pull,dọọ
push,kwaa
put,tinye
quart,quart
question,ajụjụ
quick,ngwa ngwa
quiet,jụụ
quite,nnọọ
quotient,quotient
race,agbụrụ
radio,redio
rail,tren
rain,mmiri ozuzo
raise,bulie
ran,efehe
range,iche
rather,kama
reach,iru
read,na-agụ
ready,njikere
real,n’ezie
reason,ihe
receive,enweta
record,ndekọ
red,acha ọbara ọbara
region,mpaghara
remember,na-echeta
repeat,megharịa
reply,zaghachi
represent,na-anọchite anya
require,chọrọ
rest,ike
result,n’ihi
rich,ọgaranya
ride,na-agba ịnyịnya
right,nri
ring,mgbanaka
rise,bilie
river,osimiri
road,okporo ụzọ
rock,nkume
roll,mpịakọta
room,ụlọ
root,mgbọrọgwụ
rope,eriri
rose,bilie
round,gburugburu
row,n’ahịrị
rub,ite
rule,ọchịchị
run,omume
safe,nchebe
said,kwuru
sail,na-akwọpụ
salt,nnu
same,otu
sand,aja
sat,nọdụ
save,azọpụta
saw,ikwo
say,na-ekwu
scale,n’ọtụtụ na
school,ụlọ akwụkwọ
science,sayensị
score,akara
sea,osimiri
search,search
season,n’oge
seat,oche
second,nke abụọ
section,ngalaba
see,ịhụ
seed,mkpụrụ
seem,iyi
segment,agba
select,họrọ
self,onwe
sell,ere
send,iziga
sense,uche
sent,zitere
sentence,ikpe
separate,iche iche
serve,ozi
set,set
settle,dozie
seven,asaa
several,ọtụtụ
shall,ga-
shape,ọdịdị
share,òkè
sharp,nkọ
she,ọ
sheet,akwụkwọ
shell,iheesereese
shine,na-enwu
ship,ụgbọ mmiri
shoe,akpụkpọ ụkwụ
shop,ụlọ ahịa
shore,n’ikperé mmiri
short,obere
should,kwesịrị
shoulder,ubu
shout,tie mkpu
show,izi
side,n’akụkụ
sight,n’anya
sign,ịrịba ama
silent,nkịtị
silver,ọlaọcha
similar,yiri
simple,mfe
since,ebe
sing,na-abụ abụ
single,otu
sister,nwanne nwaanyị
sit,ọdụ
six,isii
size,size
skill,nkà
skin,akpụkpọ
sky,elu-igwe
slave,ohu
sleep,ụra
slip,ego
slow,ngwa
small,obere
smell,ísì
smile,ọchị
snow,snow
so,otú
soft,nro
soil,ala
soldier,agha
solution,ngwọta
solve,idozi
some,ụfọdụ
son,nwa
song,song
soon,anya
sound,ada
south,ndịda
space,ohere
speak,na-ekwu okwu
special,pụrụ iche
speech,okwu
speed,ọsọ
spell,asụpe
spend,na-eji
spoke,kwuru
spot,ebe
spread,na-agbasa
spring,mmiri
square,square
stand,eguzo
star,kpakpando
start,mmalite
state,ala
station,ebe
stay,anọ
stead,itie
steam,uzuoku
steel,nchara
step,nzọụkwụ
stick,mkpisi
still,ka
stone,nkume
stood,guzoro
stop,kwụsị
store,ụlọ ahịa
story,akụkọ
straight,ogologo
strange,iche
stream,mmiri
street,n’okporo ámá
stretch,gbatia
string,eriri
strong,ike
student,na-amụrụ
study,ọmụmụ
subject,isiokwu
substance,umi
subtract,iwepu wepu
success,ịga nke ọma
such,dị
sudden,mberede
suffix,suffix
sugar,sugar
suggest,na-atụ aro
suit,ekike
summer,n’oge okpomọkụ
sun,anyanwụ
supply,enweta
support,nkwado
sure,hụ
surface,n’elu
surprise,anya
swim,igwu
syllable,nkeji okwu
symbol,akara
system,usoro
table,okpokoro
tail,ọdụ
take,nara
talk,okwu
tall,ogologo
teach,na-akụziri
team,otu
teeth,ezé
tell,ịgwa
temperature,ọnọdụ okpomọkụ
ten,iri
term,okwu
test,ule
than,karịa
thank,na-ekele
that,na
the,na
their,ha
them,ha
then,mgbe ahụ
there,n’ebe ahụ
these,ndị a
they,ha
thick,oké
thin,tara
thing,ihe
think,chere
third,atọ
this,a
those,ndị
though,ezie
thought,chere
thousand,puku
three,atọ
through,site na
throw,otutu
thus,"n’ihi ya,"
tie,tie
time,oge
tiny,obere
tire,taya
to,na-
together,ọnụ
told,gwara
tone,olu
too,oke
took,were
tool,ngwá ọrụ
top,top
total,mkpokọta
touch,metụ
toward,n’ebe
town,obodo
track,akara
trade,ọrụ
train,ụgbọ
travel,njem
tree,osisi
triangle,triangle
trip,njem
trouble,nsogbu
truck,gwongworo
true,ezi
try,na-agbalị
tube,tube
turn,n’aka
twenty,iri abụọ na
two,abụọ
type,ụdị
under,n’okpuru
unit,unit
until,ruo mgbe
up,elu
us,anyị
use,iji
usual,na-adị
valley,na ndagwurugwu
value,uru
vary,iche iche
verb,ngwaa
very,nnọọ
view,ele
village,obodo
visit,nleta
voice,olu
vowel,ụdaume
wait,chere
walk,na-eje ije
wall,mgbidi
want,chọrọ
war,agha
warm,na-ekpo ọkụ
was,bụ
wash,na-asacha
watch,na-ekiri
water,mmiri
wave,ife
way,ụzọ
we,anyị
wear,eyi
weather,ihu igwe
week,izu
weight,arọ
well,ọma
went,wee
were,ndị
west,n’ebe ọdịda anyanwụ
what,ihe
wheel,wheel
when,mgbe
where,ebe
whether,ma
which,nke
while,ebe
white,ọcha
who,onye
whole,dum
whose,onye
why,ya mere
wide,n’obosara
wife,nwunye
wild,anụ ọhịa
will,ekpe
win,imeri
wind,ifufe
window,windo
wing,nku
winter,oyi
wire,izipu
wish,chọrọ
with,ọrụ
woman,nwanyị
women,inyom
wonder,na-eche
won’t,agaghị
wood,osisi
word,okwu
work,ọrụ
world,ụwa
would,ga-
write,dee
written,dere
wrong,njọ
wrote,dere
yard,na-aza èzí
year,afọ
yellow,acha odo odo
yes,ee
yet,ma
you,ị
young,nwa
your,gị
