english,haitian
a,yon
able,kapab
about,sou
above,pi wo a
act,zak
add,ajoute
afraid,pè
after,apre
again,ankò
against,kont
age,laj
ago,de sa
agree,dakò
air,lè
all,tout
allow,pèmèt
also,tou
always,toujou
am,menm
among,nan mitan
an,yon
and,ak
anger,kòlè
animal,bèt
answer,repons
any,nenpòt ki
appear,parèt
apple,pòm
are,yo se
area,zòn
arm,bra
arrange,fè aranjman pou
arrive,rive
art,atizay
as,kòm
ask,mande
at,nan
atom,atòm
baby,ti bebe
back,tounen
bad,move
ball,boul
band,bann
bank,bank
bar,bar
base,baz
basic,debaz
bat,baton
be,gen
bear,pote
beat,bat
beauty,bote
bed,kabann
been,te
before,anvan
began,te kòmanse
begin,kòmanse
behind,dèyè
believe,kwè
bell,klòch
best,pi bon
better,pi bon
between,ant
big,gwo
bird,zwazo
bit,ti jan
black,nwa
block,blòk
blood,san
blow,souflèt
blue,ble
board,tablo
boat,bato
body,kò
bone,zo
book,liv
born,li te fèt
both,tou de
bottom,anba
bought,te achte
box,bwat
boy,ti gason
branch,branch
bread,pen
break,repo
bright,klere
bring,pote
broad,laj
broke,kase
brother,frè
brought,mennen l ’
brown,mawon
build,bati
burn,boule
busy,okipe
but,men
buy,achte
by,pa
call,apèl
came,te vin
camp,kan
can,kapab
capital,kapital
captain,kòmandan
car,machin
card,kat
care,swen
carry,pote
case,ka
cat,chat
catch,trape
caught,kenbe
cause,kòz
cell,selil
cent,santim
center,sant
century,syèk
certain,sèten
chair,chèz
chance,chans
change,chanjman
character,karaktè
charge,chaje
chart,tablo
check,tcheke
chick,chick
chief,chèf
child,pitit
children,timoun
choose,chwazi
chord,kòd
circle,sèk
city,vil la
claim,reklamasyon
class,klas
clean,pwòp
clear,klè
climb,grenpe
clock,revèy
close,fèmen
clothe,abiye
cloud,nwaj
coast,kòt
coat,rad
cold,frèt
collect,kolekte
colony,koloni
color,koulè
column,kolòn
come,vini
common,komen
company,konpayi
compare,konpare
complete,konplè
condition,kondisyon
connect,konekte
consider,konsidere
consonant,konsòn
contain,gen ladan
continent,kontinan
continue,kontinye
control,kontwòl
cook,kwit manje
cool,fre
copy,kopi
corn,mayi
corner,kwen
correct,kòrèk
cost,pri
cotton,koton
could,te kapab
count,konte
country,peyi
course,kou
cover,kouvèti
cow,bèf
crease,pli
create,kreye
crop,rekòt
cross,travèse
crowd,foul moun
cry,rèl
current,aktyèl
cut,koupe
dad,papa
dance,dans
danger,danje
dark,fè nwa
day,jou
dead,mouri
deal,kontra
dear,mwen renmen anpil
death,lanmò
decide,deside
decimal,desimal
deep,gwo twou san fon
degree,degre
depend,depann
describe,dekri
desert,dezè
design,konsepsyon
determine,detèmine
develop,devlope
dictionary,diksyonè
did,te fè
die,mouri
differ,diferan
difficult,difisil
direct,dirèk
discuss,diskite sou
distant,byen lwen
divide,divize
division,divizyon
do,fè
doctor,doktè
does,fè
dog,chen
dollar,dola
done,fè a
don’t,pa fè sa
door,pòt
double,doub
down,desann
draw,trase
dream,rèv
dress,rad
drink,bwè
drive,kondwi
drop,gout
dry,sèk
duck,kanna
during,pandan
each,chak
ear,zòrèy
early,byen bonè
earth,latè
ease,fasilite
east,bò solèy leve
eat,manje
edge,kwen
effect,efè
egg,ze
eight,uit
either,swa
electric,elektrik
element,eleman
else,lòt moun
end,fen
enemy,lènmi
energy,enèji
engine,motè
enough,ase
enter,antre nan
equal,egal
equate,egalize
especially,espesyalman
even,menm
evening,aswè
event,evènman
ever,tout tan tout tan
every,chak
exact,egzak
example,egzanp
except,eksepte
excite,motive
exercise,fè egzèsis
expect,espere
experience,eksperyans
experiment,eksperyans
eye,je
face,figi
fact,reyalite
fair,ki jis
fall,tonbe
family,fanmi
famous,pi popilè
far,byen lwen
farm,fèm
fast,vit
fat,grès
father,papa
favor,favorize
fear,pè
feed,manje
feel,santi
feet,pye
fell,tonbe
felt,te santi
few,kèk
field,jaden
fig,fig frans
fight,batay
figure,figi
fill,ranpli
final,final
find,jwenn
fine,amann
finger,dwèt
finish,fini
fire,dife
first,premye
fish,pwason
fit,anfòm
five,senk
flat,plat
floor,etaj
flow,koule
flower,flè
fly,vole
follow,swiv
food,manje
foot,pye
for,pou
force,fòs
forest,forè
form,fòm
forward,pou pi devan
found,jwenn
four,kat
fraction,fraksyon
free,gratis
fresh,fre
friend,zanmi
from,soti nan
front,devan
fruit,fwi
full,plen
fun,plezi
game,jwèt
garden,jaden
gas,gaz
gather,ranmase
gave,te bay
general,jeneral
gentle,dou
get,jwenn
girl,ti fi
give,bay
glad,kontan
glass,vè
go,ale
gold,lò
gone,ale
good,bon
got,te resevwa
govern,gouvène
grand,grand
grass,zèb
gray,gri
great,gwo
green,vèt
grew,te grandi
ground,tè
group,gwoup
grow,grandi
guess,devine
guide,gide
gun,zam
had,te gen
hair,tout cheve nan tèt
half,mwatye
hand,men
happen,rive
happy,kontan
hard,difisil
has,gen
hat,chapo
have,gen
he,li
head,tèt
hear,tande
heard,tande
heart,kè
heat,chalè
heavy,lou
held,ki te fèt
help,ede
her,gen
here,isit la
high,segondè
hill,mòn
him,l ’
his,l’
history,istwa
hit,frape
hold,kenbe
hole,twou
home,lakay
hope,espere
horse,chwal
hot,cho
hour,èdtan
house,kay
how,ki jan
huge,gwo
human,imen
hundred,santèn
hunt,lachas
hurry,prese
i,mwen
ice,glas
idea,lide
if,si
imagine,imajine
in,nan
inch,pous
include,gen ladan yo
indicate,endike
industry,endistri
insect,ensèk
instant,enstantane
instrument,enstriman
interest,enterè
invent,envante
iron,fè
is,se
island,zile
it,li
job,travay
join,rantre nan
joy,kè kontan
jump,sote
just,jis
keep,kenbe
kept,kenbe
key,kle
kill,touye
kind,kalite
king,wa
knew,te konnen
know,konnen
lady,dam
lake,lak
land,peyi
language,lang
large,gwo
last,dènye
late,an reta
laugh,ri
law,lalwa
lay,kouche
lead,mennen
learn,aprann
least,omwen
leave,kite
led,dirije
left,kite
leg,janm
length,longè
less,mwens
let,kite
letter,lèt
level,nivo
lie,manti
life,lavi
lift,leve
light,limyè
like,tankou
line,liy
liquid,likid
list,lis
listen,koute
little,ti kras
live,ap viv
locate,lokalize
log,journal
lone,lone
long,lontan
look,gade
lost,pèdi
lot,anpil
loud,byen fò
love,renmen
low,ki ba
machine,machin
made,te fè
magnet,leman
main,prensipal
major,pi gwo
make,fè
man,nonm
many,anpil
map,kat jeyografik
mark,make
market,mache
mass,mas
master,mèt
match,matche ak
material,materyèl
matter,pwoblèm
may,kapab
me,m ’
mean,vle di
meant,vle di
measure,mezire
meat,vyann
meet,satisfè
melody,melodi
men,moun
metal,metal
method,metòd
middle,mitan
might,ta ka
mile,mil
milk,lèt
million,milyon dola
mind,lide
mine,m ’
minute,minit
miss,miss
mix,melanje
modern,modèn
molecule,molekil
moment,moman sa
money,lajan
month,mwa
moon,lalin
more,plis
morning,maten
most,pi
mother,manman
motion,mouvman
mount,mòn
mountain,mòn
mouth,bouch
move,deplase
much,anpil
multiply,miltipliye
music,mizik
must,dwe
my,mwen
name,non
nation,nasyon
natural,natirèl
nature,nati
near,tou pre
necessary,nesesè
neck,kou
need,bezwen
neighbor,frè parèy
never,pa janm
new,nouvo
next,pwochen
night,lannwit
nine,nèf
no,pa gen okenn
noise,bri
noon,midi
nor,ni
north,nò
nose,nen
note,nòt
nothing,pa gen anyen
notice,avi
noun,non
now,kounye a
number,nimewo
numeral,a chif
object,objè
observe,obsève
occur,rive
ocean,oseyan
of,nan
off,koupe
offer,òf
office,biwo
often,souvan
oh,oh
oil,lwil oliv
old,fin vye granmoun
on,sou
once,yon fwa
one,yon sèl
only,sèlman
open,louvri
operate,opere
opposite,opoze
or,oswa
order,lòd
organ,ògàn
original,orijinal
other,lòt
our,nou an
out,soti
over,sou
own,pwòp
oxygen,oksijèn
page,paj
paint,penti
pair,pè
paper,papye
paragraph,paragraf
parent,paran
part,pati
particular,patikilye
party,pati
pass,pase
past,sot pase
path,chemen
pattern,modèl
pay,peye
people,moun
perhaps,petèt
period,peryòd
person,moun
phrase,fraz
pick,chwazi
picture,foto
piece,moso
pitch,anplasman
place,plas
plain,plenn
plan,plan
plane,avyon
planet,planèt
plant,plant
play,jwe
please,tanpri
plural,pliryèl
poem,powèm
point,pwen
poor,pòv
populate,peple
port,pò
pose,poze
position,pozisyon
possible,posib
post,pòs
pound,liv
power,pouvwa
practice,pratik
prepare,prepare
present,prezan
press,laprès
pretty,bèl
print,ekri an lèt detache
probable,pwobab
problem,pwoblèm
process,pwosesis
produce,pwodwi
product,pwodwi
proper,apwopriye
property,pwopriyete
protect,pwoteje
prove,pwouve
provide,bay
pull,rale
push,pouse
put,mete
quart,lit edmi
question,kesyon
quick,rapid
quiet,trankil
quite,byen
quotient,kosyan
race,ras
radio,radyo
rail,tren
rain,lapli
raise,ogmante
ran,kouri
range,seri
rather,olye
reach,rive jwenn
read,li
ready,pare
real,reyèl
reason,rezon
receive,resevwa
record,dosye
red,wouj
region,rejyon
remember,sonje
repeat,repete
reply,reponn
represent,reprezante
require,mande pou
rest,rès
result,rezilta
rich,moun rich
ride,woulib
right,dwa
ring,bag
rise,monte
river,gwo larivyè lefrat
road,wout
rock,wòch
roll,woulo liv
room,chanm
root,rasin
rope,kòd
rose,leve
round,wonn
row,ranje
rub,fwote
rule,règ
run,kouri
safe,ki san danje
said,te di
sail,vwal
salt,sèl
same,menm
sand,sab
sat,sat
save,sove
saw,te wè
say,di
scale,echèl
school,lekòl
science,syans
score,nòt
sea,lanmè
search,rechèch
season,sezon
seat,chèz
second,dezyèm
section,seksyon
see,wè
seed,pitit pitit
seem,sanble
segment,segman
select,chwazi
self,pwòp tèt ou
sell,vann
send,voye
sense,sans
sent,voye
sentence,fraz
separate,separe
serve,sèvi
set,seri
settle,rezoud
seven,sèt
several,plizyè
shall,va
shape,fòm
share,pataje
sharp,byen file
she,li
sheet,fèy
shell,koki
shine,klere
ship,bato
shoe,soulye
shop,boutik
shore,rivaj
short,kout
should,ta dwe
shoulder,zepòl
shout,sèl rèl byen
show,montre
side,bò
sight,je
sign,siy
silent,an silans
silver,ajan
similar,menm jan
simple,senp
since,depi
sing,chante
single,sèl
sister,sè
sit,chita
six,sis
size,gwosè
skill,konpetans
skin,po
sky,syèl
slave,esklav
sleep,dòmi
slip,glise
slow,dousman
small,ti
smell,pran sant
smile,souri
snow,nèj
so,"se konsa,"
soft,mou
soil,tè
soldier,sòlda
solution,solisyon
solve,rezoud
some,kèk
son,pitit gason
song,chante
soon,byento
sound,son
south,sid
space,espas
speak,pale
special,espesyal
speech,diskou
speed,vitès
spell,eple
spend,depanse
spoke,te pale
spot,plas
spread,gaye
spring,sezon prentan
square,kare
stand,kanpe
star,etwal
start,kòmansman
state,eta
station,estasyon
stay,rete
stead,plas
steam,vapè
steel,asye
step,etap
stick,bwa
still,toujou
stone,wòch
stood,te kanpe
stop,sispann
store,magazen
story,istwa
straight,tou dwat
strange,etranj
stream,kouran
street,lari
stretch,detire
string,fisèl
strong,fò
student,elèv
study,etid
subject,sijè
substance,sibstans
subtract,fè soustraksyon
success,siksè
such,sa yo
sudden,toudenkou
suffix,sifiks
sugar,sik
suggest,sijere
suit,kostim
summer,ete
sun,solèy
supply,ekipman pou
support,sipò
sure,asire w
surface,sifas
surprise,sipriz
swim,naje
syllable,silab
symbol,senbòl
system,sistèm
table,tab
tail,ke
take,pran
talk,pale
tall,wotè
teach,anseye
team,ekip
teeth,dan
tell,di
temperature,tanperati
ten,dis
term,tèm
test,tès
than,pase
thank,mèsi
that,ki
the,nan
their,yo
them,yo
then,"lè sa a,"
there,gen
these,sa yo
they,yo
thick,epè
thin,mens
thing,bagay
think,panse
third,twazyèm
this,sa a
those,moun
though,menm si
thought,te panse
thousand,mil
three,twa
through,atravè
throw,voye jete
thus,konsa
tie,menm kantite vòt
time,tan
tiny,ti
tire,kawotchou
to,gen
together,ansanm
told,te di
tone,ton
too,twò
took,pran
tool,zouti
top,tèt
total,manm
touch,manyen
toward,nan direksyon
town,vil
track,tras
trade,komès
train,tren
travel,vwayaj
tree,pyebwa
triangle,triyang
trip,vwayaj
trouble,pwoblèm
truck,kamyon
true,vre
try,eseye
tube,tib
turn,vire
twenty,ven
two,de
type,kalite
under,anba
unit,inite
until,jiskaske
up,moute
us,nou
use,itilize
usual,nòmal
valley,fon
value,valè
vary,varye
verb,vèb
very,trè
view,view
village,vilaj
visit,vizit
voice,vwa
vowel,vwayèl
wait,rete tann
walk,mache
wall,miray
want,vle
war,lagè
warm,cho
was,te
wash,lave
watch,gade
water,dlo
wave,vag
way,fason
we,nou
wear,mete
weather,move tan
week,semèn
weight,pwa
well,byen
went,te ale
were,yo te
west,lwès
what,sa ki
wheel,wou
when,lè
where,ki kote
whether,si wi ou non
which,ki
while,pandan y ap
white,blan
who,ki moun ki
whole,antye
whose,ki gen
why,poukisa
wide,lajè
wife,madanm
wild,sovaj
will,pral
win,genyen
wind,van
window,fenèt
wing,zèl
winter,sezon fredi
wire,fil
wish,swete
with,ak
woman,fanm
women,fanm
wonder,mande
won’t,pa pral
wood,bwa
word,mo
work,travay
world,mond
would,ta
write,ekri
written,ekri
wrong,mal
wrote,ekri
yard,lakou
year,ane
yellow,jòn
yes,repons lan se wi
yet,ankò
you,ou
young,jèn
your,ou
