english,norwegian
a,en
able,stand
about,om
above,ovenfor
act,handle
add,legge
afraid,redd
after,etter
again,igjen
against,mot
age,alder
ago,siden
agree,enig
air,luft
all,alle
allow,tillate
also,også
always,alltid
am,am
among,blant
an,en
and,og
anger,sinne
animal,dyr
answer,svar
any,noen
appear,vises
apple,eple
are,er
area,område
arm,arm
arrange,arrangere
arrive,ankomme
art,kunst
as,som
ask,spør
at,på
atom,atomet
baby,babyen
back,tilbake
bad,dårlig
ball,ballen
band,bandet
bank,bank
bar,bar
base,basen
basic,grunnleggende
bat,bat
be,være
bear,bære
beat,slå
beauty,skjønnhet
bed,seng
been,vært
before,før
began,begynte
begin,begynne
behind,bak
believe,tror
bell,bell
best,beste
better,bedre
between,mellom
big,big
bird,fugl
bit,bit
black,svart
block,blokk
blood,blod
blow,slag
blue,blå
board,brett
boat,båt
body,kroppen
bone,bein
book,bok
born,født
both,både
bottom,bunnen
bought,kjøpt
box,boks
boy,gutt
branch,gren
bread,brød
break,pause
bright,lyse
bring,bringe
broad,bred
broke,brøt
brother,bror
brought,brakte
brown,brun
build,bygge
burn,brenne
busy,opptatt
but,men
buy,kjøpe
by,etter
call,samtale
came,kom
camp,leir
can,kan
capital,kapital
captain,kaptein
car,bil
card,kortet
care,omsorg
carry,bære
case,case
cat,katt
catch,fangst
caught,fanget
cause,årsaken
cell,celle
cent,prosent
center,senter
century,århundre
certain,viss
chair,stol
chance,sjanse
change,endring
character,karakter
charge,belaste
chart,diagram
check,sjekk
chick,chick
chief,sjef
child,barn
children,barn
choose,velge
chord,akkord
circle,sirkel
city,by
claim,krav
class,klasse
clean,ren
clear,klar
climb,klatre
clock,klokke
close,nær
clothe,ikle
cloud,skyen
coast,kysten
coat,frakk
cold,kaldt
collect,samle
colony,koloni
color,farge
column,kolonne
come,kommer
common,felles
company,selskap
compare,sammenligne
complete,komplett
condition,tilstand
connect,koble
consider,vurdere
consonant,konsonant
contain,inneholde
continent,kontinentet
continue,fortsette
control,kontroll
cook,kokk
cool,kult
copy,kopi
corn,mais
corner,hjørne
correct,riktig
cost,kostnader
cotton,bomull
could,kunne
count,teller
country,landet
course,kurs
cover,dekselet
cow,ku
crease,krøll
create,skape
crop,avling
cross,krysse
crowd,folkemengde
cry,gråte
current,nåværende
cut,kutt
dad,pappa
dance,dans
danger,fare
dark,mørk
day,dag
dead,døde
deal,avtale
dear,kjære
death,død
decide,bestemme
decimal,desimal
deep,dyp
degree,grad
depend,avhenge
describe,beskrive
desert,ørkenen
design,utforming
determine,bestemme
develop,utvikle
dictionary,ordbok
did,gjorde
die,dø
differ,avvike
difficult,vanskelig
direct,direkte
discuss,diskutere
distant,fjernt
divide,dividere
division,divisjon
do,gjøre
doctor,lege
does,gjør
dog,hund
dollar,dollar
done,gjort
don’t,ikke gjør
door,dør
double,dobbel
down,ned
draw,tegne
dream,drømme
dress,kjole
drink,drikke
drive,kjøring
drop,slipp
dry,tørk
duck,and
during,under
each,hver
ear,øret
early,tidlig
earth,jorden
ease,lette
east,øst
eat,spise
edge,kanten
effect,effekt
egg,egg
eight,åtte
either,enten
electric,elektrisk
element,element
else,annet
end,ende
enemy,fiende
energy,energi
engine,motor
enough,nok
enter,inn
equal,lik
equate,likestille
especially,spesielt
even,selv
evening,kveld
event,hendelse
ever,noensinne
every,alle
exact,eksakte
example,eksempel
except,bortsett fra
excite,opphisse
exercise,trening
expect,forvente
experience,erfaring
experiment,eksperiment
eye,øye
face,ansikt
fact,faktisk
fair,rettferdig
fall,høst
family,familie
famous,berømt
far,langt
farm,gård
fast,rask
fat,fett
father,far
favor,favorisere
fear,frykt
feed,fôr
feel,føler
feet,føtter
fell,falt
felt,følte
few,noen
field,felt
fig,fig
fight,kampen
figure,figur
fill,fylle
final,endelig
find,finne
fine,bot
finger,fingeren
finish,ferdig
fire,brann
first,første
fish,fisk
fit,passe
five,fem
flat,flat
floor,etasje
flow,flyte
flower,blomst
fly,fly
follow,følg
food,mat
foot,foten
for,for
force,kraft
forest,skog
form,skjema
forward,frem
found,funnet
four,fire
fraction,brøkdel
free,gratis
fresh,frisk
friend,venn
from,fra
front,foran
fruit,frukt
full,fullt
fun,moro
game,spill
garden,hage
gas,gass
gather,samle
gave,ga
general,generell
gentle,skånsom
get,få
girl,jente
give,gi
glad,glad
glass,glass
go,gå
gold,gull
gone,borte
good,god
got,fikk
govern,regulerer
grand,grand
grass,gress
gray,grå
great,stor
green,grønn
grew,vokste
ground,bakken
group,gruppe
grow,vokse
guess,gjett
guide,veilede
gun,pistol
had,hadde
hair,hår
half,halv
hand,hånd
happen,skje
happy,lykkelig
hard,vanskelig
has,har
hat,hat
have,har
he,han
head,hode
hear,høre
heard,hørt
heart,hjerte
heat,hete
heavy,tung
held,holdt
help,hjelpe
her,henne
here,her
high,høy
hill,hill
him,ham
his,hans
history,historie
hit,rammet
hold,holde
hole,hull
home,hjem
hope,håper
horse,hest
hot,varm
hot,hot
hour,time
house,huset
how,hvordan
huge,stor
human,menneskelig
hundred,hundre
hunt,jakt
hurry,skynde
i,jeg
ice,is
idea,ide
if,hvis
imagine,forestille
in,i
inch,tommers
include,inkludere
indicate,indikere
industry,industrien
insect,insekt
instant,instant
instrument,instrument
interest,interesse
invent,oppfinne
iron,jern
is,er
island,øy
it,den
job,jobb
join,bli med
joy,glede
jump,hopp
just,bare
keep,holde
kept,holdt
key,nøkkel
kill,drepe
kind,kind
king,king
knew,visste
know,vet
lady,damen
lake,innsjø
land,landet
language,språk
large,stor
last,siste
late,sent
laugh,latter
law,lov
lay,lå
lead,føre
learn,lære
least,minst
leave,forlate
led,ledet
left,venstre
leg,leg
length,lengde
less,mindre
let,la
letter,brev
level,nivå
lie,løgn
life,livet
lift,lift
light,lys
like,som
line,etter
liquid,væske
list,liste
listen,lytte
little,lite
live,leve
locate,isere
log,logg
lone,lone
long,lang
look,se
lost,tapt
lot,mye
loud,høyt
love,elsker
low,lav
machine,maskin
made,gjort
magnet,magnet
main,hoved
major,stor
make,gjøre
man,mann
many,mange
map,kartet
mark,mark
market,markedet
mass,masse
master,mester
match,kamp
material,material
matter,saken
may,kan
me,meg
mean,mener
meant,ment
measure,måle
meat,kjøtt
meet,møtes
melody,melodi
men,menn
metal,metall
method,metode
middle,midten
might,kanskje
mile,mile
milk,melk
million,millioner
mind,sinn
mine,gruve
minute,minutt
miss,savner
mix,bland
modern,moderne
molecule,molekyl
moment,øyeblikk
money,penger
month,måned
moon,månen
more,mer
morning,morgen
most,mest
mother,mor
motion,bevegelse
mount,mount
mountain,fjellet
mouth,munn
move,flytte
much,mye
multiply,multiplisere
music,musikk
must,må
my,min
name,navn
nation,nasjon
natural,naturlig
nature,natur
near,nær
necessary,nødvendig
neck,halsen
need,trenger
neighbor,nabo
never,aldri
new,ny
next,neste
night,natt
nine,ni
no,no
noise,støy
noon,noon
nor,eller
north,nord
nose,nese
note,notat
nothing,ingenting
notice,varsel
noun,substantiv
now,nå
number,nummer
numeral,tall
object,objekt
observe,observere
occur,forekomme
ocean,ocean
of,av
off,off
