english,kazakh
a,а
able,қабілетті
about,туралы
above,жоғарыда
act,акт
add,қосу
afraid,қорқады
after,кейін
again,қайтадан
against,қарсы
age,жас
ago,бұрын
agree,келісу
air,ауа
all,барлық
allow,рұқсат ету
also,"сондай-ақ,"
always,әрқашан
am,am
among,арасында
an,егер
and,мен
anger,ашу
animal,жануар
answer,жауап
any,кез келген
appear,пайда болу
apple,алма
are,болып табылады
area,аудан
arm,қол
arrange,орналастыру
arrive,келу
art,өнер
as,ретінде
ask,сұрау
at,жанында
atom,атом
baby,нәресте
back,артқа
bad,жаман
ball,доп
band,топ
bank,банк
bar,бар
base,база
basic,негізгі
bat,жарғанат
be,болуы
bear,аю
beat,ұрыс
beauty,сұлулық
bed,төсек
been,болды
before,бұрын
began,бастады
begin,баста
behind,артында
believe,сену
bell,қоңырау
best,ең жақсы
better,жақсырақ
between,арасында
big,үлкен
bird,құс
bit,биттік
black,қара
block,блок
blood,қан
blow,үрлеу
blue,көк
board,басқарма
boat,қайық
body,дене
bone,сүйек
book,кітап
born,туған
both,екеуі де
bottom,төменгі
bought,сатып
box,қорап
boy,ұл
branch,филиал
bread,нан
break,үзіліс
bright,ашық
bring,әкелу
broad,кең
broke,сынған
brother,аға
brought,әкелді
brown,қоңыр
build,салу
burn,күйік
busy,бос емес
but,бірақ
buy,сатып алу
by,арқылы
call,шақыру
came,келді
camp,лагерь
can,болады
capital,капитал
captain,капитан
car,автомобиль
card,кәртішке
care,қамқорлық
carry,қазақстан бойынша жүк тасымалдары
case,оқиға
cat,мысық
catch,аулау
caught,ұстап
cause,себеп
cell,жасуша
cent,цент
center,орталық
century,ғасыр
certain,сенімді
chair,кафедра
chance,кездейсоқтық
change,өзгеріс
character,кейіпкер
charge,төлем
chart,кесте
check,тексеру
chick,chick
chief,бас
child,бала
children,балалар
choose,таңдау
chord,аккорд
circle,шеңбер
city,қала
claim,талап
class,сынып
clean,таза
clear,айқын
climb,өрмелеу
clock,сағат
close,жақын
clothe,киіндіру
cloud,бұлт
coast,жаға
coat,пальто
cold,суық
collect,жинау
colony,отар
color,түс
column,колонна
come,келу
common,ортақ
company,компания
compare,салыстыру
complete,аяқталған
condition,жағдай
connect,қосылу
consider,қарау
consonant,дауыссыз дыбыс
contain,болу
continent,құрылық
continue,жалғастыру
control,бақылау
cook,аспаз
cool,салқын
copy,көшірме
