english,french
a,un
able,capable
about,sur
above,au-dessus
act,acte
add,ajouter
afraid,peur
after,après
again,encore
against,contre
age,âge
ago,il ya
agree,se mettre d’accord
air,air
all,tous
allow,permettre
also,aussi
always,toujours
am,h
among,entre
an,un
and,et
anger,colère
animal,animal
answer,réponse
any,tout
appear,apparaître
apple,pomme
are,sont
area,zone
arm,bras
arrange,organiser
arrive,arriver
art,art
as,comme
ask,interroger
at,à
atom,atome
baby,bébé
back,arrière
bad,mauvais
ball,balle
band,bande
bank,banque
bar,bar
base,base
basic,de base
bat,chauve-souris
be,être
bear,porter
beat,battre
beauty,beauté
bed,lit
been,été
before,avant
began,a commencé
begin,commencer
behind,derrière
believe,croire
bell,cloche
best,meilleur
better,mieux
between,entre
big,grand
bird,oiseau
bit,peu
black,noir
block,bloc
blood,sang
blow,coup
blue,bleu
board,conseil
boat,bateau
body,corps
bone,os
book,livre
born,né
both,tous les deux
bottom,bas
bought,acheté
box,boîte
boy,garçon
branch,branche
bread,pain
break,pause
bright,clair
bring,apporter
broad,large
broke,cassé
brother,frère
brought,apporté
brown,brun
build,construire
burn,brûler
busy,occupé
but,mais
buy,acheter
by,par
call,appel
came,est venu
camp,camp
can,boîte
capital,capital
captain,capitaine
car,voiture
card,carte
care,soins
carry,porter
case,cas
cat,chat
catch,capture
caught,pris
cause,la cause
cell,cellule
cent,cent
center,centre
century,siècle
certain,certain
chair,chaise
chance,chance
change,changement
character,caractère
charge,charger
chart,graphique
check,vérifier
chick,poussin
chief,chef
child,enfant
children,enfants
choose,choisir
chord,corde
circle,cercle
city,ville
claim,revendication
class,classe
clean,propre
clear,clair
climb,montée
clock,horloge
close,proche
clothe,vêtir
cloud,nuage
coast,côte
coat,manteau
cold,froid
collect,recueillir
colony,colonie
color,couleur
column,colonne
come,venir
common,commun
company,entreprise
compare,comparer
complete,complète
condition,condition
connect,relier
consider,envisager
consonant,consonne
contain,contenir
continent,continent…
continue,continuer
control,contrôle
cook,cuisinier
cool,frais
copy,copie
corn,blé
corner,coin
correct,correct
cost,coût
cotton,coton
could,pourrait
count,compter
country,pays
course,cours
cover,couvercle
cow,vache
crease,pli
create,créer
crop,récolte
cross,traverser
crowd,foule
cry,cri
current,courant
cut,coupe
dad,papa
dance,danse
danger,danger
dark,sombre
day,jour
dead,mort
deal,accord
dear,cher
death,décès
decide,décider
decimal,décimal
deep,profond
degree,degré
depend,dépendre
describe,décrire
desert,désert
design,conception
determine,déterminer
develop,développer
dictionary,dictionnaire
did,fait
die,mourir
differ,différer
difficult,difficile
direct,direct
discuss,discuter
distant,lointain
divide,fracture
division,division
do,faire
doctor,médecin
does,ne
dog,chien
dollar,dollar
done,terminé
don’t,needs a context
door,porte
double,double
down,vers le bas
draw,tirer
dream,rêver
dress,robe
drink,boisson
drive,entraînement
drop,tomber
dry,sec
duck,canard
during,pendant
each,chaque
ear,oreille
early,tôt
earth,terre
ease,facilité
east,est
eat,manger
edge,bord
effect,effet
egg,œuf
eight,huit
either,chaque
electric,électrique
element,élément
else,autre
end,fin
enemy,ennemi
energy,énergie
engine,moteur
enough,assez
enter,entrer
equal,égal
equate,assimiler
especially,particulièrement
even,même
evening,soirée
event,événement
ever,jamais
every,tous
exact,exact
example,exemple
except,sauf
excite,exciter
exercise,exercice
expect,attendre
experience,expérience
experiment,expérience
eye,œil
face,face
fact,fait
fair,juste
fall,tomber
family,famille
famous,célèbre
far,loin
farm,ferme
fast,rapide
fat,graisse
father,père
favor,favoriser
fear,peur
feed,alimentation
feel,sentir
feet,pieds
fell,est tombé
felt,feutre
few,peu
field,domaine
fig,figue
fight,lutte
figure,figure
fill,remplir
final,finale
find,trouver
fine,fin
finger,doigt
finish,finition
fire,feu
first,première
fish,poisson
fit,s’adapter
five,cinq
flat,plat
floor,étage
flow,débit
flower,fleur
fly,voler
follow,suivre
food,nourriture
foot,pied
for,pour
force,force
forest,forêt
form,forme
forward,avant
found,trouvé
four,quatre
fraction,fraction
free,gratuit
fresh,frais
friend,ami
from,à partir de
front,avant
fruit,fruit
full,plein
fun,amusement
game,jeu
garden,jardin
gas,gaz
gather,recueillir
gave,donné
general,général
gentle,doux
get,obtenir
girl,fille
give,donner
glad,heureux
glass,verre
go,aller
gold,or
gone,disparu
good,bon
got,eu
govern,gouverner
grand,grandiose
grass,herbe
gray,gris
great,grand
green,vert
grew,a augmenté
ground,sol
group,groupe
grow,croître
guess,deviner
guide,guider
gun,pistolet
had,eu
hair,cheveux
half,moitié
hand,main
happen,arriver
happy,heureux
hard,dur
has,a
hat,chapeau
have,avoir
he,il
head,tête
hear,entendre
heard,entendu
heart,cœur
heat,chaleur
heavy,lourd
held,en attente
help,aider
her,son
here,ici
high,haut
hill,colline
him,lui
his,son
history,histoire
hit,frapper
hold,tenir
hole,trou
home,maison
hope,espoir
horse,cheval
hot,chaud
hour,heure
house,maison
how,comment
huge,énorme
human,humain
hundred,cent
hunt,chasse
hurry,se dépêcher
i,je
ice,glace
idea,idée
if,si
imagine,imaginer
in,dans
inch,pouce
include,inclure
indicate,indiquer
industry,industrie
insect,insecte
instant,instant
instrument,instrument
interest,intérêt
invent,inventer
iron,fer
is,est
island,île
it,il
job,emploi
join,joindre
joy,joie
jump,sauter
just,juste
keep,garder
kept,conservé
key,clé
kill,tuer
kind,genre
king,roi
knew,savait
know,savoir
lady,dame
lake,lac
land,terre
language,langue
large,grand
last,dernier
late,tard
laugh,rire
law,droit
lay,poser
lead,conduire
learn,apprendre
least,moins
leave,laisser
led,led
left,gauche
leg,jambe
length,longueur
less,moins
let,laisser
letter,lettre
level,niveau
lie,mensonge
life,vie
lift,ascenseur
light,lumière
like,comme
line,ligne
liquid,liquide
list,liste
