english,slovenian
a,bi
able,lahko
about,o
above,zgoraj
act,akt
add,dodajte
afraid,strah
after,po
again,ponovno
against,proti
age,starost
ago,nazaj
agree,se strinjam
air,zrak
all,vse
allow,omogočajo
also,tudi
always,vedno
am,am
among,med
an,
and,in
anger,jeza
animal,živali
answer,odgovor
any,koli
appear,pojavijo
apple,jabolko
are,up
area,območje
arm,ročica
arrange,uredi
arrive,prispejo
art,umetnost
as,kot
ask,vprašajte
at,na
atom,atoma
baby,otroška
back,nazaj
bad,slabo
ball,kroglični
band,pas
bank,banka
bar,barov
base,baza
basic,osnovni
bat,netopirja
be,biti
bear,nosi
beat,premagati
beauty,lepota
bed,postelja
been,bilo
before,pred
began,začel
begin,začeti
behind,zadaj
believe,verjamemo
bell,bell
best,najboljši
better,bolje
between,med
big,velika
bird,ptica
bit,bit
black,black
block,blok
blood,krvi
blow,pihalnega
blue,modra
board,penzion
boat,čoln
body,telo
bone,kostne
book,knjiga
born,rojena
both,oboje
bottom,spodnji
bought,kupil
box,škatla
boy,boy
branch,podružnica
bread,kruh
break,odmor
bright,svetla
bring,prinašajo
broad,široka
broke,zlomil
brother,brat
brought,prinesel
brown,rjava
build,graditi
burn,gorijo
busy,zaposlen
but,vendar
buy,nakup
by,s
call,razpis
came,prišel
camp,tabor
can,lahko
capital,kapital
captain,kapetan
car,avto
card,kartice
care,nega
carry,opravljanje
case,primer
cat,cat
catch,ulov
caught,ujete
cause,vzrok
cell,celica
cent,centov
center,center
century,stoletje
certain,nekatere
chair,stol
chance,priložnost
change,sprememba
character,značaj
charge,zaračuna
chart,grafikon
check,preveriti
chick,chick
chief,glavni
child,otrok
children,otroci
choose,izberite
chord,tetiva
circle,krog
city,mesto
claim,trditev
class,razred
clean,čist
clear,jasno
climb,vzpon
clock,ura
close,zapri
clothe,oblekli
cloud,oblaku
coast,obala
coat,plašč
cold,hladno
collect,zbiranje
colony,kolonija
color,barva
column,stolpec
come,prišel
common,pogosti
company,podjetje
compare,primerjati
complete,popolna
condition,pogoj
connect,povezati
consider,"menijo,"
consonant,soglasnikom
contain,vsebujejo
continent,celina
continue,naprej
control,nadzor
cook,kuharica
cool,cool
copy,izvod
corn,koruza
corner,kotiček
correct,pravilna
cost,stroški
cotton,bombaž
could,lahko
count,računati
country,država
course,seveda
