english,turkmen
a,a
able,başarýar
about,hakda
above,ýokarda
act,hereket et
add,goş
afraid,gorkýar
after,soň
again,ýene-de
against,garşy
age,ýaşy
ago,ozal
agree,razy
air,howa
all,hemmesi
allow,rugsat beriň
also,şeýle hem
always,elmydama
am,am
among,arasynda
an,an
and,we
anger,gahar
animal,haýwan
answer,jogap ber
any,islendik
appear,peýda bolýar
apple,alma
are,bolup durýar
area,meýdany
arm,gol
arrange,tertipläň
arrive,gel
art,sungat
as,ýaly
ask,sora
at,at
atom,atom
baby,çaga
back,yza
bad,erbet
ball,top
band,topary
bank,bank
bar,bar
base,esas
basic,esasy
bat,bat
be,bol
bear,aýy
beat,ur
beauty,gözellik
bed,düşek
been,boldy
before,öň
began,başlady
begin,başla
behind,arkasynda
believe,ynan
bell,jaň
best,iň gowusy
better,has gowy
between,arasynda
big,uly
bird,guş
bit,biraz
black,gara
block,blokirlemek
blood,gan
blow,ur
blue,gök
board,tagta
boat,gaýyk
body,beden
bone,süňk
book,kitap
born,doguldy
both,ikisem
bottom,aşagy
bought,satyn aldy
box,guty
boy,oglan
branch,şahasy
bread,çörek
break,arakesme
bright,ýagty
bring,getir
broad,giň
broke,döwdi
brother,dogan
brought,getirildi
brown,goňur
build,gurmak
burn,ýakmak
busy,meşgul
but,emma
buy,satyn al
by,tarapyndan
call,jaň ediň
came,geldi
camp,lager
can,edip biler
capital,maýa
captain,kapitan
car,awtoulag
card,kartoçka
care,ideg
carry,götermek
case,ýagdaý
cat,pişik
catch,tutmak
caught,tutuldy
cause,sebäp
cell,öýjük
cent,sent
center,merkezi
century,asyr
certain,belli
chair,oturgyç
chance,pursat
change,üýtgetmek
character,häsiýet
charge,zarýad
chart,diagramma
check,barlaň
chick,jüýje
chief,başlygy
child,çaga
children,çagalar
choose,saýlaň
chord,akord
circle,tegelek
city,şäher
claim,talap
class,synp
clean,arassa
clear,düşnükli
climb,dyrmaşmak
clock,sagat
close,ýakyn
clothe,geýin
cloud,bulut
coast,kenar
coat,palto
cold,sowuk
collect,ýygnamak
