english,uyghur
a,а
able,сәләтле
about,турында
above,өстә
act,акт
add,өстәргә
afraid,курка
after,аннан соң
again,тагын
against,каршы
age,яшь
ago,элек
agree,риза
air,һава
all,барысы да
allow,рөхсәт итегез
also,шулай ук
always,гел
am,мин
among,арасында
an,ан
and,һәм
anger,ачу
animal,хайван
answer,җавап
any,теләсә нинди
appear,пәйда була
apple,алма
are,бар
area,мәйданы
arm,кул
arrange,тәртипкә китерегез
arrive,килеп җит
art,сәнгать
as,кебек
ask,сора
at,чыгыш
atom,атом
baby,сабый
back,кире
bad,начар
ball,туп
band,төркем
bank,банк
bar,бар
base,нигез
basic,төп
bat,бат
be,бул
bear,аю
beat,кыйнау
beauty,матурлык
bed,карават
been,булды
before,элек
began,башланды
begin,башларга
behind,артта
believe,ышан
bell,кыңгырау
best,иң яхшы
better,яхшырак
between,арасында
big,зур
bird,кош
bit,бераз
black,кара
block,блок
blood,кан
blow,сугу
blue,зәңгәр
board,такта
boat,көймә
body,тән
bone,сөяк
book,китап
born,туган
both,икесе дә
bottom,аста
bought,сатып алынган
box,тартма
boy,малай
branch,филиал
bread,икмәк
break,тәнәфес
bright,якты
bring,алып кил
broad,киң
broke,ватылды
brother,абый
brought,алып килделәр
brown,коңгырт
build,төзү
burn,яндыру
busy,мәшгуль
but,ләкин
buy,сатып ал
by,тарафыннан
call,шалтырату
came,килде
camp,лагерь
can,булдыра ала
capital,капитал
captain,капитан
car,машина
card,карточка
care,кайгырту
carry,алып бару
case,очрак
cat,мәче
catch,тоту
caught,тотылды
cause,сәбәп
cell,күзәнәк
cent,цент
center,үзәк
century,гасыр
certain,билгеле
chair,урындык
chance,мөмкинлек
change,үзгәртү
character,характер
charge,заряд
chart,диаграмма
check,тикшерегез
chick,тавык
chief,начальнигы
child,бала
children,балалар
choose,сайлау
chord,аккорд
circle,түгәрәк
city,шәһәр
claim,таләп
class,класс
clean,чиста
clear,чиста
climb,менү
clock,сәгать
close,ябык
clothe,киен
cloud,болыт
coast,яр
coat,пальто
cold,салкын
collect,җыю
colony,колония
color,төс
column,багана
come,кил
common,уртак
company,компаниясе
compare,чагыштырыгыз
complete,тулы
condition,шарт
connect,тоташу
consider,карагыз
