english,malayalam
a,ഒരു
able,കഴിവുള്ള
about,കുറിച്ച്
above,മുകളിൽ
act,പ്രവർത്തി
add,ചേർക്കുക
afraid,ഭയപ്പെട്ടു
after,ശേഷം
again,വീണ്ടും
against,എതിരായി
age,പ്രായം
ago,മുന്പ്
agree,സമ്മതിക്കുക
air,എയർ
all,എല്ലാം
allow,അനുവദിക്കുക
also,പുറമേ
always,എല്ലായിപ്പോഴും
am,ആകുന്നു
among,കൂട്ടത്തില്
an,ഒരു
and,ഒപ്പം
anger,കോപം
animal,ജന്തു
answer,ഉത്തരം
any,എന്തെങ്കിലും
appear,ദൃശ്യമാകും
apple,ആപ്പിൾ
are,ഉണ്ട്
area,പ്രദേശം
arm,ഭുജം
arrange,കമീകരിക്കുക
arrive,എത്തും
art,കല
as,പോലെ
ask,ചോദിക്കുക
at,ഭൂതകാല
atom,പരമാണു
baby,ശിശു
back,തിരികെ
bad,ചീത്ത
ball,പന്ത്
band,കൂട്ടം
bank,ബാങ്ക്
bar,ബാർ
base,അടിത്തറ
basic,അടിസ്ഥാനപരമായ
bat,ബാറ്റ്
be,എന്നു
bear,കരടി
beat,അടി
beauty,സൗന്ദര്യം
bed,കിടക്ക
been,ഉണ്ടായിരുന്നതു
before,മുമ്പ്
began,തുടങ്ങി
begin,ആരംഭിക്കുന്നു
behind,പിന്നാലെ
believe,വിശ്വസിക്കുകയും
bell,മണി
best,മികച്ച
better,മെച്ചപ്പെട്ട
between,ഇടയില്
big,വലിയ
bird,പക്ഷി
bit,ബിറ്റ്
black,കറുത്ത
block,ബ്ലോക്ക്
blood,രക്തം
blow,അടിക്കുക
blue,നീല
board,പലക
boat,വള്ളം
body,ശരീരം
bone,അസ്ഥി
book,പുസ്തകം
born,ജനിച്ച
both,രണ്ടും
bottom,അടിത്തട്ട്
bought,വാങ്ങിയ
box,പെട്ടി
boy,കുട്ടി
branch,ശാഖ
bread,റൊട്ടി
break,ബ്രേക്ക്
bright,തിളങ്ങുന്ന
bring,കൊണ്ടുവരിക
broad,വിശാലമായ
broke,തകർത്തുകളഞ്ഞു
brother,സഹോദരൻ
brought,കൊണ്ടുവന്നു
brown,തവിട്ട്
build,പണിയുക
burn,കത്തിക്കുക
busy,തിരക്ക്
but,പക്ഷേ
buy,വാങ്ങുക
by,കൊണ്ട്
call,വിളി
came,വന്നു
camp,പാളയം
can,കഴിയും
capital,തലസ്ഥാനം
captain,നായകൻ
car,കാര്
card,കാർഡ്
care,സംരക്ഷണം
carry,കൊണ്ടുപോകും
case,കേസ്
cat,പൂച്ച
catch,പിടിക്കുക
caught,പിടിച്ചു
cause,കാരണം
cell,കോശം
cent,ശതമാനം
center,കേന്ദ്രം
century,നൂറ്റാണ്ട്
certain,ചില
chair,കസേര
chance,അവസരം
change,മാറ്റം
character,പ്രതീകം
charge,ചാർജ്ജ്
chart,ചാർട്ട്
check,പരിശോധന
chick,കൊഴി
chief,നേതാവ്
child,കുട്ടി
children,മക്കൾ
choose,തിരഞ്ഞെടുക്കുക
chord,ശബ്ദവലയം
circle,വലയം
city,നഗരം
claim,അവകാശം
class,ക്ലാസ്
clean,വെടിപ്പുള്ള
clear,തെളിഞ്ഞ
climb,കയറുക
clock,ഘടികാരം
close,അടയ്ക്കുക
clothe,ധരിപ്പിക്കും
cloud,മേഘം
coast,തീരം
coat,അങ്കി
cold,തണുത്ത
collect,ശേഖരിക്കുക
colony,കോളനി
color,നിറം
column,കോളം
come,വരിക
common,പൊതുവായ
company,സംഘം
compare,താരതമ്യം
complete,പൂർണ്ണമായ
condition,അവസ്ഥ
connect,കണക്ട്
consider,പരിഗണിക്കുക
consonant,വഞ്ജനാക്ഷരം
contain,അടങ്ങിയിട്ടുണ്ട്
continent,ഭൂഖണ്ഡം
continue,തുടരുക
control,നിയന്ത്രണം
cook,പാചകക്കാരന്
cool,അടിപൊളി
copy,പകര്പ്പ്
corn,ചോളം
corner,മൂല
correct,ശരിയായ
cost,വില
cotton,പരുത്തി
could,കഴിഞ്ഞില്ല
count,എണ്ണം
country,രാജ്യം
course,ഗതി
cover,മൂടി
cow,പശു
crease,ക്രീസിൽ
create,സൃഷ്ടിക്കുക
crop,വിളവ്
cross,കുരിശ്
crowd,കൂട്ടം
cry,നിലവിളി
current,നിലവിലെ
cut,മുറിക്കുക
dad,അച്ഛന്
dance,നൃത്തം
danger,അപായം
