english,tajik
a,як
able,тавонист
about,дар бораи
above,дар боло
act,амал
add,илова кардан
afraid,ҳаросон
after,баъд аз
again,аз нав
against,бар зидди
age,синну сол
ago,пеш
agree,розӣ шудан
air,ҳаво
all,ҳама
allow,имконият
also,ҳамчунин
always,ҳамеша
am,ҳастам
among,дар байни
an,як
and,ва
anger,хашми
animal,ҳайвон
answer,ҷавоби
any,ҳар як
appear,пайдо
apple,себ
are,доранд
area,майдон
arm,даст
arrange,тартиб
arrive,ташрифи
art,санъат
as,мисли
ask,пурсидан
at,дар
atom,атом
baby,кўдаки
back,бозгашт
bad,бад
ball,тӯб
band,банд
bank,бонк
bar,бар
base,база
basic,асосӣ
bat,бат
be,будан
bear,зимма
beat,задан
beauty,зебоӣ
bed,кат
been,шуд
before,пеш аз
began,сар
begin,оғоз
behind,қафо
believe,имон
bell,занги
best,беҳтарин
better,хубтар
between,миёни
big,калон
bird,парранда
bit,бита
black,сиёҳ
block,блок
blood,хун
blow,зарбаи
blue,кабуд
board,шӯрои
boat,қаиқ
body,бадан
bone,устухон
book,китоб
born,бон
both,ҳарду
bottom,дар қаъри
bought,харида
box,қуттии
boy,писарбача
branch,бахш
bread,нон
break,танаффус
bright,равшан
bring,меоварад
broad,васеъ
broke,вайрон
brother,бародари
brought,оварданд
brown,қаҳваранг
build,сохтан
burn,сӯзондан
busy,банд
but,аммо
buy,харидан
by,бо
call,занг задан
came,омад
camp,ӯрдугоҳ
can,метавонад
capital,пойтахт
captain,капитан
car,мошини
card,корт
care,нигоњубини
carry,анҷом
case,мавриди
cat,гурба
catch,сайд
caught,сайд
cause,сабаб
cell,ҳуҷайра
cent,фоиз
center,марказ
century,асри
certain,муайян
chair,кафедра
chance,имконият
change,иваз
character,характер
charge,пардохтро
chart,диаграммаи
check,тафтиш
chick,љуворимакка
chief,сардори
child,кӯдак
children,кӯдакон
choose,интихоб кардан
chord,аккорд
circle,давра
city,шаҳр
claim,даъво
class,синфи
clean,тоза
clear,равшан
climb,баромадан
clock,соат
close,наздик
clothe,либосашон
cloud,абр
coast,соҳили
coat,палто
cold,хунук
collect,ҷамъ
colony,колония
color,ранг
column,сутун
come,омад
common,умумӣ
company,ширкат
compare,нисбат ба
complete,пурра
condition,шароит
connect,пайваст кардан
consider,баррасӣ
consonant,мутаассифона
contain,дар бар гирад
continent,қитъа
continue,давом додан
control,идора
cook,кук
cool,хунук
copy,нусха
corn,ҷуворӣ
corner,гӯшаи
correct,дуруст
cost,арзиш
cotton,пахта
could,метавонад
count,шумурдан
country,кишвар
course,курс
cover,сарпӯши
cow,гов
crease,њад
create,сохтан
crop,кишт
cross,убур
crowd,издиҳом
cry,дуъояшон
current,ҷорӣ
cut,"набуред,"
dad,падар
dance,ращс
danger,хатар
dark,торик
day,рӯз
dead,мурда
deal,созишномаи
dear,азиз
death,марг
decide,қарор
decimal,даҳӣ
deep,чуқур
degree,дараҷаи
depend,вобаста аст
describe,тасвир кардан
desert,биёбон
design,лоиҳа
determine,муайян кардан
develop,инкишоф
dictionary,луғат
did,кард
die,мурдан
differ,фарқ
difficult,мураккаб
direct,бевосита
discuss,баррасии
distant,дур
divide,нобаробарии
division,воҳиди
do,кор
doctor,духтур
does,кунад
dog,саг
dollar,доллари
done,иҷро
don’t,накунед
door,дари
double,дучандон
down,поён
draw,кашидан
dream,орзу
dress,либос
drink,нӯшидан
drive,рондан
drop,тарки
dry,хушк
duck,мурғобӣ
during,дар муддати
each,ҳар як
ear,гӯш
early,барвақт
earth,замин
ease,осон
east,шарқ
eat,хӯрдан
