english,privacy_policy
a,un
able,capaz
about,acerca
above,por encima de
act,acto
add,añadir
afraid,miedo
after,después
again,de nuevo
against,contra
age,edad
ago,hace
agree,acuerdo
air,aire
all,todo
allow,permitir
also,también
always,siempre
am,am
among,entre
an,un
and,y
anger,cólera
animal,animal
answer,respuesta
any,cualquier
appear,aparecerá
apple,manzana
are,son
area,zona
arm,brazo
arrange,organizar
arrive,llegar
art,arte
as,como
ask,preguntar
at,en
atom,átomo
baby,bebé
back,espalda
bad,mal
ball,bola
band,banda
bank,banco
bar,barra
base,base de
basic,básico
bat,bate
be,ser
bear,soportar
beat,batir
beauty,belleza
bed,cama
been,estado
before,antes
began,comenzó
begin,comenzar
behind,detrás
believe,creer
bell,campana
best,mejor
better,mejor
between,entre
big,grande
bird,pájaro
bit,bit
black,negro
block,bloque
blood,sangre
blow,golpe
blue,azul
board,bordo
boat,barco
body,cuerpo
bone,hueso
book,libro
born,nacido
both,ambos
bottom,inferior
bought,comprado
box,caja
boy,niño
branch,rama
bread,pan
break,rotura
bright,brillante
bring,traer
broad,amplio
broke,rompió
brother,hermano
brought,traído
brown,marrón
build,construir
burn,quemar
busy,ocupado
but,pero
buy,comprar
by,por
call,llamada
came,vino
camp,campamento
can,lata
capital,de capital
captain,capitán
car,coche
card,tarjeta
care,cuidado
carry,llevar
case,caso
cat,gato
catch,capturas
caught,capturado
cause,causa
cell,celular
cent,ciento
center,centro
century,siglo
certain,cierto
chair,silla
chance,oportunidad
change,cambio
character,carácter
charge,cobrar
chart,tabla
check,comprobar
chick,polluelo
chief,jefe
child,niño
children,niños
choose,elegir
chord,acorde
circle,círculo
city,ciudad
claim,reclamación
class,clase
clean,limpia
clear,claro
climb,ascenso
clock,reloj
close,cerrar
clothe,vestir
cloud,nube
coast,costa
coat,abrigo
cold,frío
collect,recoger
colony,colonia
color,colores
column,columna
come,venir
common,común
company,empresa
compare,comparar
complete,completo
condition,condición
connect,conectar
consider,considerar
consonant,consonante
contain,contener
continent,continente
continue,continuar
control,el control
cook,cocinero
cool,fresco
copy,copia
corn,maíz
corner,esquina
correct,correcta
cost,costo
cotton,algodón
could,podía
count,contar
country,país
course,curso
cover,cubierta
cow,vaca
crease,pliegue
create,crear
crop,de cultivos
cross,cruzar
crowd,multitud
cry,grito
current,actual
cut,cortada
dad,papá
dance,danza
danger,peligro
dark,oscuro
day,día
dead,muerto
deal,acuerdo
dear,querido
death,muerte
decide,decidir
decimal,decimal
deep,profunda
degree,grado
depend,dependerá
describe,describir
desert,desierto
design,diseño
determine,determinar
develop,desarrollar
dictionary,diccionario
did,hizo
die,morir
differ,ser distinto
difficult,difícil
direct,directa
discuss,discutir
distant,distante
divide,brecha
division,división
do,hacer
doctor,médico
does,hace
dog,perro
dollar,dólar
done,hecho
don’t,no
door,puerta
double,doble
down,abajo
draw,dibujar
dream,soñar
dress,vestido
drink,bebida
drive,unidad
drop,caer
dry,seco
duck,pato
during,durante
each,cada
ear,oído
early,temprana
earth,tierra
ease,aliviar
east,al este
eat,comer
edge,borde
effect,efecto
egg,huevo
eight,ocho
either,ya sea
electric,eléctrica
element,elemento
else,demás
end,fin
