english,luxembourgish
a,eng
able,kënnen
about,iwwer
above,uewen
act,akt
add,derbäi
afraid,angscht
after,no
again,erëm
against,géint
age,alter
ago,ago
agree,averstanen
air,loft
all,all
allow,erlaben
also,och
always,ëmmer
am,auer
among,ënnert
an,eng
and,an
anger,roserei
animal,déier
answer,äntwert
any,all
appear,schéngen
apple,apel
are,sinn
area,beräich
arm,aarm
arrange,rendez
arrive,ukommen
art,konscht
as,wéi
ask,froen
at,op
atom,atom
baby,baby
back,zréck
bad,schlecht
ball,ball
band,band
bank,bank
bar,verhënnert
base,huel
basic,basis
bat,fliedermaus
be,ginn
bear,bier
beat,schloën
beauty,schéinheet
bed,bett
been,schonn
before,virum
began,ugefaang
begin,begin
behind,hannert
believe,gleewen
bell,klackespill
best,beschte
better,besser
between,tëschent
big,grouss
bird,vugel
bit,bëssen
black,schwaarz
block,blockéieren
blood,blutt
blow,nidderzeloossen
blue,blo
board,verwaltungsrot
boat,boot
body,kierper
bone,schanken
book,buch
born,gebuer
both,souwuel
bottom,ënnen
bought,kaaft
box,këscht
boy,boy
branch,sparten
bread,brout
break,ennerbriechung
bright,schéin
bring,bréngen
broad,wäitleefegen
broke,fräi
brother,brudder
brought,matbruecht
brown,brong
build,bauen
burn,ëmbruecht
busy,beschäftegt
but,mä
buy,kafen
by,vun
call,opruff
came,huet
camp,camp
can,kënnen
capital,haaptstad
captain,kapitän
car,auto
card,attack
care,ëm
carry,droen
case,fall
cat,cat
catch,verdreiwen
caught,séier
cause,doudesursaach
cell,zell
cent,cent
center,zentrum
century,joerhonnert
certain,bestëmmte
chair,presidence
chance,chance
change,änneren
character,charakter
charge,zoustänneg
chart,beräich
check,kontrolléieren
chick,schüler
chief,chef
child,kand
children,kanner
choose,decidéieren
chord,niwwelt
circle,krees
city,stad
claim,virgëtt
class,klass
clean,propper
clear,kloer
climb,erauszefuerderen
clock,auer
close,zoumaachen
clothe,unzedoe
cloud,wollek
coast,küst
coat,wope
cold,keelt
collect,sammelen
colony,kolonisatioun
color,faarf
column,kolonn
come,kommen
common,gemeinsam
company,firma
compare,vergläichen
complete,komplett
condition,zoustand
connect,konnektéieren
consider,betruecht
consonant,konsonant
contain,enthalen
continent,kontinent
continue,weider
control,kontroll
cook,kreéiert
cool,cool
copy,kopéieren
corn,feierblumm
corner,corner
correct,korrekt
cost,kascht
cotton,kotteng
could,konnt
count,grof
country,land
course,natierlech
cover,cover
cow,waaser
crease,crease
create,schafen
crop,boun
cross,kräiz
crowd,gedonnert
cry,kräisch
current,aktuell
cut,géigewier
dad,papp
dance,danz
danger,gefor
dark,däischter
day,dag
dead,dout
deal,bäigeléiert
dear,léiwe
death,doud
decide,decidéieren
decimal,dezimalzuel
deep,déif
degree,ofschloss
depend,ofhängeg
describe,beschreiwen
desert,wüst
design,design
determine,bestëmmen
develop,entwéckelen
dictionary,këscht
did,gemaach
die,stierwen
differ,ënnerscheeden
difficult,schwéier
direct,direkten
discuss,diskutéieren
distant,wäit
divide,gruef
