english,filipino
a,isang
able,magagawa
about,tungkol sa
above,sa itaas
act,kumilos
add,magdagdag
afraid,takot
after,pagkatapos
again,muli
against,laban
age,edad
ago,nakaraan
agree,sumasang-ayon
air,naka
all,lahat
allow,pumayag
also,ring
always,palagi
am,am
among,kasama ng
an,isang
and,at
anger,galit
animal,hayop
answer,sagot
any,anumang
appear,lumitaw
apple,mansanas
are,ay
area,lugar
arm,braso
arrange,mag-ayos
arrive,dumating
art,sining
as,bilang
ask,magtanong
at,sa
atom,atom
baby,sanggol
back,likod
bad,masama
ball,ball
band,band
bank,bangko
bar,bar
base,base
basic,pangunahing
bat,bat
be,maging
bear,madala
beat,matalo
beauty,beauty
bed,kama
been,naging
before,bago
began,sinimulan ni
begin,simulan
behind,sa likod ng
believe,maniwala
bell,kampanilya
best,pinakamahusay
better,mas mabuti
between,sa pagitan ng
big,malaki
bird,ibon
bit,bit
black,itim
block,bloke
blood,dugo
blow,pumutok
blue,asul
board,board
boat,bangka
body,katawan
bone,buto
book,aklat
born,isinilang
both,kapwa
bottom,ilalim
bought,bumili
box,kahon
boy,batang lalaki
branch,sangay
bread,tinapay
break,bakasyon
bright,maliwanag
bring,dalhin
broad,malawak
broke,sinira
brother,kapatid na lalaki
brought,nagdala
brown,kayumanggi
build,magtayo
burn,sumunog
busy,maraming ginagawa
but,ngunit
buy,bumili
by,sa pamamagitan ng
call,tawag
came,dumating
camp,kampo
can,maaari
capital,kapital
captain,kapitan
car,kotse
card,kard
care,pag-aalaga
carry,nagtitinda
case,kaso
cat,pusa
catch,catch
caught,nahuli
cause,dahilan
cell,cell
cent,sentimo
center,center
century,siglo
certain,tiyak
chair,silya
chance,pagkakataon
change,pagbabago
character,katangian
charge,sumingil
chart,tsart
check,suriin
chick,chick
chief,mahalaga sa lahat
child,anak
children,mga bata
choose,piliin
chord,chord
circle,lupon
city,lungsod
claim,ang claim
class,klase
clean,malinis
clear,malinaw
climb,umakyat
clock,orasan
close,malapit
clothe,damitan
cloud,cloud
coast,baybayin
coat,amerikana
cold,malamig
collect,mangolekta
colony,kolonya
color,kulay
column,haligi
come,dumating
common,karaniwan
company,kompanya
compare,ihambing
complete,kumpleto na ang
condition,kalagayan
connect,ikonekta
consider,isaalang-alang
consonant,katinig
contain,may
continent,kontinente
continue,magpatuloy
control,kontrol
cook,tagaluto
cool,malamig
copy,kopya
corn,mais
corner,sulok
correct,tama
cost,gastos
cotton,koton
could,ng dati
count,bilangin
country,bansa
course,siyempre
cover,pabalat
cow,baka
crease,crease
create,lumikha
crop,crop
cross,tumawid
crowd,karamihan ng tao
cry,sigaw
current,kasalukuyan
cut,hiwa
dad,ama
dance,sayaw
danger,panganib
dark,dark
day,araw
dead,patay
deal,deal
dear,mahal
death,kamatayan
decide,magpasiya
decimal,decimal
deep,malalim
degree,digri
depend,depende
describe,ilarawan
desert,disyerto
design,disenyo
determine,matukoy
develop,bumuo
dictionary,diksyunaryo
did,ginawa
die,mamatay
differ,mag-iba
difficult,mahirap
direct,direct
discuss,talakayin
distant,malayo
divide,hatiin
division,dibisyon
do,gawin
doctor,manggagamot
does,gumagana
dog,aso
dollar,dollar
done,tapos
don’t,hindi
door,pinto
double,double
down,pababa
draw,gumuhit
dream,mangarap
dress,damit
drink,inumin
drive,biyahe
drop,drop
dry,dry
duck,pato
during,sa panahon ng
each,bawat
ear,tainga
early,maagang
earth,lupa
ease,luwag
east,silangan
eat,kumain
edge,gilid
effect,epekto
egg,itlog
eight,walo
either,alinman sa
electric,de-kuryenteng
element,elemento
else,iba pa
end,pagtatapos
enemy,kaaway
energy,enerhiya
engine,engine
enough,sapat
enter,magpasok
equal,kapantay
equate,tutumbas
especially,lalo na
even,kahit na
evening,gabi
event,kaganapan
ever,kailanman
every,bawat
exact,eksaktong
example,halimbawa
except,maliban sa
excite,gumising
exercise,pagsasanay
expect,inaasahan
experience,karanasan
experiment,eksperimento
eye,mata
face,mukha
fact,katunayan
fair,makatarungan
fall,mahulog
family,pamilya
famous,sikat
far,malayo
farm,sakahan
fast,mabilis
fat,taba
father,ama
favor,paboran
fear,takot
feed,feed
feel,pakiramdam
feet,paa
fell,patumbahin
felt,pyeltro
few,ilan
field,patlang
fig,fig
fight,lumaban
figure,pigura
fill,punuin
final,panghuling
find,hanapin
fine,mainam
finger,daliri
finish,tapusin
fire,sunog
first,unang
fish,isda
fit,umangkop
five,lima
flat,flat
floor,palapag
flow,dumaloy
flower,bulaklak
fly,lumipad
follow,sundin
food,pagkain
foot,paa
for,para sa
force,puwersa
forest,gubat
form,paraan
forward,pasulong
found,natagpuan
four,apat
fraction,maliit na bahagi
free,libre
fresh,sariwa
friend,kaibigan
from,mula sa
front,front
fruit,prutas
full,ganap
fun,magsaya
game,laro
garden,hardin
gas,gas
gather,magtipon
gave,ibinigay
general,pangkalahatan
gentle,magiliw
get,kumuha
girl,batang babae
give,magbigay
glad,natutuwa
