english,marathi
a,एक
able,सक्षम
about,बद्दल
above,वरील
act,कायदा
add,जोडा
afraid,भयभीत
after,नंतर
again,पुन्हा
against,विरुद्ध
age,वय
ago,पूर्वी
agree,सहमत
air,हवा
all,सर्व
allow,परवानगी
also,देखील
always,नेहमी
am,आहे
among,दरम्यान
an,एक
and,आणि
anger,राग
animal,प्राणी
answer,उत्तर
any,कोणत्याही
appear,दिसतात
apple,सफरचंद
are,आहेत
area,क्षेत्र
arm,हाताने
arrange,व्यवस्था
arrive,पोहोचेल
art,कला
as,म्हणून
ask,विचारू
at,येथे
atom,अणू
baby,बाळ
back,परत
bad,वाईट
ball,बॉल
band,बँड
bank,बँक
bar,बार
base,बेस
basic,मूलभूत
bat,फलंदाजी
be,असू
bear,सहन
beat,विजय
beauty,सौंदर्य
bed,बेड
been,केले
before,आधी
began,सुरुवात
begin,सुरू
behind,मागे
believe,विश्वास
bell,घंटा
best,सर्वोत्तम
better,चांगले
between,दरम्यान
big,मोठा
bird,पक्षी
bit,बिट
black,काळा
block,ब्लॉक
blood,रक्त
blow,फोडून टाकणे
blue,निळा
board,बोर्ड
boat,बोट
body,शरीर
bone,हाड
book,पुस्तक
born,जन्मत:
both,दोन्ही
bottom,तळ
bought,खरेदी
box,बॉक्स
boy,मुलगा
branch,शाखा
bread,ब्रेड
break,खंड
bright,तेजस्वी
bring,आणणे
broad,ब्रॉड
broke,तोडले
brother,भाऊ
brought,आणले
brown,तपकिरी
build,तयार
burn,जाळणे
busy,व्यस्त
but,परंतु
buy,खरेदी
by,द्वारे
call,कॉल
came,आले
camp,छावणी
can,हे करू शकता
capital,भांडवल
captain,कर्णधार
car,कार
card,कार्ड
care,काळजी
carry,वाहून
case,केस
cat,मांजर
catch,पकडणे
caught,पकडले
cause,कारण
cell,सेल
cent,टक्के
center,केंद्र
century,शतक
certain,काही
chair,चेअर
chance,संधी
change,बदल
character,वर्ण
charge,शुल्क आकारू
chart,चार्ट
check,तपासा
chick,चिक
chief,मुख्य
child,मुलाला
children,मुले
choose,निवडा
chord,जीवा
circle,मंडळ
city,शहर
claim,हक्क
class,वर्ग
clean,स्वच्छ
clear,स्पष्ट
climb,चढाव
clock,घड्याळ
close,बंद
clothe,कपडे चढवणे
cloud,मेघ
coast,किनारपट्टी
coat,डगला
cold,थंड
collect,गोळा
colony,वसाहत
color,रंग
column,स्तंभ
come,येणे
common,सामान्य
company,कंपनी
compare,तुलना
complete,पूर्ण
condition,अट
connect,कनेक्ट
consider,विचार
consonant,जुळता
contain,असतात
continent,खंड
continue,पुढे चालू
control,नियंत्रण
cook,कूक
cool,थंड
copy,कॉपी
corn,कॉर्न
corner,कोपरा
correct,योग्य
cost,खर्च
cotton,कापूस
could,शक्य झाले
count,मोजणे
country,देश
course,अर्थात
cover,कव्हर
cow,गाय
crease,घडी
create,तयार
crop,पीक
cross,ओलांडू
crowd,जमाव
cry,मोठा विरोध
current,चालू
cut,कट
dad,बाबा
dance,नृत्य
danger,धोक्याची
dark,गडद
day,दिवस
dead,मृत
deal,करार
dear,प्रिय
death,मृत्यू
decide,निर्णय
decimal,दशांश
deep,खोल
degree,पदवी
depend,अवलंबून आहे
describe,वर्णन
desert,वाळवंट
design,डिझाइन
determine,निर्धारित
develop,विकसित
dictionary,शब्दकोश
did,केले
die,मरतात
differ,भिन्न
difficult,कठीण
direct,थेट
discuss,चर्चा
distant,"distant,"
divide,विभागणे
division,विभागणी
do,करू
doctor,डॉक्टर
does,नाही
dog,कुत्रा
dollar,डॉलर
done,काम झाले
don’t,करू नाही
door,दरवाजा
double,दुहेरी
down,खाली
draw,काढणे
dream,स्वप्न
dress,ड्रेस
drink,पेय
drive,ड्राइव्ह
drop,ड्रॉप
dry,कोरडा
duck,परतले
during,दरम्यान
each,प्रत्येक
ear,कान
early,लवकर
earth,पृथ्वी
ease,सुखसोयी
east,पूर्वेला
eat,खाणे
edge,धार
effect,परिणाम
egg,अंडी
eight,आठ
either,एकतर
electric,विद्युत
element,घटक
else,आणखी
end,शेवट
