english,myanmar_(burmese)
a,တစ်ဦး
able,နိုင်
about,အကွောငျး
above,အထက်
act,လုပ်ရပ်
add,ပေါင်း
afraid,ကြောက်လန့်
after,ပြီးနောက်
again,နောက်တဖန်အ
against,ဆန့်ကျင်
age,အသက်အရွယ်
ago,လွန်ခဲ့တဲ့
agree,သဘောတူ
air,လေ
all,အားလုံး
allow,ခွင့်ပြု
also,လည်း
always,အမြဲ
am,နံနက်
among,အနက်
an,တစ်ခု
and,နှင့်
anger,အမျက်ဒေါသ
animal,တိရစ္ဆာန်အ
answer,အဖြေ
any,မည်သည့်
appear,ပေါ်လာ
apple,ပန်းသီး
are,များမှာ
area,ဧရိယာ
arm,လက်
arrange,စီစဉ်
arrive,ရောက်လာ
art,အတတ်ပညာ
as,အဖြစ်
ask,မေးမြန်း
at,တွင်
atom,အက်တမ်
baby,ကလေး
back,ပြန်.
bad,ဆိုးသော
ball,အလုံး
band,တီးဝိုင်း
bank,ကမ်း
bar,bar မှာ
base,အခြေစိုက်စခန်း
basic,အခြေခံပညာ
bat,လင်းနို့
be,ဖြစ်
bear,ဝက်ဝံ
beat,ရိုက်
beauty,လှပမှု
bed,အိပ်ရာ
been,ဖြစ်
before,ရှေ့က
began,စတင်ခဲ့သည်
begin,အစ
behind,နောက်တွင်
believe,ယုံကြည်
bell,ခေါင်းလောင်း
best,အကောင်းဆုံး
better,ပိုကောင်း
between,အကြား
big,ကြီးမားသော
bird,ငှက်
bit,bit နဲ့
black,အနက်ရောင်
block,ပိတ်ဆို့
blood,သှေး
blow,ထိုးနှက်
blue,ပြာသော
board,ပျဉ်ပြား
boat,လှေ
body,ကိုယ်ခန္ဓာ
bone,အရိုး
book,စာအုပ်
born,မွေးဖွားလာ
both,နှစ်ဦးစလုံး
bottom,အောက်ခြေ
bought,ကိုဝယ်ယူ
box,သေတ္တာ
boy,လူကလေး
branch,အကိုင်း
bread,ပေါင်မုန့်
break,ချိုး
bright,ပြောင်လက်တောက်ပသော
bring,ယူလာ
broad,ကျယ်ပြန့်
broke,ချိုးဖဲ့
brother,အစ်ကို
brought,သို့ဆောင် ခဲ့.
brown,ညိုသော
build,တည်ဆောက်
burn,မီးလောင်
busy,အလုပ်ရှုပ်သည်
but,ဒါပေမဲ့
buy,မဝယ်
by,အားဖြင့်
call,ခေါ်ဝေါ်
came,လာကြ၏
camp,စခန်း
can,နိုင်
capital,မြို့တော်
captain,ကပ္ပတိန်
car,ကား
card,ကဒ်
care,ပြုစုစောင့်ရှောက်မှု
carry,သယ်
case,အမှု
cat,ကြောင်
catch,ဖမ်း
caught,ဖမ်းမိ
cause,အကွောငျး
cell,ကလာပ်စည်း
cent,ရာခိုင်
center,အလယ်ဗဟို
century,ရာစု
certain,အချို့
chair,ကုလားထိုင်
chance,အခွင့်အလမ်း
change,ပွောငျးလဲ
character,ဇာတ်ကောင်စရိုက်
charge,တာဝန်ခံ
chart,ဇယား
check,စစ်ဆေးခြင်း
chick,ယင်း
chief,ကာကွယ်ရေးဦးစီးချုပ်
child,ကလေး
children,ကလေးများ
choose,ရှေးခယျြ
chord,ကြိုး
circle,အဝိုင်း
city,မြို့
claim,တောင်းဆိုမှု
class,အမျိုးအစား
clean,သန့်ရှင်းသော
clear,ရှင်းလင်းသော
climb,တက်
clock,နာရီ
close,ပိတ်
clothe,အဝတ်နှင့်ဖုံးလွှမ်း
cloud,မိုဃ်းတိမ်သည်
coast,ပင်လယ်ကမ်း
coat,ကုတ်အင်္ကျီ
cold,အအေး
collect,စုဝေး
colony,ကိုလိုနီ
color,အရောင်
column,ကော်လံ
come,လာ
common,ဘုံ
company,ကုမ္ပဏီ
compare,နှိုင်းယှဉ်ကြည့်
complete,ပြည့်စုံသော
condition,အခြေအနေ
connect,ဆက်
consider,စဉ်းစားပါ
consonant,ဗျည်း
contain,ပါဝင်
continent,တိုက်
continue,ဆက်ပြီး
control,ထိန်းချုပ်မှု
cook,ချက်ပြုတ်
cool,အေးချမ်းသော
copy,မိတ္တူ
corn,ပြောင်းဖူး
corner,ထောင့်
correct,မှန်ကန်သော
cost,ကုန်ကျစရိတ်
cotton,ဝါ
could,နိုင်
count,ရေတွက်
country,ပြည်
course,သင်တန်း
cover,အဖုံး
cow,နွားမ
crease,တွန့်
create,ဖန်တီး
crop,အသီးအနှံ
cross,လက်ဝါးကပ်တိုင်
crowd,လူစုလူဝေး
cry,အော်ဟစ်
current,ယခု
cut,ဖြတ်
dad,အဖေ
dance,အကအခုန်
danger,အန္တရာယ်
dark,မှောင်မိုက်
day,နေ့
dead,သေသော
deal,စာချုပ်
dear,ချစ်လှစွာသော
death,သေဆုံးခြင်း
decide,ဆုံးဖြတ်
decimal,ဆယ်လီ
deep,နက်သော
degree,ဒီဂရီ
depend,မှီခို
describe,ဖေါ်ပြ
desert,သဲကန္တာရ
design,ပုံစံ
determine,သတ်မှတ်
develop,တိုးတက်
dictionary,အဘိဓါန်
did,ပြု.
die,သေဆုံး
differ,ကွဲပြားခြားနား
difficult,ခက်ခဲ
direct,ညွှန်ပြ
discuss,ဆွေးနွေး
distant,ဝေးကွာသော
divide,သွေးခွဲ
division,အချင်းချင်းကွဲပြားခြင်း
do,ပြုပါ
doctor,ဆရာဝန်
does,မ
dog,ခှေး
dollar,ဒေါ်လာစျေး
done,အဖေပြီးအောင်
don’t,မလုပ်ပါနှင့်
door,တံခါးပေါက်
double,ကို double
down,ဆင်း
draw,မဲ
dream,အိပ်မက်
dress,အဝတ်အစား
drink,သောက်စရာ
drive,မောင်း
drop,တစ်စက်
dry,ခြောက်သွေ့သော
duck,ဘဲ
during,စဉ်အတွင်း
each,တစ်ခုချင်းစီ
ear,နား
early,စောစော
earth,မြေကြီးပေါ်မှာ
ease,ငြိမ်ဝပ်စွာနေ
east,အရှေ့
eat,စား
edge,အစပ်
