english,bengali
a,একটি
able,সক্ষম
about,সম্পর্কে
above,উপরে
act,আইন
add,যোগ করা
afraid,ভয়
after,পরে
again,আবার
against,বিরুদ্ধে
age,বয়স
ago,আগে
agree,একমত
air,বায়ু
all,সব
allow,অনুমতি
also,এছাড়াও
always,সবসময়
am,অপরাহ্ন
among,মধ্যে
an,একটি
and,এবং
anger,রাগ
animal,পশু
answer,উত্তর
any,কোনো
appear,প্রদর্শিত
apple,আপেল
are,হয়
area,ক্ষেত্র
arm,হাত
arrange,ব্যবস্থা
arrive,পৌঁছা
art,শিল্প
as,হিসাবে
ask,জিজ্ঞাসা
at,এ
atom,পরমাণু
baby,শিশুর
back,ফিরে
bad,খারাপ
ball,বল
band,ব্যান্ড
bank,ব্যাংক
bar,বার
base,ঘাঁটি
basic,মৌলিক
bat,বাদুড়
be,হতে
bear,ভালুক
beat,বীট
beauty,সৌন্দর্য
bed,বিছানা
been,হয়েছে
before,আগে
began,শুরু
begin,শুরু
behind,পিছনে
believe,বিশ্বাস
bell,ঘণ্টা
best,সেরা
better,ভাল
between,মধ্যে
big,বড়
bird,পাখি
bit,কিছুক্ষণ
black,কালো
block,ব্লক
blood,রক্ত
blow,ঘা
blue,নীল
board,বোর্ড
boat,নৌকা
body,শরীর
bone,হাড়
book,বই
born,জন্ম
both,উভয়
bottom,নীচে
bought,কেনা
box,বক্স
boy,ছেলে
branch,শাখা
bread,রুটি
break,বিরতি
bright,উজ্জ্বল
bring,আনা
broad,বিস্তৃত
broke,ভেঙে
brother,ভাই
brought,উপনীত
brown,বাদামী
build,নির্মাণ
burn,বার্ন
busy,ব্যস্ত
but,কিন্তু
buy,কিনতে
by,দ্বারা
call,কল
came,আসেন
camp,শিবির
can,করতে পারেন
capital,রাজধানী
captain,অধিনায়ক
car,গাড়ী
card,কার্ড
care,যত্ন
carry,বহন
case,কেস
cat,বিড়াল
catch,ধরা
caught,ধরা
cause,কারণ
cell,সেল
cent,শতাংশ
center,কেন্দ্র
century,শতাব্দীর
certain,নির্দিষ্ট
chair,চেয়ার
chance,সুযোগ
change,পরিবর্তন
character,চরিত্র
charge,চার্জ
chart,চার্ট
check,চেক
chick,কুক্কুট
chief,প্রধান
child,শিশু
children,শিশু
choose,নির্বাচন
chord,জ্যা
circle,বৃত্ত
city,শহর
claim,দাবি
class,বর্গ
clean,পরিষ্কার
clear,স্পষ্ট
climb,আরোহনের
clock,ঘড়ি
close,বন্ধ
clothe,আবৃত করা
cloud,মেঘ
coast,উপকূল
coat,কোট
cold,ঠান্ডা
collect,সংগ্রহ করা
colony,উপনিবেশ
color,রঙ
column,কলাম
come,আসা
common,সাধারণ
company,কোম্পানি
compare,তুলনা
complete,সম্পূর্ণ
condition,শর্ত
connect,সংযোগ
consider,বিবেচনা করা
consonant,ব্যঞ্জনবর্ণ
contain,ধারণ
continent,মহাদেশ
continue,অবিরত
control,নিয়ন্ত্রণ
cook,রান্নাঘর
cool,শান্ত
copy,কপি
corn,ভূট্টা
corner,কোণ
correct,সঠিক
cost,খরচ
cotton,তুলা
could,পারা
count,গণনা
country,দেশ
course,মাঠ
cover,কভার
cow,গাভী
crease,ভাঁজ করা
create,তৈরি
crop,ফসল
cross,ক্রুশ
crowd,ভিড়
cry,কান্নাকাটি
current,বর্তমান
cut,কাটা
dad,বাবা
dance,নাচ
danger,বিপদ
dark,অন্ধকার
day,দিন
dead,মৃত
deal,লেনদেন
dear,দুর্মূল্য
death,মৃত্যুর
decide,স্থির করা
decimal,দশমিক
deep,গভীর
degree,ডিগ্রী
depend,নির্ভর করে
describe,বর্ণনা
desert,মরুভূমি
design,নকশা
determine,নির্ধারণ
develop,বিকাশ
dictionary,অভিধান
did,কি
die,মরা
differ,পৃথক
difficult,কঠিন
direct,সরাসরি
discuss,আলোচনা
distant,দূরবর্তী
divide,বিভক্ত করা
division,বিভাগ
do,কি
doctor,ডাক্তার
does,না
dog,কুকুর
dollar,ডলার
done,কাজ
don’t,না
door,দরজা
double,ডবল
down,নিচে
draw,আঁকা
dream,স্বপ্ন
dress,পোশাক
drink,পানীয়
drive,ড্রাইভ
drop,ঝরা
dry,শুষ্ক
duck,হাঁস
during,সময়
each,প্রতিটি
ear,কান
early,প্রথম
earth,পৃথিবী
ease,আরাম
east,পূর্ব
eat,খাওয়া
edge,প্রান্ত
effect,প্রভাব
egg,ডিম
eight,আট
either,হয়
electric,বৈদ্যুতিক
element,উপাদান
else,অন্য
end,শেষ
enemy,শত্রু
energy,শক্তি
engine,ইঞ্জিন
enough,যথেষ্ট
enter,প্রবেশ
equal,সমান
equate,সমীকরণ
especially,বিশেষ করে
even,এমনকি
evening,সন্ধ্যায়
event,ঘটনা
ever,কখনও
every,প্রতি
exact,সঠিক
example,উদাহরণ
except,ছাড়া
excite,জাগান
exercise,ব্যায়াম
expect,আশা করা
experience,অভিজ্ঞতা
experiment,পরীক্ষা
eye,চোখ
face,মুখ
fact,আসলে
fair,ন্যায্য
fall,পড়া
family,পরিবার
famous,বিখ্যাত
far,পর্যন্ত
farm,খামার
fast,দ্রুত
fat,চর্বি
father,বাবা
favor,আনুকূল্য
fear,ভয়
feed,ফিড
feel,মনে
feet,ফুট
fell,হিংস্র
felt,অনুভূত
few,কয়েক
field,ক্ষেত্র
fig,ডুমুর
fight,যুদ্ধ
figure,ব্যক্তিত্ব
fill,পূরণ
final,চূড়ান্ত
find,এটি
fine,জরিমানা
finger,আঙুল
finish,শেষ
