english,hausa
a,wani
able,iya
about,game da
above,a sama
act,yi
add,add
afraid,ji tsoro
after,bayan
again,kuma
against,da
age,shekaru
ago,ago
agree,yarda
air,air
all,duk
allow,ƙyale
also,"har ila yau,"
always,ko da yaushe
am,am
among,a tsakanin
an,wani
and,da kuma
anger,fushi
animal,animal
answer,amsar
any,wani
appear,bayyana
apple,apple
are,suna
area,area
arm,hannu
arrange,shirya
arrive,isa
art,art
as,kamar yadda
ask,tambaye
at,a
atom,zarra
baby,baby
back,baya
bad,mummunan
ball,ball
band,band
bank,bank
bar,bar
base,tushe
basic,na asali
bat,bat
be,zama
bear,kai
beat,ta doke
beauty,kyakkyawa
bed,gado
been,kasance
before,kafin
began,ya fara
begin,za a fara
behind,baya
believe,"yi ĩmãni,"
bell,kararrawa
best,mafi
better,mafi alhẽri
between,tsakanin
big,big
bird,tsuntsu
bit,bit
black,black
block,block
blood,jini
blow,duka
blue,blue
board,hukumar
boat,jirgin ruwa
body,jiki
bone,kashi
book,littafi
born,haifaffe
both,duka
bottom,kasa
bought,sayi
box,akwatin
boy,yaro
branch,reshe
bread,gurasa
break,fasa
bright,haske
bring,kawo
broad,m
broke,karya
brother,brother
brought,kawo
brown,launin ruwan kasa
build,gina
burn,ƙona
busy,aiki
but,amma
buy,buy
by,by
call,kira
came,ya zo
camp,sansanin
can,iya
capital,babban birnin kasar
captain,kyaftin
car,car
card,sim
care,kula
carry,kawo
case,case
cat,cat
catch,kama
caught,kama
cause,sabili
cell,cell
cent,dari
center,cibiyar
century,karni
certain,wasu
chair,kujera
chance,dama
change,canji
character,character
charge,cajin
chart,ginshiƙi
check,duba
chick,chick
chief,shugaba
child,yaro
children,yara
choose,za i
chord,tsirkiya
circle,da’irar
city,city
claim,da’awar
class,class
clean,mai tsabta
clear,clear
climb,hau
clock,agogo
close,close
clothe,sa
cloud,girgije
coast,coast
coat,gashi
cold,sanyi
collect,tattara
colony,mallaka
color,launi
column,shafi
come,zo
common,na kowa
company,company
compare,kwatanta
complete,complete
condition,yanayin
connect,connect
consider,duba
consonant,baƙi
contain,dauke da
continent,nahiyar
continue,ci gaba
control,kula da
cook,dafa
cool,sanyi
copy,kofi
corn,masara
corner,kusurwa
correct,daidai
cost,cost
cotton,auduga
could,iya
count,count
country,country
course,hakika
cover,cover
cow,saniya
crease,crease
create,ƙirƙirar
crop,amfanin gona
cross,kuros
crowd,taron
cry,kira
current,yanzu
cut,yanke
dad,baba
dance,dance
danger,hadari
dark,dark
day,rana
dead,matattu
deal,da yawa
dear,masoyi
death,mutuwa
decide,yanke shawara
decimal,gidan goma
deep,zurfi
degree,digiri
depend,dogara
describe,bayyana
desert,hamada
design,zane
determine,ƙayyade
develop,ci gaba
dictionary,dictionary
did,ya yi
die,mutu
differ,bambanta
difficult,wuya
direct,kai tsaye
discuss,tattaunawa
distant,m
divide,raba
division,division
do,yi
doctor,likita
does,ya aikata
dog,kare
dollar,dollar
done,aka yi
don’t,kar ka
door,kofa
double,biyu
down,down
draw,zana
dream,mafarki
dress,dress
drink,sha
drive,tuƙa
drop,drop
dry,bushe
duck,duck
during,a lokacin
each,kowace
ear,kunnen
early,da wuri
earth,duniya
ease,’yanci
east,east
eat,ku ci
edge,baki
effect,sakamako
egg,kwai
eight,takwas
either,ko dai
electric,lantarki
element,kashi
else,kuma
end,karshen
enemy,maƙiyi
energy,makamashi
engine,engine
enough,isa
enter,shigar
equal,daidai
equate,danganta
especially,musamman
even,ko da
evening,maraice
event,taron
ever,taba
every,kowane
exact,exact
example,misali
except,sai dai
excite,ta da hankali
exercise,motsa jiki
expect,sa ran
experience,kwarewa
experiment,gwaji
eye,ido
face,face
fact,gaskiya
fair,gaskiya
fall,fada
family,iyali
famous,shahara
far,far
farm,farm
fast,sauri
fat,mai
father,uba
favor,yarda
fear,tsoro
feed,feed
feel,ji
feet,feet
fell,fadi
felt,ji
few,’yan
field,filin
fig,fig
fight,yaki
figure,adadi
fill,cika
final,karshe
find,samu
fine,lafiya
finger,yatsa
finish,gama
fire,wuta
first,na farko
fish,kifi
fit,shige
five,biyar
flat,lebur
floor,bene
flow,daga ƙarƙashinsu
flower,fure
fly,tashi
follow,bin
food,abinci
foot,kafa
for,domin
force,karfi
forest,gandun daji
form,form
forward,gaba
found,samu
four,hudu
fraction,murabba’i
free,yantacce
fresh,sabo
friend,aboki
from,daga
front,gaba
fruit,’ya’yan itace
full,full
fun,abin dariya
game,game
garden,gonar
gas,gas
gather,tara
gave,ya ba
general,general
gentle,m
get,samu
girl,girl
give,ba
glad,murna
glass,gilashi
go,je
gold,zinariya
gone,tafi
good,mai kyau
got,samu
govern,mallaki
grand,babban
grass,ciyawa
gray,launin toka
great,mai girma
green,kore
grew,girma
ground,kasa
group,tara
grow,girma
guess,tsammani
guide,shiryar da
gun,gun
had,da
hair,gashi
half,rabin
hand,hannu
happen,faru
happy,murna
hard,wuya
has,yana da
hat,hat
have,da
he,ya
head,kai
hear,ji
heard,ji
heart,zuciya
heat,zafi
heavy,nauyi
held,yunƙurin
help,taimaka
her,ta
here,nan
high,high
hill,hill
him,shi
his,da
history,history
hit,hit
hold,ka riƙe
hole,rami
home,gida
hope,fata
horse,doki
hot,zafi
hour,hour
house,house
how,yadda
huge,babbar
human,mutum
hundred,da ɗari
hunt,farauta
hurry,hanzarta
i,ina
ice,kankara
idea,ra’ayin
if,idan
imagine,kwatanta
in,a
inch,inch
include,sun hada da
indicate,nuna
industry,masana’antu
insect,kwaro
instant,nan take
instrument,kayan aiki
interest,amfani
invent,ƙirƙira
iron,baƙin ƙarfe
is,ne
island,tsibirin
it,shi
job,job
join,shiga
joy,farin ciki
jump,yi tsalle
just,kawai
keep,ci gaba
kept,sa
key,key
kill,kashe
kind,irin
king,sarkin
knew,sani
know,sani
lady,lady
lake,lake
land,ƙasar
language,harshe
large,babban
last,na karshe
late,marigayi
laugh,yi dariya
law,shari’a
lay,sa
lead,kai
learn,koyi
least,kalla
leave,bar
led,ya jagoranci
left,bar
leg,kafa
length,tsawon
less,kasa
let,bari
letter,wasika
level,matakin
lie,ƙarya
life,rayuwa
lift,daga
light,haske
like,kamar
line,line
liquid,ruwa
list,list
listen,listen
little,kadan
live,rayuwa
locate,gano wuri
log,log
lone,lone
long,yaushe
look,duba
lost,rasa
lot,yawa
loud,m
love,soyayya
low,low
machine,inji
made,ya yi
magnet,maganadisu
main,main
major,manyan
make,sa
man,mutum
many,da yawa
map,map
mark,mark
market,kasuwa
mass,taro
master,master
match,wasa
material,material
matter,al’amarin
may,may
me,ni
mean,nufi
meant,nufi
measure,auna
meat,nama
meet,sadu da
melody,karin waƙa
men,mutane
metal,karfe
method,hanyar
middle,tsakiya
might,cikakken mulki
mile,mile
milk,madara
million,da miliyan
mind,hankali
mine,mine
minute,minti daya
miss,kuskure
mix,mix
modern,na zamani
molecule,kwayoyin
moment,lokacin
money,kudi
month,watan
moon,moon
more,more
morning,da safe
most,mafi
mother,uwar
motion,motsi
mount,dutsen
mountain,dutse
mouth,bakin
move,tafi
much,da yawa
multiply,ninka
music,music
must,tilas
my,my
name,sunan
nation,jama’a
natural,halitta
nature,yanayin
near,kusa da
necessary,wajibi
neck,wuyansa
need,bukata
neighbor,makwabcin
never,taba
new,new
next,na gaba
night,dare
nine,tara
no,babu
noise,amo
noon,karkatar rana
nor,kuma bã
north,north
nose,hanci
note,bayanin kula
nothing,kome ba
notice,sanarwa
noun,suna
now,yanzu
number,lambar
numeral,adadi
object,abu
observe,tsayar
occur,faruwa
ocean,teku
of,daga
off,kashe
offer,tayin
office,office
often,sau da yawa
oh,oh
oil,man
old,da haihuwa
on,a kan
