english,sinhala
a,වූ
able,හැකි
about,ගැන
above,ඉහත
act,පනත
add,එකතු
afraid,බිය
after,පසු
again,නැවත
against,එරෙහිව
age,වයස අවුරුදු
ago,පෙර
agree,එකඟ
air,ගුවන්
all,සියලු
allow,ඉඩ
also,ද
always,සෑම විටම
am,am
among,අතර
an,ක
and,හා
anger,කෝපය
animal,සත්ව
answer,පිළිතුර
any,ඕනෑම
appear,පෙනී
apple,ඇපල්
are,ඇත
area,ප්රදේශයේ
arm,අත
arrange,සූදානම්
arrive,පැමිණීමට
art,කලා
as,ලෙස
ask,අහන්න
at,දී
atom,පරමාණුවක්
baby,බබා
back,ආපසු
bad,නරක
ball,ක්රීඞා
band,සංගීත කණ්ඩායම
bank,බැංකු
bar,තීරුව
base,පදනම
basic,මූලික
bat,පන්දුවට පහර දුන්
be,විය
bear,වලසා
beat,ගුටි
beauty,රූපලාවන්ය
bed,ඇඳ
been,වී
before,පෙර
began,ආරම්භ
begin,ආරම්භය
behind,පිටුපස
believe,විශ්වාස
bell,සීනුව
best,හොඳම
better,වඩා හොඳ
between,අතර
big,විශාල
bird,පක්ෂි
bit,ටිකක්
black,කළු
block,දරන ඉඩම් ෙකොටස්ෙලස ෙපන්නුම් ෙකොට ඇත්තා
blood,ලේ
blow,පහරක්
blue,නිල්
board,මණ්ඩලය
boat,බෝට්ටු
body,ශරීරය
bone,අස්ථි
book,පොත
born,උපත
both,දෙකම
bottom,පහළ
bought,මිලදී ගත්
box,කොටුව
boy,පිරිමි ළමයා
branch,ශාඛා
bread,පාන්
break,විවේකයක්
bright,දීප්තිමත්
bring,ගෙන ඒමට
broad,පුළුල්
broke,කඩා
brother,සහෝදරයා
brought,ගෙන එන
brown,දුඹුරු
build,ඉදි
burn,පිළිස්සුම්
busy,කාර්යබහුල
but,නමුත්
buy,මිලදී
by,විසින්
call,ඇමතුම්
came,පැමිණි
camp,කඳවුරේ
can,පුළුවන්
capital,ප්රාග්ධන
captain,නායක
car,මෝටර් රථ
card,කාඩ්
care,සත්කාර
carry,රැගෙන
case,නඩුව
cat,බළලා
catch,අතට උඩ පන්දුවක්
caught,අල්ලා
cause,හේතුව
cell,සෛල
cent,සියයට
center,මධ්යස්ථානයක්
century,සියවසේ
certain,ඇතැම්
chair,පුටුවක්
chance,අවස්ථාවක්
change,වෙනස්
character,චරිත
charge,භාර
chart,සටහන
check,චෙක්පත
chick,කෑල්ල
chief,ප්රධාන
child,ළමා
children,දරුවන්
choose,තෝරා
chord,හැඟීම් ඇවිස්සුවේ
circle,රවුම
city,නගරය
claim,හිමිකම
class,පන්ති
clean,පිරිසිදු
clear,පැහැදිලි
climb,ක්ලයිම්බ්
clock,ඔරලෝසුව
close,සමීප
clothe,ඇදුම්
cloud,වලාකුළක්
coast,වෙරළ
coat,කබාය
cold,සීතල
collect,එකතු
colony,යටත් විජිතයක්
color,වර්ණ
column,තීරුව
come,පැමිණ
common,පොදු
company,සමාගම
compare,සංසන්දනය
complete,සම්පූර්ණ
condition,තත්ත්වය
connect,සම්බන්ධ
consider,සලකා
consonant,යෙදෙන ව්යාංජනාක්ෂර
contain,අඩංගු
continent,මහාද්වීපය
continue,දිගටම
control,පාලනය
cook,කුක්
cool,සිසිල්
copy,පිටපතක්
corn,ඉරිඟු
corner,කෙළවරේ
correct,නිවැරදි
cost,පිරිවැය
cotton,කපු
could,හැකි
count,ගණන්
country,රට
course,පාඨමාලාව
cover,ආවරණය
cow,ගව
crease,තණතීරුව
create,නිර්මාණය
crop,බෝග
cross,හරස්
crowd,සමූහයා
cry,ගැස්මට
current,වත්මන්
cut,සැපයුම අත්හිටුවන
dad,තාත්තා
dance,නැටුම්
danger,අනතුර
dark,අඳුරු
day,දින
dead,මිය ගිය
deal,ගනුදෙනුව
dear,ආදරණීය
death,මරණය
decide,තීරණය
decimal,දශම
deep,ගැඹුරු
degree,උපාධිය
depend,රඳා පවතී
describe,විස්තර
desert,කාන්තාර
design,නිර්මාණ
determine,තීරණය
develop,සංවර්ධනය
dictionary,ශබ්ද කෝෂය
did,කළා
die,මිය
differ,වෙනස්
difficult,දුෂ්කර
direct,සෘජු
discuss,සාකච්ඡා
distant,ඈත
divide,බෙදීම්
division,අංශය
do,කරන්න
doctor,වෛද්යවරයා
does,කරන්නේ
dog,බල්ලා
dollar,ඩොලර්
done,සිදු
don’t,නෑ
door,දොර
double,ද්විත්ව
down,වසා
draw,දිනුම් ඇදීම
dream,සිහිනය
dress,ඇඳුම
drink,බීම
drive,තැටිය
drop,පහත
dry,වියළි
duck,තාරාවා
during,තුළ
each,එක් එක්
ear,කණ
early,මුල්
earth,පොළොව
ease,පහසුවෙන්
east,නැගෙනහිර
eat,කන්න
edge,වෝටර්ස් එජ්
effect,ක්රියාත්මක
egg,බිත්තර
eight,අට
either,එක්කෝ
electric,විදුලි
element,මූලද්රව්යය
else,වෙන
end,අවසානය
enemy,සතුරා
energy,බලශක්ති
engine,එන්ජිම
enough,ඇති
enter,ඇතුළු
equal,සමාන
equate,සමාන
especially,විශේෂයෙන්
even,පවා
evening,සවස
event,උත්සවය
ever,මෙතෙක්
every,සෑම
exact,හරියටම
example,උදාහරණයක්
except,හැර
excite,උද්දීපනය
exercise,ව්යායාම
expect,බලාපොරොත්තු
experience,අත්දැකීම්
experiment,අත්හදා බැලීම
eye,ඇස
face,මුහුණ
fact,ඇත්ත
fair,සාධාරණ
fall,වැටීම
family,පවුලේ
famous,ප්රසිද්ධ
far,දුර
farm,ගොවිපල
fast,වේගයෙන්
fat,මේදය
father,පියා
favor,පක්ෂව
fear,බිය
feed,ආහාර
feel,හිතෙනවා
feet,අඩි
fell,රැයකින්
felt,දැනුණේ
few,කිහිපයක්
field,ක්ෂේත්රයේ
fig,රූපය
fight,සටන
figure,චරිතයක්
fill,පිරවීම
final,අවසන්
find,සොයා
fine,දඩ
finger,ඇඟිල්ල
finish,නිමි
fire,ගිනි
first,පළමු
fish,මාළු
fit,සුදුසු
five,පස්
flat,පැතලි
floor,බිම
flow,ප්රවාහය
flower,මල්
fly,පියාසර තහනම්
follow,අනුගමනය
food,ආහාර
foot,අඩි
for,සඳහා
force,බලය
forest,වනාන්තර
form,ආකෘති පත්රය
forward,ඉදිරියට
found,සොයා
four,හතර
fraction,භාගය
free,නිදහස්
fresh,නැවුම්
friend,මිතුරා
from,සිට
front,ඉදිරිපස
fruit,පළතුරු
full,පූර්ණ
fun,විනෝද
game,ක්රීඩාව
garden,වත්ත
gas,ගෑස්
gather,රැස්
gave,දුන්
general,පොදු
gentle,මෘදු
get,ලබා
girl,දැරිය
give,දෙන්න
glad,සතුටු
glass,වීදුරු
go,යන්න
gold,රන්
gone,ගිහින්
good,හොඳ
got,වී
govern,පාලනය
grand,මහා
grass,තෘණ
gray,අළු
great,මහා
green,හරිත
grew,වර්ධනය වී
ground,බිම
group,පිරිසක්
grow,වර්ධනය
guess,අනුමානය
guide,guide
gun,තුවක්කුවක්
had,තිබූ
hair,කෙස්
half,අර්ධ
hand,අත
happen,සිදු
happy,සතුටු
hard,වෙහෙස මහන්සි වී
has,ඇත
hat,තොප්පිය
have,ඇති
he,ඔහු
head,හිස
hear,සවන්
heard,අසා
heart,හදවත
heat,තාපය
heavy,බර
held,පැවති
help,උදව්
her,ඇය
here,මෙතැන
high,ඉහළ
hill,කඳු
him,ඔහු
his,ඔහුගේ
history,ඉතිහාසය
hit,ඝාතකයා
hold,පැවැත්වීමට
hole,කුහරය
home,මුල් පිටුව
hope,බලාපොරොත්තුව
horse,අශ්වයා
hot,උණුසුම්
hour,පැය
house,නිවසක්
how,කොහොමද
huge,විශාල
human,මානව
hundred,සියයක්
hunt,දඩයම
hurry,කඩිමුඩියේ
i,මම
ice,අයිස්
idea,අදහස
if,නම්
imagine,හිතාගන්න
in,දී
inch,අඟල්
include,ඇතුළත්
indicate,සඳහන්
industry,කර්මාන්තය
insect,කෘමි
instant,ක්ෂණික
instrument,මෙවලමක්
interest,පොලී
invent,නිර්මාණය
iron,යකඩ
is,වේ
island,දිවයින
it,එය
job,රැකියා
join,එක්වන
