english,russian
a,основной
able,состоянии
about,о
above,выше
act,акт
add,добавлять
afraid,боится
after,после
again,снова
against,против
age,возраст
ago,назад
agree,соглашаться
air,воздух
all,все
allow,позволять
also,также
always,всегда
am,утра
among,среди
an,назад
and,и
anger,гнев
animal,животных
answer,ответ
any,любой
appear,появляются
apple,яблоко
are,являются
area,площадь
arm,рука
arrange,организовать
arrive,приходим
art,искусство
as,как
ask,спросите
at,в
atom,атом
baby,ребенок
back,назад
bad,плохо
ball,мяч
band,полоса
bank,банк
bar,бар
base,база
basic,основной
bat,летучая мышь
be,быть
bear,нести
beat,бить
beauty,красота
bed,кровать
been,был
before,до
began,начал
begin,начать
behind,за
believe,верить
bell,колокол
best,лучше
better,лучше
between,между
big,большой
bird,птица
bit,немного
black,черный
block,блок
blood,кровь
blow,удар
blue,синий
board,доска
boat,лодка
body,тело
bone,кость
book,книга
born,родившийся
both,как
bottom,снизу
bought,купленный
box,коробка
boy,мальчик
branch,филиал
bread,хлеб
break,перерыв
bright,яркий
bring,приносить
broad,широкий
broke,сломал
brother,брат
brought,принес
brown,коричневый
build,строить
burn,сжечь
busy,занято
but,но
buy,купить
by,по
call,вызов
came,пришел
camp,лагерь
can,может
capital,капитал
captain,капитан
car,автомобиль
card,карта
care,уход
carry,нести
case,дело
cat,кошка
catch,улов
caught,пойманный
cause,причиной
cell,клеток
cent,цент
center,центр
century,век
certain,уверен
chair,стул
chance,шанс
change,изменение
character,характер
charge,взимать
chart,диаграмма
check,проверять
chick,цыпленок
chief,главный
child,ребенок
children,дети
choose,выбирать
chord,аккорд
circle,круг
city,город
claim,претензии
class,класс
clean,чистый
clear,ясно
climb,подъем
clock,часы
close,близко
clothe,одевать
cloud,облако
coast,побережье
coat,пальто
cold,холодный
collect,собирать
colony,колония
color,цвет
column,колонка
come,приходят
common,общая
company,компания
compare,сравнить
complete,полная
condition,состояние
connect,подключать
consider,рассматривать
consonant,согласный
contain,содержать
continent,континент
continue,продолжать
control,контроль
cook,повар
cool,круто
copy,копия
corn,кукуруза
corner,угол
correct,верный
cost,стоимость
cotton,хлопок
could,мог
count,считать
country,страна
course,курс
cover,крышка
cow,корова
crease,складка
create,создавать
crop,урожай
cross,пересекают
crowd,толпа
cry,крик
current,ток
cut,вырезать
dad,папа
dance,танец
danger,опасность
dark,темно
day,день
dead,мертвый
deal,сделка
dear,дорогой
death,смерть
decide,решать
decimal,десятичной
deep,глубоко
degree,степень
depend,зависеть
describe,описывать
desert,пустыня
design,дизайн
determine,определять
develop,развивать
dictionary,словарь
did,сделал
die,умереть
differ,отличаются
difficult,трудный
direct,прямой
discuss,обсуждать
distant,удаленная
divide,разделяй
division,деление
do,сделать
doctor,врач
does,делает
dog,собака
dollar,доллар
done,сделано
don’t,не
door,дверь
double,двойной
down,вниз
draw,привлечь
dream,мечтать
dress,платье
drink,напиток
drive,привод
drop,падение
dry,сухой
duck,утка
during,во
each,каждый
ear,ухо
early,рано
earth,земля
ease,легкость
east,восток
eat,есть
edge,край
effect,эффект
egg,яйцо
eight,восемь
either,или
electric,электрический
element,элемент
else,еще
end,конец
enemy,враг
energy,энергия
engine,двигатель
enough,достаточно
enter,введите
equal,равный
equate,приравнять
especially,особенно
even,даже
evening,вечер
event,мероприятие
ever,когда-либо
every,каждый
exact,точный
example,пример
except,кроме
excite,возбуждать
exercise,упражнение
expect,ожидать
experience,опыт
experiment,эксперимент
eye,глаз
face,лицо
fact,факт
fair,ярмарка
fall,падать
family,семья
