english,hmong
a,ib tug
able,muaj cuab kav
about,txog
above,saum toj no
act,act
add,ntxiv
afraid,ntshai
after,tom qab
again,dua
against,tawm tsam
age,muaj hnub nyoog
ago,dhau los
agree,pom zoo
air,cua
all,tag nrho cov
allow,cia
also,kuj
always,yeej ib txwm
am,yog
among,cov
an,ib
and,thiab
anger,txoj kev chim siab
animal,tsiaj
answer,lus teb
any,tej
appear,tshwm
apple,kua
are,yog
area,cheeb tsam
arm,caj npab
arrange,kho
arrive,tuaj txog
art,kos duab
as,raws li
ask,nug
at,ntawm
atom,atom
baby,tus me nyuam
back,rov qab
bad,phem
ball,pob
band,band
bank,bank
bar,bar
base,paus
basic,yooj yim
bat,ntaus pob
be,yuav
bear,ua tim
beat,beat
beauty,kev zoo nkauj
bed,txaj
been,tau
before,ua ntej
began,pib
begin,pib
behind,qab
believe,ntseeg
bell,tswb
best,zoo tshaj plaws
better,zoo dua
between,nruab nrab ntawm
big,loj
bird,noog
bit,me ntsis
black,dub
block,block
blood,ntshav
blow,tshuab
blue,xiav
board,rooj tswjhwm saib
boat,nkoj
body,lub cev
bone,pob txha
book,phau ntawv
born,yug
both,ob
bottom,hauv qab
bought,yuav
box,lub thawv
boy,me nyuam tub
branch,ceg ntseeg tus
bread,cij
break,so
bright,kaj
bring,coj
broad,broad
broke,tsoo
brother,tus kwv tij
brought,coj
brown,xim av
build,tsim
burn,hlawv
busy,tibneeg hu tauj coob
but,tab sis
buy,yuav
by,los ntawm
call,hu
came,tuaj
camp,yeej thoj nam
can,tau
capital,peev
captain,nom
car,tsheb
card,card
care,kev saib xyuas
carry,nqa
case,cov ntaub ntawv
cat,miv
catch,catch
caught,ntes tau
cause,ua
cell,cell
cent,xees
center,chaw
century,xyoo pua
certain,tej yam
chair,lub rooj zaum
chance,lub caij nyoog
change,kev hloov
character,cim
charge,them
chart,daim ntawv
check,xyuas
chick,qaib
chief,hmoob
child,tus me nyuam
children,cov me nyuam
choose,xaiv
chord,chord
circle,vajvoog
city,nroog
claim,daim ntawv thov
class,chav kawm ntawv
clean,huv si
clear,ntshiab
climb,nce lub roob
clock,moos
close,ze
clothe,hnav khaub ncaws
cloud,huab
coast,ntug dej hiav txwv
coat,tsho tiv no
cold,txias
collect,sau
colony,colony
color,xim nqaij daim tawv
column,kem
come,tuaj
common,ntau
company,lub tuam txhab
compare,piv
complete,tiav
condition,mob
connect,txuas
consider,xav txog
consonant,tus tsiaj ntawv
contain,muaj
continent,teb chaws
continue,mus ntxiv
control,tswj
cook,ua noj
cool,txias
copy,daim ntawv luam
corn,pob kws
corner,ces kaum
correct,tseeb
cost,nqi
cotton,paj rwb
could,ua
count,suav
country,lub teb chaws
course,cov hoob kawm
cover,cover
cow,nyuj
crease,crease
create,tsim
crop,qoob loo
cross,hla
crowd,neeg coob coob
cry,quaj
current,tam sim no
cut,txiav
dad,txiv
dance,seev cev
danger,txaus ntshai
dark,tsaus
day,hnub
dead,tuag
deal,deal
dear,nyob zoo
death,tuag
decide,txiav txim siab
decimal,zauv
deep,sib sib zog nqus
degree,degree
depend,nyob ntawm seb
describe,piav qhia txog
desert,suab puam
design,tsim
determine,txiav txim
develop,tsim
dictionary,phau ntawv txhais lus
did,puas tau
die,tuag
differ,txawv
difficult,nyuaj
direct,ncaj qha
discuss,sib tham txog
distant,nyob deb
divide,cais
division,division
do,ua
doctor,tus kws kho mob
does,puas
dog,aub
dollar,duas
done,ua
don’t,ua tsis tau
door,qhov rooj
double,ob
down,down
draw,kos
dream,kev npau suav
dress,hnav ris tsho
drink,haus dej
drive,tsav
drop,poob
dry,qhuav
duck,os
during,thaum lub sij hawm
each,txhua
ear,pob ntseg
early,thaum ntxov
earth,lub ntiaj teb
ease,tsis
east,sab hnub tuaj
eat,noj
edge,ntug
effect,nyhuv
egg,qe
eight,yim
either,tog twg los
electric,hluav taws xob
element,keeb
else,lwm tus neeg
end,kawg
enemy,yeeb ncuab
energy,zog
engine,cav
enough,txaus
enter,nkag mus
equal,sib npaug zos
equate,equate
especially,tshwj xeeb tshaj yog
even,txawm
evening,thaum yav tsaus ntuj
event,kev tshwm sim
ever,puas tau
every,txhua txhua
exact,kos
example,piv txwv li
except,tsuas yog
