english,italian
a,un
able,in grado di
about,circa
above,sopra
act,atto
add,aggiungere
afraid,impaurito
after,dopo
again,di nuovo
against,contro
age,età
ago,fa
agree,concordare
air,aria
all,tutto
allow,consentire
also,anche
always,sempre
am,am
among,tra
an,un
and,e
anger,rabbia
animal,animale
answer,risposta
any,qualsiasi
appear,apparire
apple,mela
are,sono
area,area
arm,braccio
arrange,organizzare
arrive,arrivare
art,arte
as,come
ask,chiedere
at,a
atom,atomo
baby,bambino
back,indietro
bad,male
ball,palla
band,banda
bank,banca
bar,bar
base,base
basic,di base
bat,pipistrello
be,essere
bear,sopportare
beat,battere
beauty,bellezza
bed,letto
been,stato
before,prima
began,ha iniziato
begin,inizio
behind,dietro
believe,credere
bell,campana
best,migliore
better,meglio
between,fra
big,grande
bird,uccello
bit,bit
black,nero
block,blocco
blood,sangue
blow,colpo
blue,blu
board,pensione
boat,barca
body,corpo
bone,osso
book,libro
born,nascita
both,entrambi
bottom,fondo
bought,comprato
box,scatola
boy,ragazzo
branch,ramo
bread,pane
break,pausa
bright,luminoso
bring,portare
broad,ampio
broke,rotto
brother,fratello
brought,portato
brown,marrone
build,costruire
burn,bruciare
busy,occupato
but,ma
buy,acquistare
by,da
call,chiamata
came,è venuto
camp,campo
can,lattina
capital,capitale
captain,capitano
car,auto
card,scheda
care,cura
carry,portare
case,caso
cat,gatto
catch,prendere
caught,catturato
cause,causa
cell,cella
cent,cent
center,centro
century,secolo
certain,certo
chair,sedia
chance,possibilità
change,cambiamento
character,carattere
charge,carica
chart,grafico
check,controllare
chick,pulcino
chief,capo
child,bambino
children,bambini
choose,scegliere
chord,accordo
circle,cerchio
city,città
claim,richiesta
class,classe
clean,pulito
clear,chiaro
climb,salita
clock,orologio
close,close
clothe,vestire
cloud,nube
coast,costa
coat,cappotto
cold,freddo
collect,raccogliere
colony,colonia
color,colore
column,colonna
come,venire
common,comune
company,azienda
compare,confrontare
complete,integrale
condition,condizione
connect,collegare
consider,considerare
consonant,consonante
contain,contenere
continent,continente
continue,continuare
control,controllo
cook,cuoco
cool,fresco
copy,copia
corn,mais
corner,angolo
correct,corretto
cost,costo
cotton,cotone
could,potuto
count,contare
country,paese
course,corso
cover,copertura
cow,mucca
crease,piega
create,creare
crop,raccolto
cross,attraversare
crowd,folla
cry,grido
current,corrente
cut,taglio
dad,papà
dance,danza
danger,pericolo
dark,scuro
day,giorno
dead,morto
deal,affare
dear,caro
death,morte
decide,decidere
decimal,decimale
deep,profondità
degree,grado
depend,dipendere
describe,descrivere
desert,deserto
design,design
determine,determinare
develop,sviluppare
dictionary,dizionario
did,ha fatto
die,morire
differ,differire
difficult,difficile
direct,diretto
discuss,discutere
distant,lontano
divide,divide
division,divisione
do,fare
doctor,medico
does,fa
dog,cane
dollar,dollaro
done,done
don’t,non
door,porta
double,doppio
down,giù
draw,disegnare
dream,sognare
dress,vestito
drink,bevanda
drive,unità
drop,cadere
dry,asciutto
duck,anatra
during,durante
each,ogni
ear,orecchio
early,presto
earth,terra
ease,alleviare
east,est
eat,mangiare
edge,bordo
effect,effetto
egg,uovo
eight,otto
either,o
electric,elettrico
element,elemento
else,altro
end,fine
enemy,nemico
energy,energia
engine,motore
enough,abbastanza
enter,inserire
equal,pari
equate,uguagliare
especially,particolarmente
even,anche
evening,sera
event,evento
ever,mai
every,ogni
exact,esatto
example,esempio
except,tranne
excite,eccitare
exercise,esercizio
expect,aspettare
experience,esperienza
experiment,esperimento
eye,occhio
face,volto
fact,fatto
fair,fiera
fall,cadere
family,famiglia
famous,famoso
far,lontano
farm,fattoria
fast,veloce
fat,grasso
father,padre
favor,favorire
fear,paura
feed,alimentazione
feel,sentire
feet,piedi
fell,caduto
felt,feltro
few,pochi
field,campo
fig,fico
fight,lotta
figure,figura
fill,riempire
final,finale
find,trovare
fine,fine
finger,dito
finish,finitura
fire,fuoco
first,primo
fish,pesce
fit,adattarsi
five,cinque
flat,appartamento
floor,piano
flow,flusso
flower,fiore
fly,volare
follow,seguire
food,cibo
foot,piede
for,per
force,vigore
forest,foresta
form,forma
forward,avanti
found,fondare
four,quattro
fraction,frazione
free,gratuito
fresh,fresco
friend,amico
from,da
front,frontale
fruit,frutta
full,completo
fun,divertimento
game,gioco
garden,giardino
gas,gas
gather,raccogliere
gave,ha dato
general,generale
gentle,dolce
get,ottenere
girl,ragazza
give,dare
glad,felice
glass,vetro
go,andare
gold,oro
gone,gone
good,buono
got,ottenuto
govern,governare
grand,grande
grass,erba
gray,grigio
great,grande
green,verde
grew,è cresciuto
ground,terra
group,gruppo
grow,crescere
guess,indovinare
guide,guidare
gun,pistola
had,aveva
hair,capelli
half,metà
hand,mano
happen,accadere
happy,felice
hard,difficile
has,ha
hat,cappello
have,avere
he,lui
head,testa
hear,sentire
heard,sentito
heart,cuore
heat,calore
heavy,pesante
held,tenuto
help,aiutare
her,lei
here,qui
high,alto
hill,collina
him,lui
his,il suo
history,storia
hit,colpire
hold,tenere
hole,foro
home,casa
hope,speranza
horse,cavallo
hot,caldo
hour,ora
house,casa
how,come
huge,enorme
human,umano
hundred,cento
hunt,caccia
hurry,fretta
i,io
ice,ghiaccio
idea,idea
if,se
imagine,immaginare
in,in
inch,pollice
include,includere
indicate,indicare
industry,industria
insect,insetto
instant,immediato
instrument,strumento
interest,interesse
invent,inventare
iron,ferro
is,è
island,isola
it,esso
job,lavoro
join,aderire
joy,gioia
jump,salto
just,solo
keep,mantenere
kept,tenere
key,chiave
kill,uccidere
kind,tipo
king,re
knew,sapeva
know,sapere
lady,signora
lake,lago
land,terra
language,lingua
large,grande
last,ultimo
late,tardi
laugh,ridere
law,legge
lay,porre
lead,portare
learn,imparare
least,meno
leave,lasciare
led,portato
left,sinistra
leg,gamba
length,lunghezza
less,meno
let,lasciare
letter,lettera
level,livello
lie,bugia
life,vita
lift,ascensore
light,luce
like,come
line,linea
liquid,liquido
list,elenco
listen,ascoltare
little,poco
live,vivere
locate,individuare
log,log
lone,solitario
long,lungo
look,guardare
lost,perso
lot,lotto
loud,forte
love,amore
low,basso
machine,macchina
made,fatto
magnet,magnete
main,principale
major,maggiore
make,rendere
man,uomo
many,molti
map,mappa
mark,marchio
market,mercato
mass,massa
master,master
match,partita
material,materiale
matter,materia
may,può
me,me
mean,dire
meant,significava
measure,misurare
meat,carne
meet,si incontrano
melody,melodia
men,maschi
metal,metallo
method,metodo
middle,mezzo
might,forza
mile,miglio
milk,latte
million,milione
mind,mente
mine,miniera
minute,minuto
miss,perdere
mix,mescolare
modern,moderno
molecule,molecola
moment,momento
money,soldi
month,mese
moon,luna
more,di più
morning,mattina
most,più
mother,madre
motion,moto
mount,monte
mountain,montagna
mouth,bocca
move,spostare
much,molto
multiply,moltiplicare
music,musica
must,mosto
my,il mio
name,nome
nation,nazione
natural,naturale
nature,natura
near,vicino
necessary,necessario
neck,collo
need,bisogno
neighbor,prossimo
never,mai
new,nuovo
next,prossimo
night,notte
nine,nove
no,no
noise,rumore
noon,mezzogiorno
nor,né
north,nord
nose,naso
note,nota
nothing,niente
notice,avviso
noun,sostantivo
now,ora
number,numero
numeral,numerale
object,oggetto
observe,osservare
occur,verificarsi
ocean,oceano
of,di
off,spento
offer,offerta
office,ufficio
often,spesso
oh,oh
