english,maori
a,a
able,taea
about,e pā ana ki
above,i runga
act,mahi
add,tāpiri i
afraid,wehi
after,i muri i
again,ano
against,ki
age,tau
ago,i ma’iri a’e nei
agree,whakaae
air,hau
all,katoa
allow,tukua
also,hoki
always,tonu
am,ahau
among,i roto i
an,he
and,ka
anger,riri
animal,kararehe
answer,ka whakahoki
any,tetahi
appear,puta
apple,aporo
are,ko
area,rohe
arm,ringa
arrange,whakarite
arrive,tae
art,koe
as,rite
ask,ui
at,i
atom,ngota
baby,te tamaiti
back,hoki
bad,kino
ball,pōro i
band,pēne
bank,pēke
bar,pae
base,turanga
basic,taketake
bat,pekapeka
be,kia
bear,e mau
beat,whiua
beauty,ataahua
bed,moenga
been,kua
before,i mua i
began,ka timata
begin,timata
behind,ki muri
believe,te whakapono
bell,pere
best,pai
better,pai
between,i waenganui i
big,nui
bird,manu
bit,moka
black,mangu
block,poraka
blood,toto
blow,pupuhi
blue,puru
board,poari
boat,kaipuke
body,tinana
bone,wheua
book,pukapuka
born,matamua
both,e rua
bottom,raro
bought,hokona
box,pouaka
boy,tamaiti
branch,peka
bread,taro
break,break
bright,kanapa
bring,kawea
broad,whanui
broke,whawhati
brother,teina
brought,kawea
brown,parauri
build,hanga
burn,tahu
busy,pukumahi
but,engari
buy,hoko
by,by
call,karanga
came,haere mai
camp,puni
can,taea e
capital,whakapaipai
captain,rangatira
car,motokā
card,kāri
care,tiaki
carry,kawe
case,take
cat,ngeru
catch,hao
caught,mau
cause,take
cell,pūtau
cent,ōrau
center,te pokapū
century,rau
certain,etahi
chair,heamana
chance,tupono
change,huringa
character,pūāhua
charge,he ki atu tenei
chart,tūtohi
check,taki
chick,pīpī
chief,rangatira
child,tamaiti
children,tamariki
choose,te whiriwhiri
chord,chord
circle,porowhita
city,pa
claim,kerēme
class,te piha
clean,ma
clear,mārama
climb,piki
clock,karaka
close,tata
clothe,e kakahu ana io
cloud,kapua
coast,rohe
coat,koti
cold,matao
collect,kohikohi
colony,koroni
color,te tae
column,tīwae
come,haere mai
common,noa
company,kamupene
compare,whakatairite i
complete,oti
condition,huru
connect,hono
consider,whakaaro
consonant,orokati
contain,kei roto i
continent,fenua
continue,tonu
control,mana
cook,tuari
cool,hauhautanga
copy,tārua
corn,witi
corner,kokonga
correct,tika
cost,utu
cotton,miro
could,taea
count,tatau
country,whenua
course,akoranga
cover,cover
cow,kau
crease,pae
create,te waihanga
crop,hua
cross,whakawhiti
crowd,mano
cry,karanga
current,o nāianei
cut,tapahia
dad,dad
dance,kanikani
danger,mōrearea
dark,pouri
day,ra
dead,mate
deal,mahi
dear,aroha
death,te mate
decide,whakatau
decimal,ira
deep,hohonu
degree,tohu
depend,whakawhirinaki
describe,whakaahua
desert,koraha
design,hoahoa
determine,whakatau
develop,whakawhanake
dictionary,papakupu
did,i mea ai
die,mate
differ,rerekē
difficult,uaua
direct,tika
discuss,te matapaki i
distant,tawhiti
divide,wehenga
division,te wehenga
do,te mahi
doctor,tākuta
does,meatia e
dog,kuri
dollar,tāra
done,mea ai
don’t,te mahi e kore e
door,tatau
double,rua
down,ki raro
draw,te utu
dream,moe
dress,kākahu
drink,inu
drive,puku
drop,maturuturu
dry,maroke
duck,pārera
during,i roto i
each,ia
ear,taringa
early,wawe
earth,te whenua
ease,mamatanga
east,rawhiti
eat,kai
edge,mata
effect,pānga
egg,hua
eight,e waru
either,rānei
electric,hiko
element,huānga
else,atu
end,mutunga
enemy,hoariri
energy,pūngao
engine,pūkaha
enough,nui
enter,tomo
equal,rite
equate,whakaōrite i
especially,rawa
even,ara
evening,ahiahi
event,takahanga
ever,ake
every,nga
exact,tangohia
example,tauira
except,ki te kahore
excite,tokomauri
exercise,mahi
expect,e ti’aturi
experience,wheako
experiment,whakamātau
eye,kanohi
face,kanohi
fact,meka
fair,ataahua
fall,hinga
family,whānau
famous,rongonui
far,tawhiti
farm,pāmu
fast,nohopuku
fat,te ngako
father,papa
favor,kia paingia
fear,wehi
feed,kai
feel,ite
feet,waewae
fell,hinga
felt,ua
few,torutoru
field,mara
fig,piki
fight,whawhai
figure,ahua
fill,whakakiia e
final,whakamutunga
find,kitea
fine,pai
finger,maihao
finish,whakaoti
fire,te ahi
first,tuatahi
fish,ika
fit,uru
five,e rima
flat,flat
floor,papa
flow,rere
flower,puawai
fly,rere
follow,te whai
food,kai
foot,waewae
for,hoki
force,kaha
forest,ngahere
form,puka
forward,whakamua
found,kitea
four,e wha
fraction,hautanga
free,noa
fresh,hou
friend,hoa
from,mei
front,mua
fruit,hua
full,tonu
fun,pārekareka
game,game
garden,kari
gas,hau
gather,kohikohi
gave,i hoatu
general,whānui
gentle,ngawari
get,whiwhi
girl,kotiro
give,hoatu
glad,koa
glass,karaihe
go,haere
gold,koura
gone,riro
good,pai
got,ka
govern,faatere i
grand,rahi
grass,tarutaru
gray,hina
great,nui
green,matomato
grew,tupu
ground,whenua
group,rōpū
grow,tupu
guess,imi i
guide,te ārahi i
gun,pū
had,ia
hair,makawe
half,hawhe
hand,ringa
happen,tupu
happy,hari
hard,pakeke
has,he
hat,pōtae
have,e
he,e ia
head,upoko
hear,rongo
heard,rongo
heart,ngakau
heat,wera
heavy,taimaha
held,pūpuri
help,tauturu i te
her,ia
here,i konei
high,tiketike
hill,pukepuke
him,ia ia
his,tona
history,hītori
hit,patua
hold,mau
hole,rua
home,te kāinga
hope,te ti’aturi nei
horse,hoiho
hot,wera
hour,haora
house,whare
how,pehea
huge,nui
human,tangata
hundred,rau
hunt,whaiwhai
hurry,hohoro
i,ahau
ice,te huka
idea,whakaaro
if,ki te
imagine,whakaaro
in,i roto i te
inch,inihi
include,ngā
indicate,tohu
industry,ahumahi
insect,pepeke
instant,tonu
instrument,taputapu
interest,pānga
invent,whakaaroa
iron,rino
is,ko te
island,motu
it,reira
job,mahi
join,amui atu
joy,hari
jump,peke
just,tika
keep,kia mau
kept,pupuri
key,matua
kill,te whakamate
kind,atawhai
king,te kingi
knew,i mohio
know,e mohio ana
lady,wahine
lake,roto
land,te whenua
language,te reo
large,nui
last,whakamutunga
late,te mutunga
laugh,i kata
law,te ture
lay,takoto
lead,arahi
learn,ako
least,te iti rawa
leave,waiho
led,arahina
left,mahue
leg,waewae
length,roa
less,iti iho
let,kia
letter,reta
level,taumata
lie,teka
life,ora
lift,ararewa
light,te marama
like,rite
line,raina
liquid,wai
list,rārangi
listen,whakarongo
little,iti
live,ora
locate,te kimi
log,takiuru
lone,ana’e
long,roa
look,titiro
lost,ngaro
lot,rota
loud,nui
love,aroha
low,iti
machine,mihini
made,hanga
magnet,ovahine
main,matua
major,matua
make,hanga
man,te tangata
many,maha
map,map
mark,tohu
market,mākete
mass,papatipu
master,ariki
match,ōrite
material,rauemi
matter,mea
may,kia
me,ahau
mean,te tikanga
meant,te auraa
measure,whanganga
meat,kai
meet,hui
melody,e waiata ana
men,tangata
metal,whakarewa
method,tikanga
middle,waenganui
might,te kaha
mile,mile
milk,te waiu
million,miriona
mind,whakaaro
mine,oku
minute,meneti
miss,pahemo
mix,uru
modern,hou
molecule,muingota
moment,taime
money,moni
month,marama
moon,marama
more,atu
morning,ata
most,te nuinga
mother,whaea
motion,motini
mount,maunga
mountain,maunga
mouth,mangai
move,nekehanga
much,nui
multiply,kia tini
music,waiata
must,me
my,toku
name,ingoa
nation,iwi
natural,māori
nature,āhua
near,tata
necessary,e tika ana
neck,kaki
need,me
neighbor,hoa
never,kore
new,hou
next,i muri
night,te po
nine,e iwa
no,kahore
noise,haruru
noon,te poutumarotanga
nor,e kore
north,ki te raki
nose,ihu
note,tuhipoka
nothing,kahore
notice,pānui
noun,noun
now,i teie nei
number,te tau
numeral,whika
object,ahanoa
observe,puritia e
occur,puta
ocean,moana
of,o
off,atu
offer,tuku
office,tari
often,maha
oh,oh
oil,hinu
old,tau
on,runga i
once,kotahi
one,kotahi
only,anake
open,tuwhera
operate,whakahaere
opposite,te ritenga atu
or,ranei
order,kia
organ,whēkau
original,taketake
other,atu
our,to tatou
out,i roto i
over,ki runga
own,ake
oxygen,hāora
page,whārangi
paint,peita
pair,takirua
paper,pepa
paragraph,kōwae
parent,matua
part,wāhanga
particular,ngā
party,rōpū
pass,haere
past,mua
path,ara
pattern,tauira
pay,aufau i te
people,te iwi
perhaps,pea
period,wā
person,tangata
phrase,kīanga
pick,tangohia
picture,pikitia
piece,wahi
pitch,te ware
place,wahi
plain,mania
plan,mahere
plane,plane
planet,ao
plant,te tipu
play,te tākaro
please,tēnā
plural,vahine
poem,ruri
point,tata
poor,rawakore
populate,huri
port,tauranga
pose,tūpono
position,tūnga
possible,taea
post,pou
pound,pauna
power,mana
practice,mahi
prepare,te faaineine
present,reira
press,press
pretty,pretty
print,tā
probable,pea
problem,raruraru
process,tukanga
produce,te whakaputa
product,hua
proper,tika
property,rawa
protect,te tiaki
prove,hei whakamatautau
provide,whakarato
pull,hutia
push,pana
put,maka
quart,hine
question,pātai
quick,tere
quiet,ata
quite,tino
quotient,huawehe
race,iwi
radio,reo irirangi
rail,whakakorekore mo
rain,ua
raise,whakaara
ran,rere
range,ngā tūmomo
rather,kaua
reach,tae
read,tai’o
ready,rite
real,tūturu
reason,take
receive,ia farii i
record,record
red,whero
region,rohe
remember,mahara
repeat,tukurua
reply,whakautu
represent,tohu
require,e rapu
rest,era atu
result,hua
rich,taonga
ride,tere
right,matau
ring,mowhiti
rise,whakatika
river,te awa
road,te ara
rock,toka
roll,pukapuka
room,ruma
root,pakiaka
rope,taura
rose,whakatika
round,tawhio
row,rarangi
rub,te horoitanga i
rule,tikanga
run,oma
safe,haumaru
said,mea
sail,rere
salt,tote
same,taua
sand,onepu
sat,rahoroi
save,whakaora
saw,kite
say,mea
scale,tauine
school,te kura
science,pūtaiao
score,kaute
sea,te moana
search,rapu
season,wa
seat,nohoanga
second,tuarua
section,wāhanga
see,kite
seed,uri
seem,te mea
segment,wāhanga
select,tīpako
self,whaiaro
sell,hoko
send,tukua atu
sense,tikanga
sent,ka tonoa
sentence,rerenga kōrero
separate,wehe
serve,e mahi
set,huinga
settle,whakatau
seven,e whitu
several,e rave rahi
shall,ka
shape,hanga
share,share
sharp,koi
she,ia
sheet,whārangi
shell,anga
shine,whiti
ship,kaipuke
shoe,hu
shop,toa
shore,uta
short,poto
should,kia
shoulder,pokohiwi
shout,hamama
show,whakaatu
side,taha
sight,titiro
sign,tohu
silent,puku
silver,hiriwa
similar,rite
simple,simple
since,mai
sing,waiata
single,kotahi
sister,tuahine
sit,noho
six,e ono
size,rahi
skill,pūkenga
skin,kiri
sky,rangi
slave,pononga
sleep,moe
slip,pepa
