english,frisian
a,in
able,steat
about,oer
above,boppe
act,handeling
add,add
afraid,bang
after,efter
again,wer
against,tsjin
age,leeftyd
ago,lyn
agree,oerienkomme
air,loft
all,alle
allow,talitte
also,ek
always,altyd
am,bin
among,ûnder
an,an
and,en
anger,lilkens
animal,bist
answer,antwurd
any,elk
appear,skine
apple,appel
are,binne
area,krite
arm,earm
arrange,arrange
arrive,oankomme
art,keunst
as,as
ask,freegje
at,by
atom,atoom
baby,poppe
back,efter
bad,min
ball,bal
band,band
bank,bank
bar,bar
base,basis
basic,basic
bat,bat
be,wêze
bear,bear
beat,slaan
beauty,skientme
bed,bêd
been,west
before,foar
began,begûn
begin,begjinne
behind,efter
believe,leauwe
bell,bel
best,bêst
better,better
between,tusken
big,grut
bird,fûgel
bit,bit
black,swart
block,blok
blood,bloed
blow,blaze
blue,blau
board,board
boat,boat
body,lichem
bone,bonke
book,boek
born,berne
both,beide
bottom,boaiem
bought,kocht
box,doaze
boy,jonge
branch,tûke
bread,bôle
break,brekke
bright,helder
bring,bringe
broad,breed
broke,bruts
brother,broer
brought,brocht
brown,brún
build,bouwe
burn,burn
busy,drok
but,mar
buy,keapje
by,troch
call,belje
came,kaam
camp,kamp
can,kinne
capital,haadstêd
captain,kaptein
car,auto
card,kaart
care,soarch
carry,drage
case,rjochtsaak
cat,kat
catch,fange
caught,fongen
cause,oarsaak
cell,sel
cent,sint
center,sintrum
century,ieu
certain,beskaat
chair,stoel
chance,kâns
change,feroaring
character,personaazje
charge,kosten
chart,chart
check,kontrôle
chick,chick
chief,haad
child,bern
children,bern
choose,kieze
chord,akkoard
circle,sirkel
city,stêd
claim,eask
class,klasse
clean,skjin
clear,opklearje
climb,klim
clock,klok
close,slute
clothe,bekleden
cloud,wolk
coast,kust
coat,jas
cold,kâld
collect,sammelje
colony,koloanje
color,kleur
column,pylder
come,komme
common,gewoan
company,bedriuw
compare,ferlykje
complete,kompleet
condition,betingst
connect,ferbine
consider,beskôgje
consonant,consonant
contain,befetsje
continent,kontinint
continue,trochgean
control,kontrolearje
cook,kok
cool,koel
copy,kopy
corn,nôt
corner,hoeke
correct,korrekt
cost,kosten
cotton,katoen
could,koe
count,telle
country,lân
course,ferrin
cover,cover
cow,ko
crease,crease
create,meitsje
crop,crop
cross,krús
crowd,kliber
cry,gûle
current,aktueel
cut,snije
dad,heit
dance,dûnsje
danger,gefaar
dark,tsjuster
day,dei
dead,dea
deal,oerienkomst
dear,dear
death,dea
decide,beslute
decimal,desimaal
deep,djip
degree,graad
depend,ôfhinklik
describe,beskriuwe
desert,woastyn
design,ûntwerp
determine,bepale
develop,ûntwikkelje
dictionary,wurdboek
did,die
die,stjerre
differ,ferskille
difficult,dreech
direct,direkt
discuss,diskusjearje
distant,fier
divide,ferdiele
division,ferdieling
do,dwaan
doctor,dokter
does,docht
dog,hûn
dollar,dollar
done,klear
don’t,do net
door,doar
double,dûbel
down,omleech
draw,draw
dream,dream
dress,jurk
drink,drinke
drive,ride
drop,falle
dry,droech
duck,duck
during,tidens
each,elk
ear,ear
early,betiid
earth,ierde
ease,gemak
east,east
eat,ite
edge,edge
effect,effekt
egg,aai
eight,acht
either,itsij
electric,elektrysk
element,elemint
else,oars
end,ein
enemy,fijân
energy,enerzjy
engine,motor
enough,genôch
enter,yngean
equal,lyk
equate,definiearje
especially,foaral
even,sels
evening,jûn
event,barren
ever,ea
every,elk
exact,eksakt
example,foarbyld
except,útsein
excite,excite
exercise,oefenje
expect,ferwachtsje
experience,ûnderfining
experiment,eksperimint
eye,each
face,gesicht
fact,feit
fair,earlik
fall,falle
family,famylje
famous,ferneamd
far,fier
farm,pleats
fast,fluch
fat,fet
father,heit
favor,geunst
fear,bangens
feed,feed
feel,fiele
feet,fuotten
fell,foel
felt,fiele
few,stikmannich
field,fjild
fig,fig
fight,fjochtsje
figure,stal
fill,folje
final,lêste
find,fine
fine,moai
finger,finger
finish,ein
fire,fjoer
first,earste
fish,fisk
fit,passe
five,fiif
flat,flet
floor,flier
flow,streame
flower,blom
fly,fleane
follow,folgje
food,iten
foot,foet
for,foar
force,krêft
forest,wâld
form,foarm
forward,foarút
found,fûn
four,fjouwer
fraction,fraksje
free,frij
fresh,farsk
friend,freon
from,fan
front,front
fruit,fruit
full,fol
fun,wille
game,wedstriid
garden,tún
gas,gas
gather,gather
gave,joech
general,algemien
gentle,sêfte
get,krije
girl,meisje
give,jaan
glad,bliid
glass,glês
go,gean
gold,goud
gone,gone
good,goed
