english,lithuanian
a,grožis
able,sugebėti
about,apie
above,aukščiau
act,aktas
add,pridėti
afraid,bijau
after,po
again,vėl
against,prieš
age,amžius
ago,prieš
agree,susitarti
air,oro
all,visi
allow,leisti
also,taip pat
always,visada
am,pm
among,tarp
an,
and,ir
anger,pyktis
animal,gyvūnas
answer,atsakymas
any,bet koks
appear,pasirodyti
apple,obuolių
are,yra
area,plotas
arm,ranka
arrange,susitarti
arrive,atvykti
art,menas
as,kaip
ask,paklausti
at,pradėjo
atom,atomas
baby,kūdikis
back,atgal
bad,blogas
ball,kamuoliukas
band,grupė
bank,bankas
bar,baras
base,bazė
basic,pagrindinis
bat,bat
be,būti
bear,būti
beat,įveikti
beauty,grožis
bed,lova
been,buvo
before,prieš
began,pradėjo
begin,pradėti
behind,už
believe,tikėti
bell,varpas
best,geriausias
better,geriau
between,tarp
big,didelis
bird,paukštis
bit,tiek
black,juodas
block,blokas
blood,kraujo
blow,smūgis
blue,mėlynas
board,lenta
boat,valtis
body,kūnas
bone,kaulas
book,knyga
born,gimė
both,abu
bottom,apačia
bought,nusipirkau
box,dėžutė
boy,berniukas
branch,filialas
bread,duona
break,pertrauka
bright,šviesus
bring,atnešti
broad,platus
broke,sumušė
brother,brolis
brought,atnešė
brown,rudi
build,statyti
burn,deginti
busy,užimtas
but,tačiau
buy,pirkti
by,pagal
call,kvietimas
came,atėjo
camp,stovykla
can,galima
capital,kapitalas
captain,kapitonas
car,automobilių
card,kortelė
care,priežiūra
carry,vykdyti
case,atveju
cat,katė
catch,laimikis
caught,sugauti
cause,priežastis
cell,ląstelė
cent,centas
center,centras
century,amžius
certain,tikras
chair,kėdė
chance,tikimybė
change,pokytis
character,charakteris
charge,imti
chart,schema
check,patikrinti
chick,jauniklį
chief,vyriausiasis
child,vaikas
children,vaikai
choose,pasirinkti
chord,styga
circle,ratas
city,miestas
claim,reikalavimas
class,klasė
clean,švarus
clear,"aišku,"
climb,lipti
clock,laikrodis
close,arti
clothe,aprengti
cloud,debesis
coast,pakrantė
coat,kailis
cold,šaltas
collect,rinkti
colony,kolonija
color,spalva
column,stulpelis
come,ateiti
common,bendras
company,įmonė
compare,palyginti
complete,pilnas
condition,sąlyga
connect,prisijungti
consider,apsvarstyti
consonant,priebalsis
contain,būti
continent,žemynas
continue,toliau
control,valdymas
cook,virėjas
cool,kietas
copy,kopija
corn,kukurūzai
corner,kampas
correct,teisingas
cost,kaina
cotton,medvilnės
could,galėtų
count,skaičiuoti
country,šalis
course,žinoma
cover,dangtis
cow,karvė
crease,raukšlėtis
create,kurti
crop,pasėlių
cross,kirsti
crowd,minia
cry,šauksmas
current,dabartinis
cut,supjaustyti
dad,tėtis
dance,šokis
danger,pavojus
dark,tamsus
day,dieną
dead,miręs
deal,spręsti
dear,brangusis
death,mirtis
decide,nuspręsti
decimal,dešimtainis
deep,giliai
degree,laipsnis
depend,priklauso
describe,apibūdinti
desert,dykuma
design,dizainas
determine,nustatyti
develop,plėtoti
dictionary,žodynas
did,padarė
die,mirti
differ,skiriasi
difficult,sunkus
direct,tiesiogiai
discuss,aptarti
distant,tolimas
divide,takoskyra
division,skyrius
do,padaryti
doctor,gydytojas
does,daro
dog,šuo
dollar,doleris
done,padirbtas
don’t,nėra
door,durys
double,dvigubai
down,žemyn
draw,atkreipti
dream,svajonė
dress,suknelė
drink,gėrimas
drive,vairuoti
drop,lašas
dry,sausas
duck,antis
during,metu
each,kiekvienas
ear,ausis
early,anksti
earth,žemė
ease,palengvinti
east,į rytus
eat,valgyti
edge,kraštas
effect,poveikis
egg,kiaušinis
eight,aštuoni
either,arba
electric,elektros
element,elementas
else,kitas
end,pabaiga
enemy,priešas
energy,energija
engine,variklis
enough,pakankamai
enter,įeiti
equal,lygūs
equate,prilygti
especially,ypač
even,net
evening,vakaras
event,renginys
ever,kada nors
every,kiekvienas
exact,tikslus
example,pavyzdys
except,išskyrus
excite,sužadinti
exercise,pratimas
expect,tikėtis
experience,patirtis
experiment,eksperimentas
eye,akių
face,veido
fact,faktas
fair,sąžininga
fall,patenka
family,šeima
famous,garsus
far,toli
farm,ūkis
fast,greitai
fat,riebalų
father,tėvas
favor,pirmenybę
fear,baimė
feed,pašarai
feel,jausti
feet,pėdų
fell,sumažėjo
felt,jaučiamas
few,mažai
field,srityje
fig,pav
fight,kova
figure,figūra
fill,užpildyti
final,galutinis
find,rasti
fine,gerai
finger,pirštas
finish,apdaila
fire,gaisro
first,pirmas
fish,žuvis
fit,tinka
five,penki
flat,butas
floor,aukštas
flow,tekėti
flower,gėlė
fly,skristi
follow,sekti
food,maistas
foot,pėda
for,už
force,jėga
forest,miškas
form,forma
forward,pirmyn
found,rasti
four,keturi
fraction,frakcija
free,nemokamai
fresh,švieži
friend,draugas
from,nuo
front,priekinis
fruit,vaisiai
full,pilnas
fun,malonumas
game,žaidimas
garden,sodas
gas,dujos
gather,surinkti
gave,davė
general,bendras
gentle,švelnus
get,gauti
girl,mergina
give,duoti
glad,malonu
glass,stiklas
go,eiti
gold,aukso
gone,dingo
good,geras
got,turiu
govern,reglamentuoja
grand,didysis
grass,žolė
gray,pilka
great,puikus
green,žalia
grew,augo
ground,žemės
group,grupė
grow,augti
guess,atspėti
guide,vadovas
gun,pistoletas
had,buvo
hair,plaukai
half,pusė
hand,rankų
happen,atsitikti
happy,laimingas
hard,sunku
has,turi
hat,skrybėlė
have,turėti
he,jis
head,vadovas
hear,išgirsti
heard,girdėjau
heart,širdis
heat,šilumos
heavy,sunkus
held,rankinė
help,padėti
her,jos
here,čia
high,aukštas
hill,kalnas
him,jį
his,jo
history,istorija
hit,nukentėjo
hold,palaikykite
hole,skylė
home,namai
hope,tikiuosi
horse,arklys
hot,karštas
hour,valandos
house,namas
how,kaip
huge,didžiulis
human,žmogaus
hundred,šimtai
hunt,medžioklė
hurry,skubėti
i,aš
ice,ledas
idea,idėja
if,jei
imagine,įsivaizduoti
in,matyti
inch,colis
include,įtraukti
indicate,rodo
industry,pramonė
insect,vabzdžių
instant,momentinis
instrument,priemonė
interest,palūkanos
invent,sugalvoti
iron,geležies
is,yra
island,sala
it,ji
job,darbas
join,prisijungti
joy,džiaugsmas
jump,šuolis
just,tiesiog
keep,išlaikyti
kept,laikomi
key,raktas
kill,nužudyti
kind,natūra
king,karalius
knew,"žinojo,"
know,žinoti
lady,panele
lake,ežeras
land,žemės
language,kalba
large,didelis
last,paskutinis
late,vėlai
laugh,juokas
law,teisė
lay,padėti
lead,vadovauti
learn,sužinoti
least,mažiau
leave,palikti
led,lėmė
left,į kairę
leg,koja
length,ilgis
less,mažiau
let,tegul
letter,laiškas
level,lygis
lie,melas
life,gyvenimas
lift,keltuvas
light,šviesa
like,kaip
line,linija
liquid,skystis
list,sąrašas
listen,klausyti
little,mažai
live,gyventi
locate,rasti
log,prisijungti
lone,vienišas
long,ilgai
look,žiūrėti
lost,prarado
lot,daug
loud,garsiai
love,patinka
low,žemas
machine,mašina
made,padarė
magnet,magnetas
main,pagrindinis
major,pagrindinis
make,padaryti
man,vyras
many,daug
map,žemėlapis
mark,ženklas
market,rinka
mass,masė
master,meistras
match,rungtynės
material,medžiaga
matter,nesvarbu
may,gali
me,mane
mean,reiškia
meant,reiškia
measure,matuoti
meat,mėsa
meet,patenkinti
melody,melodija
men,vyrai
metal,metalo
method,metodas
middle,vidurys
might,might
mile,mylių
milk,pienas
million,milijonas
mind,protas
mine,mano
minute,minučių
miss,praleisti
mix,maišyti
modern,modernus
molecule,molekulė
moment,akimirka
money,pinigai
month,mėnesį
moon,mėnulis
more,daugiau
morning,rytas
most,dauguma
mother,motina
motion,pasiūlymas
mount,kalno
mountain,kalnas
mouth,burna
move,perkelti
much,daug
multiply,daugintis
music,muzika
must,turi
my,mano
name,pavadinimas
nation,tauta
natural,natūralus
nature,pobūdis
near,šalia
necessary,reikalingas
neck,kaklas
need,reikėti
neighbor,kaimynas
never,niekada
new,nauja
next,kitas
night,naktis
nine,devyni
no,ne
noise,triukšmas
noon,vidurdienis
nor,nei
north,į šiaurę
nose,nosis
note,pastaba
nothing,nieko
notice,pranešimas
noun,daiktavardis
now,dabar
number,skaičius
numeral,skaitvardis
object,objektas
observe,stebėti
occur,atsirasti
ocean,vandenynas
of,iš
off,nuo
offer,pasiūlymas
office,biuras
often,dažnai
oh,oh
oil,alyva
old,senas
on,nuo
once,kartą
one,vienas
only,tik
open,atvira
operate,veikia
opposite,priešais
or,arba
order,kad
organ,organas
original,originalus
other,kitas
our,mūsų
out,iš
over,per
own,savo
oxygen,deguonies
page,puslapis
paint,dažai
pair,pora
paper,popieriaus
paragraph,punktas
parent,tėvų
part,dalis
particular,pirma
party,šalis
pass,pereiti
past,praeitis
path,kelias
pattern,modelis
pay,mokėti
people,žmonės
perhaps,galbūt
period,laikotarpis
person,asmuo
phrase,frazė
pick,pasirinkti
picture,nuotrauka
piece,gabalas
pitch,pikis
place,vieta
plain,paprastas
plan,planas
plane,lėktuvas
planet,planeta
plant,augalų
play,žaisti
please,prašom
plural,daugiskaitos
poem,eilėraštis
point,taškas
poor,prastas
populate,užpildyti
port,uostas
pose,kelti
position,pozicija
possible,galimas
post,pranešimas
pound,svaras
power,galia
practice,praktika
prepare,parengti
present,metu
press,paspauskite
pretty,gana
print,spausdinti
probable,"tikėtina,"
problem,problema
process,procesas
produce,gaminti
product,produktas
proper,tinkamas
property,turtas
protect,apsaugoti
prove,įrodyti
provide,teikti
pull,traukti
push,stumti
put,sudėti
quart,kvorta
question,klausimas
quick,greitai
quiet,ramus
quite,gana
quotient,dalmuo
race,varžybos
radio,radijo
rail,geležinkelių
rain,lietus
raise,pakelti
ran,arklys
range,diapazonas
rather,gana
reach,pasiekti
read,skaityti
ready,pasiruošęs
real,tikras
reason,priežastis
receive,gauti
record,įrašas
red,raudonas
region,regionas
remember,prisiminti
repeat,pakartokite
reply,atsakinėti
represent,atstovauti
require,reikalauti
rest,poilsio
result,rezultatas
rich,turtingas
ride,važinėti
right,teisė
ring,žiedas
rise,padidės
river,upės
road,kelių
rock,rokas
roll,ritinys
room,kambario
root,šaknis
rope,virvės
rose,rožė
round,turas
row,eilė
rub,rublių
rule,taisyklė
run,paleisti
safe,saugus
said,sakė
sail,burė
salt,druska
same,tas pats
sand,smėlio
sat,sat
save,išsaugoti
saw,pjūklas
say,pasakyti
scale,skalė
school,mokykla
science,mokslas
score,rezultatas
sea,jūra
search,paieška
season,sezonas
seat,sėdynė
second,antra
section,skyrius
see,pamatyti
seed,sėklos
seem,atrodo
segment,segmentas
select,pasirinkti
self,savarankiškai
sell,parduoti
send,siųsti
sense,jausmas
sent,siunčiami
sentence,sakinys
separate,atskiras
serve,tarnauti
set,rinkinys
settle,atsiskaityti
seven,septyni
several,kelis
shall,turi
shape,forma
share,dalis
sharp,aštrus
she,ji
sheet,lapas
shell,apvalkalas
shine,valymo
ship,laivas
shoe,batų
shop,parduotuvė
shore,kranto
short,trumpas
should,turėtų
shoulder,petys
shout,šaukti
show,šou
side,pusė
sight,reginys
sign,ženklas
silent,tylus
silver,sidabras
similar,panašus
simple,paprastas
since,nuo
sing,dainuoti
single,vieno
sister,sesuo
sit,sėdėti
six,šešių
size,dydis
skill,įgūdžių
skin,oda
sky,dangus
slave,vergas
sleep,miegas
slip,slydimo
slow,lėtai
small,mažas
smell,kvapas
smile,šypsena
snow,sniego
so,taip
soft,minkštas
soil,dirvožemis
soldier,eilinis
solution,sprendimas
solve,išspręsti
some,kai
son,sūnus
song,daina
soon,greičiau
sound,garso
south,į pietus
space,vietos
speak,kalbėti
special,ypatingą
speech,kalbos
speed,greitis
spell,reikšti
spend,praleisti
spoke,kalbėjo
spot,vieta
spread,plitimas
spring,pavasaris
square,aikštė
stand,stovėti
star,žvaigždė
start,pradžia
state,valstybės
station,stotis
stay,likti
stead,sodyba
steam,garo
steel,plieno
step,žingsnis
stick,stick
still,dar
stone,akmuo
stood,stovėjo
stop,sustabdyti
store,parduotuvė
story,istorija
straight,tiesiai
strange,keista
stream,srautas
street,gatvės
stretch,ruožas
string,styga
strong,stiprus
student,studentas
study,tyrimas
subject,tema
substance,medžiaga
subtract,atimti
success,sėkmė
such,toks
sudden,staiga
suffix,priesaga
sugar,cukraus
suggest,pasiūlyti
suit,kostiumas
summer,vasara
sun,saulė
supply,tiekimas
support,parama
sure,tikrai
surface,paviršius
surprise,staigmena
swim,plaukti
syllable,skiemuo
symbol,simbolis
system,sistema
table,lentelė
tail,uodega
take,imti
talk,aptarimas
tall,aukštas
teach,mokyti
team,komanda
teeth,dantys
tell,pasakyti
temperature,temperatūra
ten,dešimt
term,terminas
test,testas
than,nei
thank,ačiū
that,kad
the,pamatyti
their,jų
them,jiems
then,tada
there,ten
these,tai
they,jie
thick,storas
thin,plonas
thing,dalykas
think,galvoti
third,trečia
this,tai
those,tie
though,nors
thought,mintis
thousand,tūkstančių
three,trijų
through,per
throw,mesti
thus,taip
tie,kaklaraištis
time,laikas
tiny,mažytis
tire,padanga
to,į
together,kartu
told,sakė
tone,tonas
too,taip pat
took,paėmė
tool,priemonė
top,viršus
total,visas
touch,paliesti
toward,link
town,miestas
track,takelis
trade,prekyba
train,traukinys
travel,kelionė
tree,medis
triangle,trikampis
trip,kelionės
trouble,bėda
truck,sunkvežimis
true,tiesa
try,pabandyti
tube,vamzdis
turn,posūkis
twenty,dvidešimt
two,du
type,tipas
under,pagal
unit,vienetas
until,iki
up,į viršų
us,mums
use,naudoti
usual,įprasta
valley,slėnis
value,vertė
vary,skirtis
verb,veiksmažodis
very,labai
view,vaizdas
village,kaimas
visit,apsilankymas
voice,balsas
vowel,balsis
wait,laukti
walk,vaikščioti
wall,sienos
want,noriu
war,karas
warm,šiltas
was,buvo
wash,skalbimas
watch,žiūrėti
water,vanduo
wave,banga
way,būdas
we,mes
wear,dėvėti
weather,oras
week,savaitę
weight,svoris
well,gerai
went,nuvyko
were,buvo
west,vakarų
what,ką
wheel,ratų
when,kai
where,kur
whether,ar
which,kurie
while,o
white,baltas
who,kas
whole,visas
whose,kurio
why,kodėl
wide,pločio
wife,žmona
wild,laukinis
will,bus
win,laimėti
wind,vėjas
window,langas
wing,sparnas
winter,žiema
wire,vielos
wish,norėti
with,su
woman,moteris
women,moterys
wonder,nenuostabu
won’t,nebus
wood,medienos
word,žodis
work,darbas
world,pasaulis
would,būtų
write,rašyti
written,parašyta
wrong,negerai
wrote,rašė
yard,kiemas
year,metai
yellow,geltonas
yes,taip
yet,dar
you,jūs
young,jauna
your,savo
