english,swedish
a,en
able,kunna
about,ca
above,ovan
act,handling
add,lägg
afraid,rädd
after,efter
again,igen
against,mot
age,okänd
ago,sedan
agree,enas
air,luft
all,alla
allow,tillåta
also,också
always,alltid
am,jag
among,bland
an,ett
and,och
anger,ilska
animal,djur
answer,svar
any,någon
appear,synas
apple,äpple
are,är
area,område
arm,beväpnar
arrange,ordna
arrive,anländer
art,teknikområdet
as,som
ask,be
at,vid
atom,atomen
baby,barn
back,tillbaka
bad,dålig
ball,boll
band,band
bank,bank
bar,baren
base,bas
basic,grundläggande
bat,slagträ
battery,batteri
be,vara
bear,bära
beat,slå
beauty,skönhet
bed,bädd
been,varit
before,före
began,började
begin,börja
behind,bakom
believe,tro
bell,klocka
best,bäst
better,bättre
between,mellan
bicycle shop,cykelverkstad
big,stor
bird,fågel
bit,bitars
black,svart
block,blocket
blood,blod
blow,smäll
blue,blå
board,ombord
boat,båt
body,kropp
bone,ben
book,boken
born,född
both,båda
bottom,botten
bought,köpt
box,låda
boy,pojke
branch,gren
bread,bröd
break,paus
bright,ljust
bring,bringa
broad,bred
broke,bröt
brother,bror
brought,bringas
brown,brun
build,bygga
burn,bränna
busy,upptagen
but,men
buy,köpa
by,genom
call,samtal
came,kom
camp,läger
can,kan
capital,kapital
captain,kapten
car,bil
card,kort
care,vård
carry,bära
case,fall
cat,cat
catch,fångst
caught,fångad
cause,orsak
cell,cell
cent,cent
center,centrum
century,talet
certain,viss
chair,stol
chance,chans
change,förändring
character,karaktär
charge,debitera
chart,diagram
check,ta
chick,fågelunge
chief,chef
child,barn
children,barn
choose,välja
chord,ackord
circle,cirkel
city,ort
claim,krav
class,klass
clean,ren
clear,klar
climb,klättra
clock,klocka
close,nära
clothe,kläder
cloud,moln
coast,kust
coat,kappa
cold,förkylning
collect,samla
colony,koloni
color,färg
column,kolonn
come,komma
company,företaget
compare,jämföra
complete,fullständig
condition,tillstånd
connect,ansluta
consider,överväga
consonant,konsonant
contain,innehålla
continent,kontinent
continue,fortsätta
control,kontroll
cook,kock
cool,sval
copy,kopia
corn,majs
corner,hörn
correct,korrekt
cost,kostnad
cotton,bomull
could,kunde
count,räkna
country,land
course,naturligtvis
cover,lock
cow,ko
crease,veck
create,skapa
crop,gröda
cross,korsa
crowd,publiken
cry,rop
current,ström
cut,snitt
dad,pappa
dance,dans
danger,fara
dark,mörk
day,dag
dead,död
deal,affär
dear,kära
death,död
decide,besluta
decimal,decimala
deep,djup
degree,grad
depend,bero
describe,beskriva
desert,öken
design,konstruktion
determine,bestämma
develop,utveckla
dictionary,ordbok
did,gjorde
die,dö
differ,skiljer
difficult,svårt
direct,direkt
discuss,diskutera
distant,avlägsen
divide,divide
division,delning
do,göra
doctor,läkare
does,gör
dog,hund
dollar,dollarn
done,klar
don’t,inte
door,dörr
double,dubbel
down,ner
draw,rita
dream,dröm
dress,klänning
drink,dryck
drive,enhet
drop,släpp
dry,torka
duck,anka
during,under
each,varje
ear,örat
early,tidig
earth,jord
ease,lindra
east,öst
eat,äta
edge,kanten
effect,effekt
egg,ägg
eight,åtta
either,antingen
electric,elektrisk
element,elementet
else,annars
end,ände
enemy,fiende
energy,energi
engine,motor
enough,tillräckligt
enter,ange
equal,lika
equate,likställa
especially,speciellt
even,även
evening,kväll
event,händelse
ever,någonsin
every,varje
exact,exakta
example,exempel
except,utom
excite,excitera
exercise,övning
expect,förvänta
experience,erfarenhet
experiment,experiment
eye,öga
face,ansikte
fact,faktum
fair,verkligt
fall,falla
family,familj
famous,känd
far,långt
farm,gård
fast,snabb
fat,fett
father,far
favor,gynna
fear,rädsla
feed,foder
feel,känna
feet,fot
fell,föll
felt,kände
few,några
field,fält
fig,fig
fight,slagsmål
figure,figur
fill,fylla
final,slutlig
find,hitta
fine,fin
finger,finger
finish,yta
fire,eld
first,först
fish,fisk
fit,passa
five,fem
flat,platt
floor,våningen
flow,flöde
flower delivery,blombud
fly,flyga
follow,följ
food,mat
foot,fot
for,för
force,kraft
forest,skog
form,formulär
forward,framåt
found,funnen
four,fyra
fraction,fraktion
free,fri
fresh,färsk
friend,vän
from,från
front,främre
fruit,frukt
full,fullständig
fun,kul
game,spel
garden,trädgård
gas,gas
gather,samla
gave,gav
general,allmän
gentle,mild
get,få
girl,flicka
give,ge
glad,glad
glass,glas
go,gå
gold,guld
gone,borta
good,bra
got,fick
govern,regera
grand,stors
grass,gräs
gray,grå
great,bra
green,grön
grew,växte
ground,jord
group,grupp
grow,växa
guess,gissa
guide,guide
gun,pistol
had,hade
hair,hår
half,halv
hand,sidan
happen,hända
happy,lycklig
hard,hård
has,har
hat,keps
have,ha
he,han
head,huvud
hear,höra
heard,hört
heart,hjärta
heat,hetta
heavy,tung
held,vänt
help,hjälpa
her,hennes
here,här
high,hög
hill,kulle
him,honom
his,hans
history,historia
hit,hit
hold,håll
hole,hål
home,hem
hope,hoppas
horse,häst
hot,het
hour,timme
house,hus
how,hur
huge,enormt
human,humant
hundred,hundra
hunt,jakt
hurry,skynda
i,jag
ice,is
idea,idé
if,om
imagine,föreställa sig
in,i
inch,tum
