english,maltese
a,a
able,kapaċi
about,dwar
above,hawn fuq
act,att
add,żid
afraid,jibżgħu
after,wara
again,darb’oħra
against,kontra
age,età
ago,ilu
agree,jaqblu
air,arja
all,kollha
allow,jippermettu
also,wkoll
always,dejjem
am,am
among,fost
an,l
and,u
anger,rabja
animal,annimali
answer,tweġiba
any,kwalunkwe
appear,jidhru
apple,tuffieħ
are,huma
area,żona
arm,driegħ
arrange,tirranġa
arrive,jaslu
art,arti
as,bħala
ask,staqsi
at,fi
atom,atomu
baby,baby
back,back
bad,ħażina
ball,logħob
band,band
bank,bank
bar,bar
base,bażi
basic,bażiku
bat,maġina
be,jkun
bear,iġorru
beat,taħbit
beauty,sbuħija
bed,sodda
been,kien
before,qabel
began,beda
begin,tibda
behind,wara
believe,jemmnu
bell,qanpiena
best,aħjar
better,aħjar
between,bejn
big,big
bird,għasfur
bit,daqsxejn
black,iswed
block,blokk
blood,demm
blow,daqqa
blue,blu
board,abbord
boat,dgħajsa
body,korp
bone,għadam
book,ktieb
born,mwieled
both,kemm
bottom,qiegħ
bought,mixtrija
box,kaxxa
boy,tifel
branch,fergħa
bread,ħobż
break,waqfa
bright,bright
bring,iġibu
broad,wiesgħa
broke,kissru
brother,ħuh
brought,miġjuba
brown,kannella
build,jibnu
burn,burn
busy,okkupati
but,imma
buy,jixtru
by,minn
call,sejħa
came,daħal
camp,camp
can,jista
capital,kapital
captain,kaptan
car,karozza
card,karta
care,kura
carry,twettaq
case,każ
cat,qattus
catch,qabda
caught,maqbuda
cause,kawża
cell,ċellula
cent,ċenteżmu
center,ċentru
century,seklu
certain,ċerti
chair,president
chance,ċans
change,bidla
character,karattru
charge,ħlas
chart,grafika
check,jiċċekkjaw
chick,flieles
chief,kap
child,tfal
children,tfal
choose,jagħżlu
chord,korda
circle,ċirku
city,belt
claim,pretensjoni
class,klassi
clean,nadif
clear,ċara
climb,tluq
clock,arloġġ
close,qrib
clothe,b’saqaf
cloud,sħaba
coast,kosta
coat,kowt
cold,kiesaħ
collect,jiġbru
colony,kolonja
color,kulur
column,kolonna
come,come
common,komuni
company,kumpanija
compare,iqabblu
complete,kompluta
condition,kundizzjoni
connect,jgħaqqdu
consider,jikkunsidraw
consonant,konsonanti
contain,fihom
continent,kontinent
continue,tkompli
control,kontroll
cook,kok
cool,jibred
copy,kopja
corn,qamħ
corner,kantuniera
correct,korretta
cost,ispiża
cotton,qoton
could,jistgħu
count,għadd
country,pajjiż
course,kors
cover,kopertura
cow,baqra
crease,titkemmex
create,joħolqu
crop,uċuħ tar-raba
cross,jaqsmu
crowd,folla
cry,cry
current,attwali
cut,qatgħa
dad,dad
dance,żfin
danger,periklu
dark,dlam
day,jum
dead,mejta
deal,jittrattaw
dear,għażiż
death,mewt
decide,tiddeċiedi
decimal,informazzjoni
deep,fond
degree,grad
depend,jiddependu
describe,jiddeskrivu
desert,deżert
design,disinn
determine,jiddeterminaw
develop,jiżviluppaw
dictionary,dizzjunarju
did,għamlet
die,jmutu
differ,differenti
difficult,diffiċli
direct,dirett
discuss,jiddiskutu
distant,bogħod
divide,firda
division,diviżjoni
do,do
doctor,tabib
does,ma
dog,klieb
dollar,dollaru
done,isir
don’t,ma
door,bieb
double,double
down,isfel
draw,jiġbed
dream,ħolma
dress,libsa
drink,xarba
drive,drive
drop,qatra
dry,xott
duck,papra
during,matul
each,kull
ear,widna
early,kmieni
earth,earth
ease,faċilità
east,lvant
eat,jieklu
edge,tarf
effect,effett
egg,bajd
eight,tmienja
either,jew
electric,elettriku
element,element
else,inkella
end,aħħar
enemy,ghadu
energy,enerġija
engine,magna
enough,biżżejjed
enter,jidħol
equal,ugwali
equate,qabblet
especially,speċjalment
even,anke
evening,filgħaxija
event,avveniment
ever,qatt
every,kull
exact,eżatt
example,eżempju
except,ħlief
excite,eċitati
exercise,eżerċizzju
expect,jistennew
experience,esperjenza
experiment,esperiment
eye,għajn
face,wiċċ
fact,fatt
fair,ġust
fall,jaqgħu
family,familja
famous,famuż
far,ferm
farm,farm
fast,fast
fat,xaħam
father,missier
favor,favur
fear,biża
feed,għalf
feel,jħossu
feet,saqajn
fell,waqgħet
felt,ħass
few,ftit
field,qasam
fig,fig
fight,ġlieda
figure,figura
fill,imla
final,finali
find,isibu
fine,multa
finger,finger
finish,finitura
fire,nar
first,ewwel
fish,ħut
fit,tajbin
five,ħamsa
flat,ċatt
floor,art
flow,fluss
flower,fjura
fly,fly
follow,isegwu
food,ikel
foot,sieq
for,għal
force,forza
forest,foresta
form,forma
forward,quddiem
found,misjuba
four,erbgħa
fraction,frazzjoni
free,ħielsa
fresh,frisk
friend,ħabib
from,minn
front,quddiem
fruit,frott
full,sħiħa
fun,gost
game,logħba
garden,ġnien
gas,gass
gather,jiġbru
gave,taw
general,ġenerali
gentle,ġentili
get,jiksbu
girl,girl
give,jagħtu
glad,ferħan
glass,ħġieġ
go,go
gold,deheb
gone,marret
good,tajba
got,ltqajna
govern,jirregolaw
grand,grand
grass,ħaxix
gray,griż
great,kbira
green,aħdar
grew,kiber
ground,art
group,grupp
grow,jikbru
guess,raden
guide,gwida
gun,gun
had,kellhom
hair,xagħar
half,nofs
hand,idejn
happen,jiġri
happy,kuntenti
hard,diffiċli
has,għandha
hat,kpiepel
have,jkollhom
he,hu
head,ras
hear,tisma
heard,jinstemgħu
heart,qalb
heat,sħana
heavy,tqil
held,miżmuma
help,jgħinu
her,tagħha
here,hawn
high,għolja
hill,hill
him,lilu
his,tiegħu
history,istorja
hit,hit
hold,istiva
hole,toqba
home,domiċilju
hope,tama
horse,żiemel
hot,sħun
hour,siegħa
house,house
how,kif
huge,enormi
human,bniedem
hundred,mitt
hunt,kaċċa
hurry,hurry
i,i
ice,silġ
idea,idea
if,jekk
imagine,jimmaġina
in,fil
inch,pulzier
include,jinkludu
indicate,jindikaw
industry,industrija
insect,insetti
instant,instant
instrument,istrument
interest,interess
invent,nivvintaw
iron,ħadid
is,huwa
island,gżira
it,dan
job,xogħol
join,jissieħbu
joy,ferħ
jump,jaqbżu
just,biss
keep,iżommu
kept,miżmuma
key,ċavetta
kill,joqtlu
kind,tip
king,king
knew,kien jaf
know,taf
lady,mara
lake,lag
land,art
language,lingwa
large,kbir
last,aħħar
late,tard
laugh,tidħaq
law,liġi
lay,jistabbilixxu
lead,ċomb
learn,jitgħallmu
least,inqas
leave,tħalli
led,wassal
left,xellug
leg,riġel
length,tul
less,inqas
let,let
letter,ittra
level,livell
lie,jimteddu
life,ħajja
lift,lift
light,dawl
like,bħal
line,line
liquid,likwidu
list,lista
listen,jisimgħu
little,ftit
live,jgħixu
locate,lokalizzar
log,log
lone,isolati
long,twil
look,ħarsa
lost,mitlufa
lot,lott
loud,qawwi
love,imħabba
low,baxxa
machine,magna
made,magħmula
magnet,kalamita
main,prinċipali
major,maġġuri
make,jagħmlu
man,bniedem
many,ħafna
map,mappa
mark,marka
market,suq
mass,massa
master,kaptan
match,logħba
material,materjal
matter,kwistjoni
may,jista
me,me
mean,jfissru
meant,fisser
measure,ikejlu
meat,laħam
meet,jissodisfaw
melody,melodija
men,irġiel
metal,metall
method,metodu
middle,nofs
might,jista
mile,mile
milk,ħalib
million,miljun
mind,mind
mine,minjiera
minute,minuta
miss,jitilfu
mix,taħlita
modern,modern
molecule,molekula
moment,mument
money,flus
month,xahar
moon,qamar
more,aktar
morning,filgħodu
most,aktar
mother,omm
motion,mozzjoni
mount,impunjazzjoni
mountain,muntanji
mouth,ħalq
move,mossa
much,ħafna
multiply,immoltiplika
music,mużika
must,għandhom
my,tiegħi
name,isem
nation,nazzjon
natural,naturali
nature,natura
near,qrib
necessary,meħtieġ
neck,għonq
need,bżonn
neighbor,proxxmu
never,qatt
new,ġdida
next,li jmiss
night,lejl
nine,disa
no,ebda
noise,istorbju
noon,nofsinhar
nor,lanqas
north,tramuntana
nose,imnieħer
note,nota
nothing,xejn
notice,avviż
noun,nom
now,issa
number,numru
numeral,numerali
object,oġġett
observe,josservaw
occur,jseħħu
ocean,oċean
of,tal
off,barra
offer,offerta
office,uffiċċju
often,spiss
oh,oh
oil,żejt
old,qodma
on,fuq
once,ladarba
one,wieħed
only,biss
open,miftuħa
operate,joperaw
opposite,oppost
or,jew
order,ordni
organ,organu
original,oriġinali
other,oħra
our,tagħna
out,out
over,fuq
own,stess
oxygen,ossiġnu
page,paġna
paint,żebgħa
pair,par
paper,karta
paragraph,paragrafu
parent,ġenitur
part,parti
particular,partikolari
party,parti
pass,jgħaddu
past,passat
path,triq
pattern,mudell
pay,tħallas
people,nies
perhaps,forsi
period,perjodu
person,persuna
phrase,frażi
pick,pick
picture,stampa
piece,biċċa
pitch,żift
place,post
plain,plain
plan,pjan
plane,pjan
planet,pjaneta
plant,impjant
play,play
please,jekk jogħġbok
plural,plurali
poem,poeżija
point,punt
poor,foqra
populate,timla
port,port
pose,joħolqu
position,pożizzjoni
possible,possibbli
post,wara
pound,lira
power,qawwa
practice,prattika
prepare,jippreparaw
present,preżenti
press,istampa
pretty,pretty
print,istampar
probable,probabbli
problem,problema
process,proċess
produce,jipproduċu
product,prodott
proper,xierqa
property,proprjetà
protect,jipproteġu
prove,jipprova
provide,jipprovdu
pull,iġbed
push,timbotta
put,tpoġġi
quart,quart
question,kwistjoni
quick,malajr
quiet,kwieta
quite,pjuttost
quotient,kwozjent
race,razza
radio,radju
rail,ferrovija
rain,xita
raise,jgħollu
ran,dam
range,firxa
rather,pjuttost
reach,jilħqu
read,aqra
ready,lest
real,reali
reason,raġuni
receive,jirċievu
record,rekord
red,aħmar
region,reġjun
remember,ftakar
repeat,irrepeti
reply,risposta
represent,jirrappreżentaw
require,jeħtieġu
rest,bqija
result,riżultat
rich,sinjuri
ride,rikba
right,dritt
ring,ring
rise,lok
river,xmara
road,triq
rock,blat
roll,romblu
room,kamra
root,għerq
rope,ħabel
rose,tela
round,rawnd
row,ringiela
rub,togħrokx
rule,regola
run,medda
safe,sikur
said,qal
sail,qlugħ
salt,melħ
same,istess
sand,ramel
sat,sib
save,jiffranka
saw,serrieq
say,jgħidu
scale,iskala
school,iskola
science,xjenza
score,f’ħin
sea,baħar
search,tfittxija
season,istaġun
seat,sedil
second,tieni
section,taqsima
see,tara
seed,żerriegħa
seem,jidhru
segment,segment
select,tagħżel
self,awto
sell,jbiegħu
send,tibgħat
sense,sens
sent,mibgħuta
sentence,sentenza
separate,separata
serve,jservu
set,sett
settle,joqgħod
seven,seba
several,diversi
shall,għandhom
shape,forma
share,sehem
sharp,sharp
she,hi
sheet,folja
shell,qoxra
shine,shine
ship,vapur
shoe,żarbun
shop,shop
shore,shore
short,qasir
should,għandhom
shoulder,ispalla
shout,shout
show,juru
side,ġenb
sight,vista
sign,sinjal
silent,siekta
silver,fidda
similar,simili
simple,sempliċi
since,peress
sing,nijet
single,wieħed
sister,sister
sit,ipoġġu
six,sitta
size,daqs
skill,ħiliet
skin,ġilda
sky,sema
slave,slave
sleep,irqad
slip,slip
slow,bil-mod
small,żgħir
smell,riħa
smile,daħka
snow,borra
so,hekk
soft,soft
soil,ħamrija
soldier,suldat
solution,soluzzjoni
solve,isolvu
some,xi
son,iben
song,kanzunetta
soon,dalwaqt
sound,ħoss
south,nofsinhar
space,ispazju
speak,jitkellmu
special,speċjali
speech,diskors
speed,veloċità
spell,jespliċitaw
spend,jonfqu
spoke,tkellem
spot,post
spread,tixrid
spring,rebbiegħa
square,kwadru
stand,toqgħod
star,stilla
start,bidu
state,istat
station,istazzjon
stay,waqfa
stead,minfloku
steam,fwar
steel,azzar
step,pass
stick,stick
still,xorta
stone,ġebel
stood,kien
stop,tieqaf
store,maħżen
story,istorja
straight,dritta
strange,stramba
stream,nixxiegħa
street,toroq
stretch,stretch
string,sekwenza
strong,qawwija
student,istudent
study,studju
subject,suġġett
substance,sustanza
subtract,naqqas
success,suċċess
such,bħal
sudden,f’daqqa
suffix,suffiss
sugar,zokkor
suggest,jissuġġerixxu
suit,libsa
summer,sajf
sun,xemx
supply,provvista
support,appoġġ
sure,żgur
surface,wiċċ
surprise,sorpriża
swim,jgħum
syllable,sillaba
symbol,simbolu
system,sistema
table,tabella
tail,denb
take,tieħu
talk,talk
tall,tall
teach,jgħallmu
team,tim
teeth,snien
tell,tell
temperature,temperatura
ten,għaxar
term,tul
test,tal
than,minn
thank,nirringrazzja
that,li
the,l-
their,tagħhom
them,minnhom
then,imbagħad
there,hemm
these,dawn
they,huma
thick,ħoxna
thin,irqiq
thing,ħaġa
think,jaħsbu
third,tielet
this,dan
those,dawk
though,għalkemm
thought,ħasbu
thousand,elf
three,tlieta
through,permezz
throw,tarmi
thus,b’hekk
tie,tie
time,ħin
tiny,ċkejkna
tire,tajer
to,li
together,flimkien
told,told
tone,tone
too,wisq
took,ħa
tool,għodda
top,top
total,total
touch,tmissx
toward,lejn
town,belt
track,binarju
trade,kummerċ
train,ferrovija
travel,ivvjaġġar
tree,siġra
triangle,trijanglu
trip,vjaġġ
trouble,trouble
truck,trakk
true,veru
try,jippruvaw
tube,tubu
turn,dawran
twenty,għoxrin
two,tnejn
type,tip
under,taħt
unit,unità
until,sakemm
up,up
us,us
use,użu
usual,soltu
valley,wied
value,valur
vary,jvarjaw
verb,li
very,ħafna
view,fehma
village,raħal
visit,żjara
voice,vuċi
vowel,vokali
wait,stenna
walk,jimxu
wall,ħajt
want,trid
war,gwerra
warm,sħun
was,kien
wash,aħsel
watch,watch
water,ilma
wave,mewġa
way,mod
we,aħna
wear,jilbsu
weather,temp
week,ġimgħa
weight,piż
well,ukoll
went,marru
were,kienu
west,punent
what,liema
wheel,rota
when,meta
where,fejn
whether,jekk
which,li
while,filwaqt li
white,abjad
who,li
whole,kollu
whose,li
why,għaliex
wide,wiesgħa
wife,mara
wild,selvaġġi
will,se
win,win
wind,riħ
window,tieqa
wing,ġwienaħ
winter,xitwa
wire,wajer
wish,tixtieq
with,ma
woman,mara
women,nisa
wonder,wonder
won’t,mhux se
wood,injam
word,kelma
work,xogħol
world,dinja
would,kieku
write,jiktbu
written,miktub
wrong,ħażin
wrote,kiteb
yard,tarzna
year,sena
yellow,isfar
yes,iva
yet,għadhom
you,inti
young,żgħażagħ
your,tiegħek
