english,latvian
a,seši
able,spējīgs
about,par
above,iepriekš
act,akts
add,pievienot
afraid,nobijies
after,pēc
again,atkal
against,pret
age,vecums
ago,pirms
agree,piekrītu
air,gaisa
all,viss
allow,ļaut
also,arī
always,vienmēr
am,am
among,vidū
an,viņiem
and,un
anger,dusmas
animal,dzīvnieks
answer,atbilde
any,jebkurš
appear,parādās
apple,ābolu
are,ir
area,platība
arm,roku
arrange,organizēt
arrive,ierasties
art,art
as,kā
ask,jautāt
at,pie
atom,atoms
baby,mazulis
back,atpakaļ
bad,slikti
ball,bumba
band,grupa
bank,banka
bar,bārs
base,bāze
basic,bāzes
bat,nūja
be,būt
bear,nest
beat,pārspēt
beauty,skaistums
bed,gulta
been,ir
before,pirms
began,sākās
begin,sākties
behind,aiz
believe,tic
bell,zvans
best,vislabāk
better,labāk
between,starp
big,big
bird,putns
bit,bits
black,melna
block,bloks
blood,asinis
blow,trieciens
blue,blue
board,dēlis
boat,laiva
body,korpuss
bone,kauls
book,grāmata
born,dzimis
both,abi
bottom,apakšā
bought,nopirka
box,kaste
boy,boy
branch,filiāle
bread,maize
break,pārtraukums
bright,spilgti
bring,celt
broad,plašs
broke,izputējis
brother,brālis
brought,celta
brown,brūns
build,būvēt
burn,dedzināt
busy,aizņemts
but,bet
buy,nopirkt
by,līdz
call,izsaukums
came,atnāca
camp,nometne
can,var
capital,kapitāls
captain,kapteinis
car,auto
card,kartes
care,kopšana
carry,pārvadāt
case,case
cat,kaķis
catch,loms
caught,nozvejotas
cause,cēlonis
cell,šūna
cent,centu
center,centrs
century,gadsimts
certain,skaidrs
chair,krēsls
chance,iespēja
change,maiņa
character,raksturs
charge,maksa
chart,diagramma
check,pārbaudiet
chick,cālis
chief,galvenais
child,bērns
children,bērni
choose,izvēlēties
chord,akords
circle,aplis
city,city
claim,prasījums
class,klase
clean,tīrs
clear,skaidrs
climb,kāpt
clock,pulkstenis
close,aizvērt
clothe,ietērpt
cloud,mākonis
coast,piekraste
coat,mētelis
cold,auksts
collect,savākt
colony,kolonija
color,krāsu
column,kolonna
come,nākt
common,kopēja
company,uzņēmums
compare,salīdzināt
complete,pilnīgs
condition,nosacījums
connect,savienot
consider,apsvērt
consonant,līdzskanis
contain,satur
continent,kontinents
continue,turpināt
control,kontrole
cook,pavārs
cool,atdzist
copy,kopija
corn,kukurūza
corner,stūris
correct,pareizs
cost,izmaksas
cotton,kokvilna
could,varētu
count,skaitīt
country,valsts
course,protams
cover,vāks
cow,govs
crease,burzīties
create,izveidot
crop,raža
cross,šķērsot
crowd,pūlis
cry,sauciens
current,strāva
cut,cut
dad,tētis
dance,deja
danger,briesmas
dark,tumšs
day,diena
dead,miris
deal,darījums
dear,dārgais
death,nāve
decide,izlemt
decimal,decimāldaļskaitlis
deep,dziļi
degree,pakāpe
depend,atkarīgi
describe,aprakstīt
desert,tuksnesis
design,dizains
determine,noteikt
develop,attīstīt
dictionary,vārdnīca
did,darīja
die,nomirt
differ,atšķiras
difficult,grūti
direct,tieši
discuss,apspriest
distant,tāls
divide,dalīt
division,nodaļa
do,do
doctor,ārsts
does,nav
dog,suns
dollar,dolāru
done,gatavots
don’t,nav
door,durvis
double,dubultā
down,leju
draw,izdarīt
dream,sapnis
dress,kleita
drink,dzēriens
drive,disku
drop,piliens
dry,sauss
duck,pīle
during,laikā
each,katrs
ear,auss
early,agri
earth,zemes
ease,atvieglot
east,austrumiem
eat,ēst
edge,mala
effect,efekts
egg,olu
eight,astoņi
either,nu
electric,elektriskā
element,elements
else,cits
end,beigas
enemy,ienaidnieks
energy,enerģija
engine,dzinējs
enough,pietiekami
enter,ievadiet
equal,vienāds
equate,vienādot
especially,sevišķi
even,pat
evening,vakars
event,notikums
ever,kādreiz
every,ik
exact,precīzu
example,piemērs
except,izņemot
excite,satraukt
exercise,vingrinājums
expect,gaidīt
experience,pieredze
experiment,eksperiments
eye,acs
face,seja
fact,fakts
fair,godīgi
fall,kritums
family,ģimene
famous,slavens
far,tālu
farm,saimniecība
fast,ātrs
fat,tauki
father,tēvs
favor,priekšroku
fear,bailes
